
str_yes|Si.
str_npc3_backstory_c|E cosi, eccomi qui, nella disgrazia e nell'amarezza. Il mio éored, la mia compagnia di Rohirrim, sarà lontana miglia adesso, e non ho nessuna possibilità di raggiungerli, non con tutti gli orchi e i selvaggi che si aggirano in queste pianure. Per caso, hai bisogno di un bravo cavaliere Rohirrim ?
str_npc4_backstory_c|Dovresti sapere che alle donne, quale che sia la loro abilità, non è permesso cavalcare con gli éoredas, i cavalieri Rohirrim. Comunque, nel mio cuore non credo che aspettare il ritorno dei guerrieri sia nel mio destino. Non me ne starò in disparte per vedere ogni possibilià di grandi imprese passarmi davanti in questa guerra, e il tuo aiuto sarebbe il benvenuto, guerriero.
str_npc5_backstory_c|Tuttavia, se i nemici di Lothlórien sono sul piede di guerra, dovrei considerare di unirmi a te per un periodo di tempo, {playername}. Percepisco che i nostri destini in questa guerra s'intrecciano.
str_npc6_backstory_c|Guardandoti preparato per la guerra, non capiresti, credo. Ma devi aver viaggiato in lungo e in largo - hai mai visto le altre grandi foreste ? Puoi condurmici ?
str_npc7_backstory_c|C'è una pausa nel combattimento che mal si adatta ad un guerriero nano della mia discendenza e temperamento. Sbaglio o si vede molta più azione nei tuoi viaggi, e la tua causa è favorevole a quella dei nani ? Posso dirti per certo che avere un nano aumenta grandemente le possibilità di sopravvivenza.
str_npc8_backstory_c|Ho sentito dire che ci sono combattimenti altrove e che le nostre terre fortunatamente ne sono escluse, per ora. Dai graffi sulla tua armatura intendo che ti sia trovato in pericolo molte volte. Forse le mie umili competenze potrebbero trovare miglior impiego nella tua compagnia, per il beneficio di tutti.
str_npc9_backstory_c|Sono un Uruk-Hai combattente, e un berserker ! Quello che c'è da sapere per uccidere uomini, io lo so. Servivo la Mano Bianca, ma ora la Mano è come se mi volesse gettare nel fuoco. Verrei con te a cacciare gli uomini nel sud, mentre gli snagas di Isengard digrignano i loro denti.
str_npc10_backstory_c|Forse puoi essere il mio nuovo padrone.
str_npc11_backstory_c|Va bene, va bene ! Forse il mio naso non è di grande utilità. Riconosco che i miei occhi sono meglio del mio naso. Ai ! Ma il mio naso non funziona solo perché non so di cosa sa il nulla. Non so nemmeno cosa stiamo cercando, ti dico. Ar ! Ho solo bisogno di gironzolare un po' e annusare nuovi posti.
str_npc12_backstory_c|Beh, se ne avessi la possibilità, me ne andrei con qualche amico fidato da qualche parte dove non manca il bottino facile, dove non ci sono grandi capi da affrontare. Mi piacerebbe provare ad andare dove non c'è gente del genere, come ai vecchi tempi.
str_npc13_backstory_c|Ho seguito il mio parente a nord, ho risposto alla sua oscura chiamata per adempiere il compito che devo al mio popolo. Ma in loro ho trovato solo una buia attesa mentre la guerra infuria altrove, mentre la sabbia nella mia clessidra sembra non scendere più. Anche ora sento scendere pochi granelli dove prima prorompeva una cascata..
str_npc14_backstory_c|Ma ecco arrivare ancora la marea oscura, una nera ondata di ombre, che si ergerà su queste terre come nessun occhio mortale ha mai visto. Queste sono le onde che cerco di dominare, ma non ho un equipaggio abbastanza temprato per cavalcare questa tempesta.
str_npc15_backstory_c|Dopo molti inverni sono risalito fuori dalle gallerie, ho cercato nelle Foreste Oscure per trovare un buon posto dove vivere e praticare le mie arti. Andava bene, fino a quando non sono arrivati dei grossi bastardi con tatuaggi bianchi - eugh ! Bianchi ! Come la faccia di un elfo ! - grossi bastardi, ecco cos'erano. Hanno bruciato la mia casa nella foresta, e mi sono dovuto nascondere ancora nelle caverne.. Qui.. Dimmi, hai qualcosa da mangiare ? Magari un bel cavallo ?
str_npc16_backstory_c|È successo molte vite degli uomini fa, un tempo differente, ma il tempo del dolore e dei ricordi è terminato. È giunto il tempo della ricompensa per il mio popolo, e io inciderò la vendetta della mia gente su queste terre. Per mano mia, le loro case saranno devastate e tutto appassirà fino a quando saranno spariti tutti i loro clan !
str_npc17_backstory_c|Se stai andando nella foresta, potrei venire anche io e parlarti degli alberi che la popolano ? Ci sono molti alberi interessanti laggiù, sai.
str_npc1_backstory_later|Ho guidato compagnie d'esploratori a sud, fino a Emyn Arnen. C'è molta attività nemica e parecchi orchi sono caduti nelle nostre imboscate. Purtroppo, sono poche le teste d'orco rotolate giù per le colline, abbiamo visto miriadi di folli creature in marcia- Temo per la mia Ithilien e per il destino di Gondor.
str_npc2_backstory_later|Abbiamo ricevuto pochi visitatori  ultimamente, e temo che ne verranno ancora meno. Mi sa che non si mette bene..
str_npc3_backstory_later|Ancora nessuna notizia del mio éored, e io continuo a cavalcare abbattendo qualche orco.
str_npc4_backstory_later|Altri ritornano con i loro corpi fracassati ed io provo ad offrire loro il mio aiuto dove posso. Ma mi sento ancora intrappolata in una gabbia.
str_npc5_backstory_later|Ci hai ripensato ? Il tempo per gli Eldar sta terminando.
str_npc6_backstory_later|Ho tenuto d'occhio un nido di ragni giganti per un paio di giorni. Creature orrende, a prima vista, ma tengono a bada gli intrusi. Vorresti chiedermi di viaggiare con te ?
str_npc7_backstory_later|Costruire mura difensive è degno di ogni nano. Ma ho bisogno di usare la mia ascia. Fammi venire con te.
str_npc8_backstory_later|Sono accorsa di nuovo al capezzale del nostro Re, stavolta vomitava. Spero che la sua volontà di impegnarsi con il nemico non sia correlata alle sue condizioni. Mi auguro che tu non soffra di vomito e stitichezza.
str_npc9_backstory_later|Cosa pensi che faccia ? Gulm sta qui in attesa di qualche subdolo snaga da colpire nel buio. Portami con te - ti servirò bene.
str_npc10_backstory_later|Ci hai ripensato ? Servirò con onore.
str_npc11_backstory_later|Ar ! Sei tu ! Ho sentito il tuo odore, sapevo che stavi arrivando. Dillo ai capi, lo farai ? Loro pensano che siccome sono stato buttato fuori dai tracciatori, sia giusto non rispettarmi, beh si sbagliano, ficcherò una freccia nelle loro viscere. Chi sarà da biasimare poi ? Non io !
str_npc12_backstory_later|Ho i miei ordini. Chiunque cerchi di passare verrà fatto a pezzi dai miei compagni; denti, unghie, capelli e tutto il resto. Ma ho le mie vedette. Sappiamo che stanno succedendo cose interessanti: i grandi capi che sono partiti per la guerra e tutte queste faccende. Cose grosse stanno succedendo a ovest, dicono. Stare qui seduto a far niente è più di quello che la mia pancia possa sopportare.
str_npc13_backstory_later|Quello che faccio va bene alla causa oscura, e ancora una volta quelli del nord temono il sud. Vedo grandi vittorie di fronte a noi, fiumi di sangue seguono la nostra scia. Ma ad ogni vittoria vedo i miei consanguinei corrotti, i loro cuori inclinati alla sua malvagità. La vista di tutto questo mi porta alla disperazione.
str_npc14_backstory_later|Sei tornato, straniero, forse è un presagio. Ho letto nelle acque, le ho viste oscurarsi. Il mare cambia gli occhi di un uomo, e gli insegna a usare i suoi occhi per comprendere il suo linguaggio.
str_npc15_backstory_later|Molti sono stati i grandi che hanno implorato per essere curati dalle mie pozioni. Gli 'amanti dei cavalli' e gli elfi pallidi sono tanti però, e ho dovuto abbandonare il mio rifugio ancora una volta, e... beh, non sono fortunato come quando combattevamo insieme, a te piacevano le mie abilità..
str_npc16_backstory_later|A lungo la storia del mio popolo ha raccontato le vicende di queste terre. Non so cosa dicano le loro infide storie riguardo i giorni che precedettero l'ingresso della mia gente in queste lande, ma amari e oscuri saranno le loro vicende ora che il mio popolo vi entra. Con una tempesta di zoccoli che scalpitano e spade e frecce, li trascineremo alla rovina come i Balchoth prima di noi.
str_npc17_backstory_later|Ho visto un pino molto vecchio l'altro giorno. I pini possono raggiungere un'età molto avanzata. Si devono rispettare i vecchi alberi. Ho visto alcuni che non hanno alcun rispetto per gli alberi. Tu hai rispetto, vero ?
str_npc1_backstory_response_1|Se potesse concederti licenza, avrei davvero bisogno di un guerriero ed esploratore esperto.
str_npc2_backstory_response_1|Dici il vero, sto cercando volontari.
str_npc3_backstory_response_1|Se potessi fare a meno dei liquori, sarei lieto di accogliere un ottimo cavaliere.
str_npc4_backstory_response_1|Gradirei l'aiuto di una vergine di guerra di Rohan, se mi venisse offerto.
str_npc5_backstory_response_1|Forse potrei sembrare presuntuoso a chiederlo, ma la mia compagnia potrebbe utilizzare la tua abilità nelle prossime battaglie.
str_npc6_backstory_response_1|Noi viaggiamo per il mondo, ma per difendere tutto ciò che è giusto, affronteremo il nemico.
str_npc7_backstory_response_1|Certo, un guerriero nano sarebbe il benvenuto nella mia compagnia.
str_npc8_backstory_response_1|In effetti potremmo avvalerci di una guaritrice..
str_npc9_backstory_response_1|Mi rendo conto che potremmo fare buon uso di un feroce guerriero.
str_npc10_backstory_response_1|Lo farai.
str_npc11_backstory_response_1|Ti va di voltare pagina e venire con me ?
str_npc12_backstory_response_1|Che ne dici di venire via con me ?
str_npc13_backstory_response_1|Che ne dici di unirti a me ?
str_npc14_backstory_response_1|Che ne dici di unirti a me?
str_npc15_backstory_response_1|Aha... Un guaritore, eh ? E sei bravo come dici ? Potrebbe servirmi qualcuno come te.
str_npc16_backstory_response_1|Che stai facendo qui ?
str_npc17_backstory_response_1|Ottimo, si scopre sempre qualcosa di nuovo riguardo gli alberi. Saremmo lieti di averti con noi.
str_npc1_backstory_response_2|Mi dispiace sentirlo. Possa la tua fede sostenere il tuo valore.
str_npc2_backstory_response_2|No, scusa. Sto cercando guerrieri con maggiore esperienza.
str_npc3_backstory_response_2|No, scusa. Sto cercando qualcosa di più affidabile.
str_npc4_backstory_response_2|Mi dispiace, mia Signora, non c'è nulla che io possa fare.
str_npc5_backstory_response_2|Tornerò quando Lothlórien sarà più sicura.
str_npc6_backstory_response_2|No, scusa. Non possiamo portarci un accolito.
str_npc7_backstory_response_2|No, scusa. Ce la caviamo da soli.
str_npc8_backstory_response_2|No, scusa. Visitiamo guaritori solo quando ne abbiamo bisogno.
str_npc9_backstory_response_2|Bah. Non mi fido dei traditori.
str_npc10_backstory_response_2|Non ho bisogno di te, schiavo.
str_npc11_backstory_response_2|Non ho voglia di ascoltare i tuoi problemi.
str_npc12_backstory_response_2|I comandanti sanno quello che fanno. Farai meglio a seguire gli ordini.
str_npc13_backstory_response_2|Il tuo destino è soffrire.
str_npc14_backstory_response_2|Ne ho avuto abbastanza.
str_npc15_backstory_response_2|Bah ! Ho bisogno di combattenti, non di codardi.
str_npc16_backstory_response_2|Ne ho avuto abbastanza.
str_npc17_backstory_response_2|No, mi dispiace. Ci stiamo preparando per la guerra, non per una spedizione botanica.
str_npc1_signup|Sono sicuro che il capitano Faramir capirebbe che altri potrebbero tenere il nemico a bada con altrettanto valore e coraggio.
str_npc2_signup|Oh, che giorno felice! Sarei lieto di unirmi alla vostra compagnia.
str_npc3_signup|Credimi, comandante, tutto il liquore di cui ho bisogno è il dolce nettare della vittoria. Se sarai in grado di guidarmi contro il nemico, sentiranno presto cosa si prova ad essere infilzati da una lancia di Rohan !
str_npc4_signup|È un'offerta che faccio volentieri, e potrai darmi il benvenuto nella tua compagnia, comandante.
str_npc5_signup|Lo vedo. Ammetto di aver sentito di te e delle tue imprese.
str_npc6_signup|Disprezzo la violenza e le armi di una guerra, ma so come difendermi se le cose si mettono male.
str_npc7_signup|Sono abile nell'uso dell'ascia, sia da impugnare che da lanciare. Posso anche mantenere basse le spese, se mi lasci parlare con i mercanti. Ho anche buon occhio nel trovare le spoglie migliori dai nemici caduti sul campo di battaglia.
str_npc8_signup|Davvero ? Bene allora, devo solo raccogliere le mie erbe e le mie ricette.
str_npc9_signup|Un Uruk che combatte vale più di tutti i tuoi snaga. Un Uruk che combatte non scappa mai dalla battaglia.
str_npc10_signup|Davvero ? Faresti bene ad arruolarmi.
str_npc11_signup|Seguire la tua marmaglia, dici ? Ar ! Ho sentito voci su quello che sta succedendo a ovest, le incursioni e tutto il resto, centinaia dei nostri si trovano là. Verrò con te per vedere coi miei occhi che cosa combini.
str_npc12_signup|Vuoi che segua la tua marmaglia, eh ? Alla fine potrebbe essere arrivato un colpo di fortuna per me. Ho ancora un buon grido di battaglia e la mia frusta è ben sveglia. Ha assaggiato la sua dose di pelle d'orco dei miei ragazzi.
str_npc13_signup|Potrei seguirti, se vuoi. Le mie gambe hanno la forza di un cavallo e le mie mani conoscono bene la sensazione di stringere una lama della luna crescente. Le mie dita possono fare frecce che cadono sui nemici come una pioggia di stelle - sia a piedi che a cavallo, combatterò al tuo comando.
str_npc14_signup|Tutto può essere, ma sappi che non sono né un ladro né un brigante. Io non ruberò quello che serve ad altre vite.
str_npc15_signup|Eheh. Hai ragione! Sì! Sei molto saggio, grande Capitano.
str_npc16_signup|Aspetto ordini, ogni secondo che passa il mio cuore si appesantisce. Non posso più aspettare di conoscere i piani di lontani signori e capitani mai visti, tanto che la loro esistenza è più una leggenda che carne e ossa. Signori che sussurrano ordini portati urlando da uomini di bassa lega. Aspetto, e con me attende la vendetta del mio popolo.
str_npc17_signup|Molto bene ! Conosco molti alberi. Presto imparerai a conoscere molti alberi anche tu. Come me. Perché conosco molti alberi.
str_npc1_signup_2|Ci vorrà un momento, il tempo di parlare al mio capitano e prendere le mie cose.
str_npc2_signup_2|Avrò bisogno di parlare con il mio sergente prima di tutto, dopo potremo andare - ci sono gloriose battaglie da combattere e strane creature da vedere !
str_npc3_signup_2|Ho  atteso qualcuno che mi portasse con sè, ho solo bisogno di sellare il mio cavallo e saremo pronti ad andare.
str_npc4_signup_2|Ho fatto battute di caccia molte volte con arco e giavellotto. Darò la caccia agli orchi sotto il tuo comando. Ho anche abilità e conoscenze in guarigione, cose che certamente torneranno utili.
str_npc5_signup_2|Forse unendomi alla tua compagnia e colpendo duro dove non se l'aspetta, il nemico sarà sbilanciato. Verrò.
str_npc6_signup_2|Forse posso insegnarti a muoverti più rapidamente e a produrre meno rumore. Andiamo.
str_npc7_signup_2|Se sarai in grado di tenere in riga i tipi alti nella tua compagnia, specialmente gli Elfi, sarò lieto di unirmi a voi.
str_npc8_signup_2|Ti devo avvertire, sono abbastanza scarsa in battaglia. Ma so anche prendermi cura della mia sicurezza.
str_npc9_signup_2|Però devi decidere rapidamente, le guardie si stanno insospettendo.
str_npc10_signup_2|Non ti pentirai di avermi scelto.
str_npc11_signup_2|Ci sono molte cose là fuori da odorare con il mio naso e da far assaggiare al mio coltello. Loro non lo sanno ancora, ma siamo rapidi a imparare. Che ne dici ?
str_npc12_signup_2|Farò vedere alle vostre lumache che dove c'è una frusta salta fuori la voglia di trasportare quanto le loro schiene sono in grado di sollevare. Se la prendono bene potranno mantenere un buon ritmo. Cosa ne dici ?
str_npc13_signup_2|Sappi, comunque, che la mia lealtà va sempre prima al mio casato. Ho combattuto fino a qui e perso molto per loro. Non volterò a loro la schiena, perché il mio destino è anche il loro.
str_npc14_signup_2|È una fortuna che coloro che non fanno più parte di questo mondo non abbiano più bisogno dei suoi tesori, e sono fortunato ad essere abile nell'aiutare queste persone a sollevarsi da questi pesi.
str_npc15_signup_2|Oh, questo è un grande momento per 'Bolzog il dotato', e per te Grande Signore ! Conquisteremo insieme, tu indistruttibile grazie al mio tocco di guarigione e io, il Grande Orco Saggio che ti sostiene !
str_npc16_signup_2|Penso che non dovrò attendere a lungo. Intendo unirmi alla prossima compagnia che lascia l'accampamento, con l'approvazione del mio capitano o meno. Temo che la guerra possa finire prima che possa farne parte.
str_npc17_signup_2|Prenderò alcuni dei miei attrezzi e potremo partire. C'è questa quercia lungo la strada che devo farti vedere !
str_npc1_signup_response_1|Potrei aver bisogno di un ranger esperto, sei il benvenuto.
str_npc2_signup_response_1|Ottimo. Ci farebbe comodo un po' d'allegria in questi tempi bui.
str_npc3_signup_response_1|Molto bene. Monta in sella - ce ne andremo a breve.
str_npc4_signup_response_1|Impressionante. Saremo pronti a partire appena lo sarai tu, mia Signora.
str_npc5_signup_response_1|Saremmo onorati di avere nella nostra compagnia un Signore degli Elfi.
str_npc6_signup_response_1|Molto bene. Spero che non scapperai con il primo orco che passa.
str_npc7_signup_response_1|Molto bene, Mastro Nano, sei il benvenuto fra noi.
str_npc8_signup_response_1|Sarai al sicuro con noi, te lo prometto. Ce ne andremo a breve.
str_npc9_signup_response_1|Molto bene. Fa come hai detto e ti nutrirò bene.
str_npc10_signup_response_1|Molto bene. Andiamo.
str_npc11_signup_response_1|Molto bene. Andiamo.
str_npc12_signup_response_1|Penso che potremo fare buon uso di te.
str_npc13_signup_response_1|Penso che potrai esserci utile.
str_npc14_signup_response_1|Molto bene. Andiamo.
str_npc15_signup_response_1|Hmmm. Ammiro la tua.. fiducia. Raduna le tue cose.
str_npc16_signup_response_1|Che ne dici di unirti a me ?
str_npc17_signup_response_1|Grandioso ! Spero che non ti metterai a parlare di alberi tutto il tempo, comunque.
str_npc1_signup_response_2|Non ho bisogno dei tuoi servigi al momento, buona fortuna a te.
str_npc2_signup_response_2|Mi spiace, ho cambiato idea.
str_npc3_signup_response_2|Mi spiace, ho cambiato idea - magari la prossima volta.
str_npc4_signup_response_2|Chiedo venia, mia Signora, forse un'altra volta.
str_npc5_signup_response_2|Ripensandoci, forse dovremmo aiutare Lothlórien per conto nostro.
str_npc6_signup_response_2|Mi spiace, ma non riesco ad immaginarti su un campo di battaglia.
str_npc7_signup_response_2|Mi spiace, si da il caso che mi piacciano gli Elfi.
str_npc8_signup_response_2|Mi spiace, tutti combattono nella mia compagnia.
str_npc9_signup_response_2|Ho cambiato idea. Chiunque ti cerchi potrebbe venire per me, la prossima volta.
str_npc10_signup_response_2|Ho cambiato idea.
str_npc11_signup_response_2|Non ho bisogno di te, schiavo.
str_npc12_signup_response_2|Ho cambiato idea.
str_npc13_signup_response_2|Ho cambiato idea.
str_npc14_signup_response_2|Ho cambiato idea.
str_npc15_signup_response_2|In realtà, penso che cercherò un vero guaritore e non un pallone gonfiato.
str_npc16_signup_response_2|Ne ho avuto abbastanza.
str_npc17_signup_response_2|D'altro canto, penso di aver cambiato idea. Sei un tipo tosto, non è così ?
str_npc1_payment|Vorrei unirmi a voi, ma il mio Capitano Faramir sentirà la mia mancanza. [Costo: {reg14} Punti Influenza di {s14}]
str_npc2_payment|Il Sergente di guardia non mi lascerà andare, temo. [Costo: {reg14} Punti Influenza di {s14}]
str_npc3_payment|Ahem.. sembra che abbia accumulato un bel debito qui nella taverna, quindi.. avrò bisogno di saldare il conto prima di potermene andare.. [Costo: {reg14} Punti Influenza di {s14}]
str_npc4_payment|Vorrei unirmi a voi, ma chi si prenderà cura dei feriti se la città sarà attaccata ? [Costo: {reg14} Punti Influenza di {s14}]
str_npc5_payment|Dovremmo farcela in fretta. L'utilità del mio arrivo sarà diminuita se il nemico si accorge della mia presenza prima di averli raggiunti. Anche Lothlórien ha bisogno di me qui. [Costo: {reg14} Punti influenza di {s14}]
str_npc6_payment|Vorrei unirmi a voi, ma il mio posto è qui. [Costo: {reg14} Punti Influenza di {s14}]
str_npc7_payment|Vorrei unirmi a te, ma temo che mio padre Dwalin non comprenderebbe il motivo per cui lascio la città nel momento del bisogno. [Costo: {reg14} Punti Influenza di {s14}]
str_npc8_payment|Non posso abbandonare i miei incarichi, il mio Re ha ancora bisogno di me. Sono anche in ansia per la sua salute. [Costo: {reg14} Punti Influenza di {s14}]
str_npc9_payment|Vorrei partire con voi, ma le guardie al cancello non mi farebbero passare. Fidati, ho provato. [Costo: {reg14} Punti Influenza di {s14}]
str_npc10_payment|Vorrei unirmi a voi, ma il mio posto è qui. [Costo: {reg14} Punti Influenza di {s14}]
str_npc11_payment|Ho solo bisogno di qualcuno che si occupi del capo. Potremmo aspettare che dorma per farlo fuori, ma basterebbe uno ben messo per fargli chiudere gli occhi per sempre. Ah ! [Costo: {reg14} Punti Influenza di {s14}]
str_npc12_payment|Hai ! Yoi ! Dovrò ricordare ai ragazzi di tenere le loro bocche bavose chiuse, o ai piani alti mi verranno a cercare, so che lo faranno. [Costo: {reg14} Punti Influenza di {s14}]
str_npc13_payment|Ahimé, i capi qui non permetteranno che me ne vada. Sei abbastanza bravo da convincerli ? [Costo: {reg14} Punti Influenza di {s14}]
str_npc14_payment|Il capitano del porto richiederà molto sforzo per essere persuaso a lasciarmi andare. Convincilo e potremo issare le vele per attraversare questa tempesta. [Costo: {reg14} Punti Influenza di {s14}]
str_npc15_payment|Oh, certo, Nobile Lord-Guerriero ! C'è solo un piccolo impedimento ! Una grave ingiustizia si è abbattuta su di me, poiché al mastro di questa cava non è piaciuta la mia offerta di guarigione, e così ha preso tutti i miei attrezzi ! Che sfrontatezza ! Derubare il Grande Bolzog ! Padrone, non posso recuperare da solo il mio inestimabile equipaggiamento dai suoi sporchi artigli ! [Costo: {reg14} Punti Influenza di {s14}]
str_npc16_payment|Non ti seguirò, andrò per la mia strada; ma il tuo cammino potrà accompagnare il mio per un tratto. Comunque, prima di attraversare queste terre devo prima rendere omaggio a coloro che hanno perso la vita provandoci prima di noi. Mostra loro il tuo tributo e potremo partire. Non dobbiamo mai dimenticare i nostri antenati. Loro non hanno dimenticato noi. [Costo: {reg14} Punti Influenza di {s14}]
str_npc17_payment|Mi piacciono gli alberi, ma il mio vecchio zio ha bisogno di me. [Costo: {reg14} Punti Influenza di {s14}]
str_npc1_payment_response|Non preoccuparti, organizzerò la tua partenza con lui.  [Costo: {reg14}/{reg15} Punti Influenza]
str_npc2_payment_response|Non preoccuparti, parlerò con il tuo Sergente. [Costo: {reg14}/{reg15} Punti Influenza]
str_npc3_payment_response|Spero che ne valga la pena. Mi accorderò con l'oste. [Costo: {reg14}/{reg15} Punti Influenza]
str_npc4_payment_response|È una causa nobile, ma sono sicuro che si possa trovare un sostituto. [Costo: {reg14}/{reg15} Punti Influenza]
str_npc5_payment_response|Fidati di me, sarai più utile al mio fianco. [Costo: {reg14}/{reg15} Punti Influenza]
str_npc6_payment_response|D'ora in avanti, obbedirai a me. [Costo: {reg14}/{reg15} Punti Influenza]
str_npc7_payment_response|Il Maestro Dwalin comprenderà che un nano degno di combattere non può essere tenuto lontano dai suoi nemici troppo a lungo. [Costo: {reg14}/{reg15} Punti Influenza]
str_npc8_payment_response|Il benessere del Re è importante, ma salverai più vite con me. [Costo: {reg14}/{reg15} Punti Influenza]
str_npc9_payment_response|Oh, ma le guardie non oseranno fermarti, se sei con me. [Costo: {reg14}/{reg15} Punti Influenza]
str_npc10_payment_response|D'ora in avanti, obbedirai a me. [Costo: {reg14}/{reg15} Punti Influenza]
str_npc11_payment_response|Dimentica il tuo capo, ora sei al mio servizio. [Costo: {reg14}/{reg15} Punti Influenza]
str_npc12_payment_response|I tuoi ragazzi avranno nuovi ordini, mi occuperò io dei vertici. [Costo: {reg14}/{reg15} Punti Influenza]
str_npc13_payment_response|La vedranno diversamente, perché ora sono io il tuo Capo. [Costo: {reg14}/{reg15} Punti Influenza]
str_npc14_payment_response|Non devi preoccuparti del vecchio comandante del porto. [Costo: {reg14}/{reg15} Punti Influenza]
str_npc15_payment_response|Inestimabile, non è vero ? Ti porto il tuo equipaggiamento. [Costo: {reg14}/{reg15} Punti Influenza]
str_npc16_payment_response|Onoro i nostri antenati, i miei e i tuoi. [Costo: {reg14}/{reg15} Punti Influenza]
str_npc17_payment_response|Tuo zio starà bene. Sei con me adesso. [Costo: {reg14}/{reg15} Punti Influenza]
str_npc1_morality_speech|Comandante, non riesco a capire come puoi {s21} e abbandonare i nostri uomini. Il Capitano Faramir non avrebbe mai mancato di compassione nei confronti dei suoi Rangers, causando loro sofferenze non necessarie.
str_npc2_morality_speech|Spero non ti spiaccia se lo dico, ma è un po' difficile per me veder {s21}. Forse dovrei cercare di essere un soldato più temprato, ma se potessi essere più... Attento ai nostri soldati, dormirei meglio.
str_npc3_morality_speech|Comandante, noi Eorlingas non siamo mai stati {s21}. I nostri cavalli non si stancano facilmente e, una volta radunati, nessuna carica fatta al momento giusto può non essere a nostro favore. Fate attenzione la prossima volta che combatterete contro il fato.
str_npc4_morality_speech|Non prestare attenzione a ciò che dicono i soldati, alle volte {s21} è la più saggia linea d'azione. Io per primo apprezzo le vite risparmiate e le ferite evitate, ma solo per poter combattere un altro giorno, quando il fato volgerà a nostro favore.
str_npc5_morality_speech|Devi riconsiderare le tue azioni, comandante. {s21} non ci rende più onorevoli dei nostri nemici e riduce la fiducia dei nostri alleati.
str_npc7_morality_speech|Non ho gradito la tua decisione di {s21}. Cadere in battaglia è un onore per ogni nano con la testa sulle spalle, ma combattere in una compagnia guidata da un codardo è una vera disgrazia. Cosa diranno i miei cugini, se dovessero venirlo a sapere ?
str_npc8_morality_speech|Comandante, devo obiettare. {s21} è crudele e inutile per gli uomini. Faccio quello che posso per alleviare le loro sofferenze, ma ti prego di non fare altri dispendiosi errori.
str_npc9_morality_speech|Gli Uruk-Hai combattenti decidono mai di {s21}. Se il capo mostra poco coraggio, potrebbe trovarsi solo nel cuore della notte. Gulm ha parlato.
str_npc15_morality_speech|Puoi pensare che Bolzog il Grande può curare tutto, {playername}, ma anche io ho i miei limiti ! Se continui a {s21} anche il mio talento avrà difficoltà ! Devi darmi una mano ! Non posso far risorgere i morti, se muoiono o vengono fatti a pezzi !
str_npc1_2ary_morality_speech|Comandante, sono stato creciuto come Dúnadan, sia nel valore che nell'onore. Preferirei che noi non {s21}.
str_npc4_2ary_morality_speech|Chiedo scusa, comandante. Le donne del mio rango possono accettare la morte, ma non il disonore. Che {s21} porta la vergogna alla mia casata e ai miei antenati.
str_npc15_2ary_morality_speech|Hi-hi-hi ! Sei furbo, mio Signore ! Hai preso l'oro e annuendo hai detto 'si padrone'.. Ma per tutto il tempo hai progettato questo ! Hi-Hi ! Solo, dobbiamo fare attenzione, che il Grande Capo non si accorga che l'hai ingannato..
str_npc1_personalityclash_speech|Ho già detto che odio {s11} ?
str_npc2_personalityclash_speech|Ho già detto che odio {s11} ?
str_npc3_personalityclash_speech|Comandante, quindi ci ritroviamo con {s11} nella nostra compagnia ? È piuttosto agile a piedi, lo riconosco, ma parla troppo spesso di fare imboscate per i miei gusti - non si accorda con la natura cauta del suo popolo.
str_npc4_personalityclash_speech|Ho già detto che odio {s11} ?
str_npc5_personalityclash_speech|Ho già detto che odio {s11} ?
str_npc6_personalityclash_speech|{playername}, ho appena visto {s11} camminare sfacciatamente sopra al nido di uccelli appena nati. La sua goffaggine ha distrutto le vite di quelle creature innocenti.
str_npc7_personalityclash_speech|Signore, {s11} si comporta bene in battaglia, ma mi chiedo: acceca il nemico con i riflessi dei suoi capelli ? O cadono nel timore della sua fama o di fronte alla forza della sua presunzione ?
str_npc8_personalityclash_speech|Comandante, devo presentare un reclamo contro {s11}. Continua ad importunarmi perché gli faccia una certa bevanda chiamata 'la Fata Verde'.
str_npc9_personalityclash_speech|Ho già detto che odio {s11} ?
str_npc10_personalityclash_speech|Ho già detto che odio {s11} ?
str_npc11_personalityclash_speech|Ho già detto che odio {s11} ?
str_npc12_personalityclash_speech|Ho già detto che odio {s11} ?
str_npc13_personalityclash_speech|Ho già detto che odio {s11} ?
str_npc14_personalityclash_speech|Ho già detto che odio {s11} ?
str_npc15_personalityclash_speech|Ho già detto che odio {s11} ?
str_npc16_personalityclash_speech|Ho già detto che odio {s11} ?
str_npc17_personalityclash_speech|Ho già detto che odio {s11} ?
str_npc1_personalityclash_speech_b|Io odio {s11}.
str_npc2_personalityclash_speech_b|Io odio {s11}.
str_npc3_personalityclash_speech_b|Non ho alcuna disputa con le genti di Gondor, ma potremmo cavarcela meglio con cavalieri più coraggiosi e meno timorosi di sporcarsi di fango, non so se mi spiego.
str_npc4_personalityclash_speech_b|Io odio {s11}.
str_npc5_personalityclash_speech_b|Io odio {s11}.
str_npc6_personalityclash_speech_b|Le sue maniere da nano gli sono utili sotto terra, sebbene mi meravigli che non sia caduto giù da qualche dirupo. Forse sarebbe stato meglio.
str_npc7_personalityclash_speech_b|Ci sarebbe più utile un eroe dei nani, qualcuno come Durin l'immortale dei tempi che furono, per far sì che gli elfi si pavoneggino nelle loro foreste.
