itm_horse_meat|Carne di cavallo
; itm_mirkwood_helm_a|Mirkwood Archer Helm
; itm_mirkwood_helm_b|Mirkwood Helm
; itm_mirkwood_helm_c|Mirkwood Royal Spearman Helm
; itm_mirkwood_helm_d|Mirkwood Royal Archer Helm
; itm_mirkwood_boots|Mirkwood boots
; itm_mirkwood_leather_greaves|Mirkwood Leather Greaves
; itm_harad_tunic|Harad Tunic
; itm_harad_padded|Harondor Padded Armor
; itm_harad_hauberk|Harondor Hauberk
; itm_harad_lamellar|Harasjala Armor
; itm_harad_heavy|Harad Swordsman Armor
; itm_harad_skirmisher|Light Harad Garb
; itm_harad_archer|Harad Archer Armor
; itm_black_snake_armor|Maranka Armor
; itm_harad_champion|Far Harad Garb
; itm_panther_guard|Panther Hide
; itm_harad_scale|Harad Scale Armor
; itm_harad_tiger_scale|Tiger Guard Armor
; itm_harad_lion_scale|Lion Guard Armor
; itm_harad_dragon_helm|Kiloka Helm
; itm_harad_cav_helm_a|Harondor Cavalry Helm
; itm_harad_cav_helm_b|Harondor Cavalry Helm
; itm_black_snake_helm|Maranka Helm
; itm_harad_finhelm|Great Harad Helmet
; itm_harad_heavy_inf_helm|Great Harad Helmet
; itm_harad_wavy_helm|Great Harad Helmet
; itm_harad_eaglehelm|Eagle Guard Helm
; itm_lion_helm|Lion Guard Helm
; itm_harad_pantherhelm|Panther Guard Cap
; itm_harad_khopesh|Harad Khopesh
; itm_black_snake_sword|Harad Heavy Falchion
; itm_harad_heavy_sword|Harad Heavy Sword
; itm_horandor_a|Harad Scimitar
; itm_skirmisher_sword|Harad Skirmisher Sword
; itm_harad_sabre|Harad Sabre
; itm_harad_mace|Far Harad Mace
; itm_far_harad_2h_mace|Far Harad Two Handed Mace
; itm_harad_dagger|Harad Knife
; itm_harad_short_spear|Harad Short Spear
; itm_harad_long_spear|Harad Spear
; itm_eagle_guard_spear|Harasjala Polearm
; itm_harad_long_shield_a|Harad Leopard Shield
; itm_harad_long_shield_b|Harad Bronze Shield
; itm_harad_long_shield_c|Harad Sun Shield
; itm_harad_long_shield_d|Harad Snake Shield
; itm_harad_long_shield_e|Harad Snake Shield
; itm_harad_shield_a|Harondor Shield
; itm_harad_shield_b|Harondor Buckler
; itm_harad_shield_c|Harondor Buckler
; itm_harad_tribal_a|Far Harad Shield
; itm_harad_tribal_b|Far Harad Shield
; itm_harad_yellow_shield|Harad Shield
; itm_desert_boots|Desert Boots
; itm_harad_leather_greaves|Harad Greaves
; itm_harad_scale_greaves|Harad Boots
; itm_harad_lamellar_greaves|Harad Boots
; itm_khand_helmet_a1|Khand Helm With Camail
; itm_khand_helmet_a2|Khand Helm
; itm_khand_helmet_a3|Khand Veiled Helm
; itm_khand_helmet_b1|Khand Decorated Helm
; itm_khand_helmet_b2|Khand Masked Helm
; itm_khand_helmet_b3|Khand Veiled Helm
; itm_khand_helmet_b4|Khand Helm With Camail
; itm_khand_helmet_c3|Khand Infantry Helm
; itm_khand_helmet_c4|Khand Infantry Helm
; itm_khand_helmet_d1|Khand Masked Helm
; itm_khand_helmet_d2|Khand Helm With Camail
; itm_khand_helmet_d3|Khand Masked Helm
; itm_khand_helmet_e1|Khand Veiled Helm
; itm_khand_helmet_e2|Khand Helm With Camail
; itm_khand_helmet_e3|Khand Helm
; itm_khand_helmet_e4|Khand Veiled Helm
; itm_khand_helmet_f1|Khand Veiled Helm
; itm_khand_helmet_mask1|Khand Mask
; itm_khand_helmet_mask2|Khand Mask
; itm_khand_light|Khand Kilt
; itm_khand_foot_lam_a|Khand Armor
; itm_khand_foot_lam_b|Khand Armor
; itm_khand_foot_lam_c|Khand Armor
; itm_khand_heavy_lam|Khand Heavy Lamellar
; itm_khand_light_lam|Khand Light Lamellar
; itm_khand_med_lam_b|Khand Medium Lamellar
; itm_khand_med_lam_c|Khand Medium Lamellar
; itm_khand_med_lam_d|Khand Medium Lamellar
; itm_khand_noble_lam|Khand Noble Armor
; itm_variag_greaves|Variag Greaves
; itm_khand_axe_great|Khand Great Axe
; itm_khand_axe_winged|Khand Winged Axe
; itm_khand_halberd|Khand Halberd
; itm_khand_trident|Khand Trident
; itm_khand_voulge|Khand Voulge
; itm_khand_mace1|Khand Mace
; itm_khand_mace2|Khand Mace
; itm_khand_mace_spiked|Khand Spiked Mace
; itm_khand_rammace|Khand Ram Mace
; itm_khand_pitsword|Pit Fighter Sword
; itm_khand_tulwar|Khand Tulwar
; itm_khand_2h_tulwar|Khand Tulwar
; itm_khand_lance|Khand Lance
; itm_easterling_round_horseman|Easterling Round Shield
; itm_variag_gladiator_shield|Variag Gladiator Shield
; itm_easterling_hawk_shield|Easterling Hawk Shield
; itm_rhun_bull1_shield|Rhun Shield
; itm_rhun_bull2_shield|Rhun Shield
; itm_rhun_bull3_shield|Rhun Shield
; itm_furry_boots|Furry Boots
; itm_rhun_armor_a|Rhun Light Battlewear
; itm_rhun_armor_b|Rhun Light Battlewear
; itm_rhun_armor_d|Rhun Light Battlewear
; itm_rhun_armor_g|Rhun Heavy Battlewear
; itm_rhun_armor_h|Rhun Heavy Battlewear
; itm_rhun_armor_j|Rhun Medium Battlewear
; itm_rhun_armor_m|Rhun Medium Battlewear
; itm_rhun_armor_n|Rhun Medium Battlewear
; itm_rhun_armor_o|Rhun Medium Battlewear
; itm_rhun_armor_p|Rhun Noble Armor
; itm_rhun_armor_k|Rhun Noble Armor
; itm_rhun_helm_a|Rhun Barbed Helm
; itm_rhun_helm_b|Rhun Barbed Helm Camail
; itm_rhun_helm_c|Rhun Horde Helm
; itm_rhun_helm_e|Rhun Horde Horned Helm
; itm_rhun_helm_g|Rhun Horned Pot
; itm_rhun_helm_h|Rhun Horned Pot
; itm_rhun_helm_i|Rhun Round Helm
; itm_rhun_helm_j|Rhun Round Masked Helm
; itm_rhun_helm_k|Rhun Leather Helm
; itm_rhun_helm_l|Rhun Leather Helm
; itm_rhun_helm_m|Rhun Leather Helm
; itm_rhun_helm_n|Rhun Chieftain Helm
; itm_rhun_helm_o|Rhun Chieftain Helm
; itm_rhun_greataxe|Rhun Great Axe
; itm_rhun_battleaxe|Rhun Battle Axe
; itm_rhun_falchion|Rhun Falchion
; itm_rhun_glaive|Rhun Glaive
; itm_rhun_greatfalchion|Rhun Great Falchion
; itm_rhun_greatsword|Rhun Great Sword
; itm_rhun_shortsword|Rhun Shortsword
; itm_rhun_sword|Rhun Sword
; itm_rhun_shield|Rhun Kite Shield
; itm_dale_armor_a|Dale Jacket
; itm_dale_armor_b|Dale Cloak Jacket
; itm_dale_armor_c|Dale Archer Jacket
; itm_dale_armor_d|Dale Archer Jacket
; itm_dale_armor_e|Dale Coat Over Mail
; itm_dale_armor_f|Dale Coat Over Mail
; itm_dale_armor_g|Dale Coat Over Mail
; itm_dale_armor_h|Dale Cloak Long Maille
; itm_dale_armor_i|Dale Cloak Long Maille
; itm_dale_armor_j|Dale Cloak Long Maille
; itm_dale_armor_k|Dale Noble Armor
; itm_dale_armor_l|Dale Noble Gorget
; itm_dale_helmet_a|Dale Light Infantry Helm
; itm_dale_helmet_b|Dale Light Archer's Helm
; itm_dale_helmet_c|Dale Infantry Helm
; itm_dale_helmet_d|Dale Archer's Helm
; itm_dale_helmet_e|Dale Heavy Infantry Helm
; itm_dale_helmet_f|Dale Heavy Archer's Helm
; itm_dale_sword|Dale Shortsword
; itm_dale_sword_long|Dale Longsword
; itm_dale_sword_broad|Dale Broadsword
; itm_dale_pike|Dale Spear
; itm_dale_billhook|Dale Billhook
; itm_dale_shield_a|Dale Shield
; itm_dale_shield_b|Dale Shield
; itm_dale_shield_c|Dale Shield
; itm_dale_shield_d|Dale Shield
; itm_umb_armor_a|Corsair Leather Armor
; itm_umb_armor_a1|Corsair Heavy Leather Armor
; itm_umb_armor_b|Corsair Raider Armor
; itm_umb_armor_c|Corsair Padded Armor
; itm_umb_armor_d|Corsair Heavy Padded Armor
; itm_umb_armor_e|Corsair Padded Raider Armor
; itm_umb_armor_f|Corsair Hauberk
; itm_umb_armor_g|Corsair Hauberk Pauldrons
; itm_umb_armor_h|Corsair Heavy Raider Armor
; itm_umb_helm_a|Corsair Shell Helm
; itm_umb_helm_b|Corsair Shell Helm
; itm_umb_helm_c|Corsair Militia Helm
; itm_umb_helm_d|Corsair Militia Helm
; itm_umb_helm_e|Corsair Raider Helm
; itm_umb_helm_f|Corsair Raider Helm
; itm_umb_hood|Umbar Hood
; itm_corsair_boots|Corsair Boots
; itm_umb_shield_a|Corsair Buckler
; itm_umb_shield_b|Corsair Buckler
; itm_umb_shield_c|Corsair Buckler
; itm_umb_shield_d|Corsair Buckler
; itm_umb_shield_e|Corsair Buckler
; itm_umbar_cutlass|Umbar Cutlass
; itm_kraken|Kraken Cutlass
; itm_umbar_rapier|Umbar Sword
; itm_corsair_harpoon|Corsair Harpoon
; itm_corsair_sword|Corsair Eket
; itm_corsair_throwing_dagger|Umbarian Throwing Daggers
; itm_umbar_pike|Umbar Pike
; itm_woodman_tunic|Woodman Tunic
; itm_woodman_scout|Woodman Scout Cape
; itm_woodman_padded|Woodman Padded Armor
; itm_beorn_tunic|Beorning Tunic
; itm_beorn_padded|Beorning Padded Armor
; itm_beorn_heavy|Beorning Heavy Armor
; itm_beorn_berserk|Beorning Berserker Kit
; itm_beorn_chief|Beorning Chieftan's Tunic
; itm_beorn_helmet|North Skullcap
; itm_beorn_shield|Northmen Shield
; itm_beorn_axe|Beorning Axe
; itm_beorn_staff|Woodman's Staff
; itm_beorn_battle_axe|Beorning War Axe
; itm_dwarf_shield_a|Dwarven Shield
; itm_dwarf_shield_b|Dwarven Shield
; itm_dwarf_shield_c|Dwarven Shield
; itm_dwarf_shield_d|Dwarven Shield
; itm_dwarf_shield_f|Dwarven Shield
; itm_dwarf_shield_g|Dwarven Shield
; itm_dwarf_shield_i|Dwarven Shield
; itm_dwarf_shield_j|Dwarven Shield
; itm_dwarf_shield_k|Dwarven Shield
; itm_dwarf_shield_l|Dwarven Shield
; itm_dwarf_sword_a|Dwarf Sword
; itm_dwarf_sword_b|Dwarf Sword
; itm_dwarf_sword_c|Dwarf Sword
; itm_dwarf_sword_d|Dwarf Sword
; itm_dwarf_adz|Dwarf Adz
; itm_dwarf_great_axe|Dwarf Great Axe
; itm_dwarf_great_mattock|Dwarf Great Mattock
; itm_dwarf_great_pick|Dwarf Great Pick
; itm_dwarf_war_pick|Dwarf War Pick
; itm_dwarf_mattock|Dwarf Mattock
; itm_dwarf_hand_axe|Dwarf Short Axe
; itm_dwarf_throwing_axe|Dwarf Throwing Axe
; itm_dwarf_spear|Dwarf Spear
; itm_dwarf_spear_b|Dwarf Pike
; itm_dwarf_spear_c|Dwarf Pike
; itm_dwarf_helm_a|Dwarf Coif
; itm_dwarf_helm_b|Dwarf Coif with Mask
; itm_dwarf_helm_c|Dwarf Helm with Mask
; itm_dwarf_helm_h|Dwarf Helm
; itm_dwarf_helm_i|Dwarf Frisian Helm
; itm_dwarf_helm_j|Dwarf Frisian Mask
; itm_dwarf_helm_l|Dwarf Hood
; itm_dwarf_helm_m|Dwarf Iron Face
; itm_dwarf_helm_o|Dwarf Nasal Tophelm
; itm_dwarf_helm_p|Dwarf King Helm
; itm_dwarf_helm_q|Dwarf Miner Helm
; itm_dwarf_helm_r|Dwarf Miner Cap
; itm_dwarf_helm_u|Dwarf Round Mask
; itm_dwarf_helm_v|Dwarf Chain Sallet
; itm_dwarf_helm_x|Dwarf Masked Sallet
; itm_dwarf_armor_a|Dwarven Tunic over Mail
; itm_leather_dwarf_armor|Dwarven Pad over Mail
; itm_dwarf_vest|Dwarven Archer Armor
; itm_dwarf_armor_b|Dwarven Pad over Tunic
; itm_dwarf_armor_c|Dwarven Scale over Mail
; itm_leather_dwarf_armor_b|Dwarven Tunic
; itm_dwarf_vest_b|Iron Hills Tunic
; itm_dwarf_pad_boots|Dwarven Padded Boots
; itm_dwarf_chain_boots|Dwarven Mail Chausses
; itm_dwarf_scale_boots|Dwarven Scale Boots
itm_good_mace|Mazza
; itm_far_harad_shield_paint|Wicker Shield
; itm_nazgulrobe|Nazgul Robe
; itm_whiterobe|White Robe
; itm_mordor_banner|Mordor Banner
; itm_isengard_banner|Isengard banner
; itm_woodelf_banner|Mirkwood Banner
; itm_lorien_banner|Lothlorien Banner
; itm_imladris_banner|Imladris Banner
; itm_gondor_lance_banner|Gondor Lance With Banner
; itm_amroth_lance_banner|Dol Amroth Lance With Banner
; itm_rohan_lance_banner_sun|Rohan Lance With Sun Banner
; itm_rohan_lance_banner_horse|Rohan Lance With Horse Banner
; itm_ent_body|Ent Body
; itm_ent_head_helm|Ent Head
; itm_ent_head_helm2|Ent Head
; itm_ent_head_helm3|Ent Head
; itm_ent_feet_boots|Ent Feet
; itm_ent_hands|Ent Hands
; itm_galadriel|Galadriel suit
; itm_ent_water|Strange bowl of water
; itm_map|Maps of Middle Earth
; itm_athelas_reward|Athelas Plant
; itm_phial_reward|Light of Galadriel
; itm_scroll_reward|On the Fall of Gondolin
; itm_hammer_reward|Smith's Hammer
; itm_khand_knife_reward|Khand Sacrificial Knife
; itm_angmar_whip_reward|Master's Whip
; itm_horn_gondor_reward|Horn of Gondor
; itm_harad_totem_reward|Harad Totem
; itm_elven_amulet_reward|Elven Amulet
; itm_torque_reward|Evil Torque
; itm_orc_brew|Orc Brew
; itm_rohan_saddle|Saddle of Thengel
; itm_mearas_reward|Mearh Stallion
; itm_sword_of_arathorn|Arathorn's Sword
; itm_riv_armor_reward|Rivendell Decorated Armor
; itm_westernesse1h_reward|Sword of Westernesse
; itm_westernesse2h_reward|Sword of The Great Serpent
; itm_mirkwood_sword_reward|Greenwood Relic Sword
; itm_nazgul_sword|Nazgul Sword
; itm_cooking_cauldron|Cooking Cauldron
; itm_eorl_cavalry_sword|Sword of Eorl
; itm_garlic_reward|Garlic
; itm_silmarillion_reward|Silmarillion
; itm_herbarium_reward|Middle Earth Herbarium
; itm_book_of_moria|Book of Mazarbul
; itm_ring_a_reward|Tulcarisil
; itm_ring_b_reward|Finwarisil
; itm_dale_bow_reward|Bow of Bard
; itm_explosive_reward|Isengard Mine
; itm_corsair_trident|Trident of Sea Fury
; itm_crebain_reward|Isengard Crebain
; itm_miruvor_reward|Miruvor Flask
; itm_wheeled_cage|Giant wheeled cage
; itm_orc_throwing_axes_reward|Gundabad Flying Axes
; itm_corsair_throwing_dagger_reward|Poisoned Throwing Daggers
; itm_dwarf_shield_reward|Mithril Dwarven Shield
; itm_dwarf_great_axe_reward|Dwarf Sharp Axe
itm_isen_uruk_heavy_reward|Armatura da generale Uruk-hai
; itm_lorien_bow_reward|Noldorin Bow
; itm_lorien_sword_reward|Galadhrim Sword
; itm_dale_sword_reward|Marchwarden Sword
; itm_dale_armor_reward|Esgaroth Noble Gorget
; itm_leather_gloves_reward|Hunting Gloves
; itm_beorn_shield_reward|Woodmen Shield
; itm_beorn_axe_reward|Bear Axe
; itm_moria_arrow_reward|Moria Poisoned Arrows
; itm_khamul_helm|Helm of Khamul
; itm_gandstaff|Wizards Staff
; itm_sarustaff|Wizards Staff
; itm_rohan_armor_th|Rohan Royal Armor
; itm_denethor_robe|Stewards Robe
; itm_prisoner_coll_chain|Prisoner Chains
; itm_witchking_helmet|Wicked Helm
; itm_lorien_royal_armor|Lorien Royal Armor
; itm_feet_chains|Feet Chains
; itm_feet_chains_dwarf|Feet Chains
itm_spider|Ragno
itm_bear|Orso
itm_wolf|Lupo
; itm_defiled_armor_gondor|Defiled Gondor Leader's Surcoat
; itm_defiled_armor_rohan|Defiled Rohan Hauberk
; itm_defiled_armor_dale|Defiled Dale Noble Armor
