trp_unarmed_troop|Neozbrojená jednotka
trp_ac5_dism_elite_skirmisher_of_rohan2_pl|Elitná ľahká jazda Rohanu
trp_i1_harad_levy|Haradský branec
trp_i1_harad_levy_pl|Haradskí branci
trp_i3_harad_infantry|Haradský odvedenec
trp_i3_harad_infantry_pl|Haradskí odvedenci
trp_i4_harad_spearman|Haradský kopijník
trp_i4_harad_spearman_pl|Haradskí kopijníci
trp_i5_harad_tiger_guard|Tigrí strážca
trp_i5_harad_tiger_guard_pl|Tigria stráž
trp_i4_harad_swordsman|Haradský šermiar
trp_i4_harad_swordsman_pl|Haradskí šermiari
trp_i5_harad_lion_guard|Leví strážca
trp_i5_harad_lion_guard_pl|Levia stráž
trp_a3_harad_hunter|Haradský Lovec
trp_a3_harad_hunter_pl|Haradskí lovci
trp_a4_harad_archer|Haradský lukostrelec
trp_a4_harad_archer_pl|Haradskí lukostrelci
trp_a5_harad_eagle_guard|Orlý strážca
trp_a5_harad_eagle_guard_pl|Orlia stráž
trp_c2_harondor_scout|Prieskumník z Harondoru
trp_c2_harondor_scout_pl|Prieskumníci z Harondoru
trp_c3_harondor_rider|Jazdec z Harondoru
trp_c3_harondor_rider_pl|Jazdci z Harondoru
trp_c4_harondor_light_cavalry|Ľahký jazdec z Harondoru
trp_c4_harondor_light_cavalry_pl|Ľahká jazda Harondoru
trp_c5_harondor_serpent_knight|Rytier Zlatého Jaštera 
trp_c5_harondor_serpent_knight_pl|Rytieri zlatého jaštera
trp_ac3_harondor_skirmisher|Harondorský ľahkoodenec
trp_ac3_harondor_skirmisher_pl|Harondorskí ľahkoodenci
trp_ac4_harondor_horse_archer|Harondorský lukostrelec na koni
trp_ac4_harondor_horse_archer_pl|Harondorskí lukostrelci na koni
trp_ac5_harondor_black_snake|Jazdecký lukostrelec Čierneho Hada
trp_ac5_harondor_black_snake_pl|Jazdeckí lukostrelci Čierneho Hada
trp_i2_far_harad_tribesman|Divoch z Ďalekého Haradu
trp_i2_far_harad_tribesman_pl|Divosi z Ďalekého Haradu
trp_i4_far_harad_champion|Šampión z Ďalekého Haradu
trp_i4_far_harad_champion_pl|Šampióni z Ďalekého Haradu
trp_i5_far_harad_panther_guard|Pantéri strážca
trp_i5_far_harad_panther_guard_pl|Pantérská stráž
trp_i1_dun_wildman|Vrchovecký divoch
trp_i1_dun_wildman_pl|Vrchoveckí divosi
trp_i2_dun_warrior|Vrchovecký bojovník
trp_i2_dun_warrior_pl|Vrchoveckí bojovníci
trp_i3_dun_pikeman|Vrchovecký pikanier
trp_i3_dun_pikeman_pl|Vrchoveckí pikanieri
trp_i4_dun_vet_pikeman|Vrchovecký skúsený pikanier
trp_i4_dun_vet_pikeman_pl|Vrchoveckí skúsení pikanieri
trp_ac4_dun_crebain_rider|Vrchovecký vraní jazdec
trp_ac4_dun_crebain_rider_pl|Vrchoveckí vraní jazdci
trp_i3_dun_vet_warrior|Vrchovecký skúsený bojovník
trp_i3_dun_vet_warrior_pl|Vrchoveckí skúsení bojovníci
trp_i4_dun_wolf_warrior|Vrchovecký vlčí bojovník
trp_i4_dun_wolf_warrior_pl|Vrchoveckí vlčí bojovníci
trp_i5_dun_wolf_guard|Vrchovecký vlčí strážca
trp_i5_dun_wolf_guard_pl|Vrchovecká vlčia stráž
trp_ac5_dun_raven_rider|Vrchovecký nočný havran
trp_ac5_dun_raven_rider_pl|Vrchoveckí noční havrani
trp_i1_khand_bondsman|Khandský nevoľník
trp_i1_khand_bondsman_pl|Khandský nevoľník
trp_i2_khand_pit_dog|Khandský jamový pes
trp_i2_khand_pit_dog_pl|Khandské Jamové psy
trp_i3_khand_warrior|Khandský Bojovník
trp_i3_khand_warrior_pl|Khandskí Bojovníci
trp_i4_khand_vet_warrior|Skúsený bojovník Khandu
trp_i4_khand_vet_warrior_pl|Skúsení bojovníci Khandu
trp_i5_khand_war_master|Variagský Majster Vojny
trp_i5_khand_war_master_pl|Variagskí Majstri Vojny
trp_c2_khand_pony_rider|Khandský Jazdec na Poníkovi
trp_c2_khand_pony_rider_pl|Khandskí Jazdci na Poníkovi
trp_c3_khand_horseman|Khandský Jazdec
trp_c3_khand_horseman_pl|Khandskí Jazdci
trp_c4_khand_heavy_horseman|Khandský Ťažký jazdec
trp_c4_khand_heavy_horseman_pl|Khandský Ťažký jazdec
trp_c5_khand_kataphrakt|Železný Variag
trp_c5_khand_kataphrakt_pl|Železní Variagovia
trp_c5_khand_lance_kataphrakt|Variagský Kopijník
trp_c5_khand_lance_kataphrakt_pl|Variagskí Kopijníci
trp_i4_khand_halberdier|Khandský gizamrník
trp_i4_khand_halberdier_pl|Khandskí gizarmníci
trp_i5_khand_halberd_master|Variagský skúsený halapartník
trp_i5_khand_halberd_master_pl|Variagskí skúsení halapartníci
trp_i3_khand_pitfighter|Khandský Jamoví Bojovník
trp_i3_khand_pitfighter_pl|Khandskí Jamoví Bojovníci
trp_i4_khand_pit_champion|Khandský Zápasník Šampión
trp_i4_khand_pit_champion_pl|Khandskí Zápasníci Šampióni
trp_i5_khand_pit_master|Variagský víťaz jamových súbojov
trp_i5_khand_pit_master_pl|Varjagskí Páni Zápasísk
trp_ac3_khand_skirmisher|Khandský Šermiar
trp_ac3_khand_skirmisher_pl|Khandskí Šermiari
trp_ac4_khand_vet_skirmisher|Khandský Skúsený Šermiar
trp_ac4_khand_vet_skirmisher_pl|Khandský Skúsený Šermiar
trp_ac5_khand_heavy_skirmisher|Varjagský ťažký jazdec
trp_ac5_khand_heavy_skirmisher_pl|Varjagskí ťažkí jazdci
trp_i1_corsair_youth|Umbarský námorník
trp_i1_corsair_youth_pl|Umbarskí námorníci
trp_i2_corsair_warrior|Umbarský bojovník
trp_i2_corsair_warrior_pl|Umbarskí bojovníci
trp_i3_corsair_spearman|Umbarský kopijník
trp_i3_corsair_spearman_pl|Umbarskí kopijníci
trp_i4_corsair_raider|Korzár nájazdník
trp_i4_corsair_raider_pl|Korzári nájazdníci
trp_i5_corsair_night_raider|Nočný korzársky nájazdník
trp_i5_corsair_night_raider_pl|Noční korzárski nájazdníci
trp_a2_corsair_marine|Umbarský námorník
trp_a2_corsair_marine_pl|Umbarskí námorníci
trp_a3_corsair_marksman|Ostrostrelec z Umbaru
trp_a3_corsair_marksman_pl|Ostrostrelci z Umbaru
trp_a4_corsair_veteran_marksman|Skúsený ostrostrelec z Umbaru
trp_a4_corsair_veteran_marksman_pl|Skúsení ostrostrelci z Umbaru
trp_a5_corsair_master_marksman|Korzársky majstrer ostrostrelec
trp_a5_corsair_master_marksman_pl|Korzárski majstri ostrostrelci
trp_i3_corsair_swordsman|Umbarský šermiar
trp_i3_corsair_swordsman_pl|Umbarskí šermiari
trp_i4_corsair_veteran_swordsman|Skúsený šermiar z Umbaru
trp_i4_corsair_veteran_swordsman_pl|Skúsení šermiari z Umbaru
trp_i5_corsair_master_swordsman|Korzársky majster meča
trp_i5_corsair_master_swordsman_pl|Korzárski majstri meča
trp_a4_corsair_assassin|Korzársky nájomný vrah
trp_a4_corsair_assassin_pl|Korzárskí nájomní vrahovia
trp_a5_corsair_master_assassin|Korzársky nájomný vrah
trp_a5_corsair_master_assassin_pl|Korzárskí nájomní vrahovia
trp_i4_corsair_veteran_spearman|Skúsený korzársky kopijník
trp_i4_corsair_veteran_spearman_pl|Skúsení korzárskí kopijníci
trp_i5_corsair_master_spearman|Majster kopijník z Umbaru
trp_i5_corsair_master_spearman_pl|Majstri kopijníci z Umbaru
trp_i5_corsair_master_pikeman|Píkmajster z Umbaru
trp_i5_corsair_master_pikeman_pl|Píkmajstri z Umbaru
trp_i1_isen_orc_snaga|Ohyzd Zmok z Isengardu
trp_i1_isen_orc_snaga_pl|Ohyzdí Zmokovia z Isengardu
trp_i2_isen_orc|Ohyzd z Isengardu
trp_i2_isen_orc_pl|Ohyzdi z Isengardu
trp_i3_isen_large_orc|Veľký ohyzd z Isengardu
trp_i3_isen_large_orc_pl|Veľkí ohyzdi z Isengardu
trp_i4_isen_fell_orc|Divoký ohyzd z Isengardu
trp_i4_isen_fell_orc_pl|Divokí ohyzdi z Isengardu
trp_i3_isen_large_orc_despoiler|Veľký ohyzdí nájazdník
trp_i3_isen_large_orc_despoiler_pl|Veľkí ohyzdí nájazdníci
trp_i4_isen_fell_orc_despoiler|Divoký ohyzdí nájazdník
trp_i4_isen_fell_orc_despoiler_pl|Divokí ohyzdí nájazdníci
trp_ac2_isen_wolf_rider|Vlčí jazdec z Isengardu
trp_ac2_isen_wolf_rider_pl|Vlčí jazdci z Isengardu
trp_ac3_isen_warg_rider|Vročí jazdec z Isengardu
trp_ac3_isen_warg_rider_pl|Vročí jazdci z Isengardu
trp_ac4_isen_white_hand_rider|Jazdec Bielej Ruky
trp_ac4_isen_white_hand_rider_pl|Jazdci Bielej Ruky
trp_warg_ghost_1b|Vrok
trp_warg_ghost_1b_pl|Vroci
trp_warg_ghost_1c|Vrok
trp_warg_ghost_1c_pl|Vroci
trp_warg_ghost_1d|Vrok
trp_warg_ghost_1d_pl|Vroci
trp_warg_ghost_a1b|Vrok
trp_warg_ghost_a1b_pl|Vroci
trp_warg_ghost_a1c|Obrnený Vrok
trp_warg_ghost_a1c_pl|Obrnené Vroky
trp_warg_ghost_a2b|Obrnený Vrok
trp_warg_ghost_a2b_pl|Obrnené Vroky
trp_warg_ghost_a2c|Obrnený Vrok
trp_warg_ghost_a2c_pl|Obrnené Vroky
trp_warg_ghost_a3a|Obrnený Vrok
trp_warg_ghost_a3a_pl|Obrnené Vroky
trp_warg_ghost_h|Obrovský Vrok
trp_warg_ghost_h_pl|Obrovské Vroky
trp_a2_isen_uruk_tracker|Uruk Hai stopár
trp_a2_isen_uruk_tracker_pl|Uruk Hai stopári
trp_a3_isen_large_uruk_tracker|Veľký Uruk Hai stopár
trp_a3_isen_large_uruk_tracker_pl|Veľkí Uruk Hai stopáry
trp_a4_isen_fighting_uruk_tracker|Bojový Uruk Hai stopár
trp_a4_isen_fighting_uruk_tracker_pl|Bojoví Uruk Hai stopári
trp_i6_isen_uruk_berserker|Bojový Uruk Hai berserk
trp_i6_isen_uruk_berserker_pl|Bojoví Uruk Hai berserkovia
trp_i1_isen_uruk_snaga|Novorodený Uruk Hai
trp_i1_isen_uruk_snaga_pl|Novorodení Uruk Hai
trp_i2_isen_uruk|Uruk Hai z Isengardu
trp_i2_isen_uruk_pl|Uruk Hai z Isengardu
trp_i3_isen_large_uruk|Veľkí Uruk Hai z Isengardu
trp_i3_isen_large_uruk_pl|Veľkí Uruk Hai z Isengardu
trp_i4_isen_fighting_uruk_warrior|Bojový Uruk Hai
trp_i4_isen_fighting_uruk_warrior_pl|Bojoví Uruk Hai
trp_i5_isen_fighting_uruk_champion|Šampión Uruk Hai
trp_i5_isen_fighting_uruk_champion_pl|Šampióni Uruk Hai
trp_i3_isen_uruk_pikeman|Pikanier Uruk Hai
trp_i3_isen_uruk_pikeman_pl|Pikanieri Uruk Hai
trp_i4_isen_fighting_uruk_pikeman|Bojový pikanier Uruk Hai
trp_i4_isen_fighting_uruk_pikeman_pl|pikBojoví pikanieri Uruk Hai
trp_i5_isen_uruk_standard_bearer|Uruk Hai vlajkonoš
trp_i5_isen_uruk_standard_bearer_pl|Zástavníci Uruk Hai
trp_i1_mordor_uruk_snaga|Uruk Zmok z Mordoru
trp_i1_mordor_uruk_snaga_pl|Uruk Zmokovia z Mordoru
trp_i2_mordor_uruk|Uruk z Mordoru
trp_i2_mordor_uruk_pl|Urukovia z Mordoru
trp_i3_mordor_large_uruk|Veľký Uruk z Mordoru
trp_i3_mordor_large_uruk_pl|Veľkí Urukovia z Mordoru
trp_i4_mordor_fell_uruk|Divoký Uruk z Mordoru
trp_i4_mordor_fell_uruk_pl|Divokí Urukovia z Mordoru
trp_i3_mordor_uruk_slayer|Mordorský Uruk zabijak
trp_i3_mordor_uruk_slayer_pl|Mordorskí Urukovia zabijaci
trp_i4_mordor_fell_uruk_slayer|Divoký Uruk zabijak z Mordoru
trp_i4_mordor_fell_uruk_slayer_pl|Divokí Urukovia zabijaci z Mordoru
trp_i5_mordor_black_uruk|Čierny Uruk z Barad Dur
trp_i5_mordor_black_uruk_pl|Čierni Urukovia z Barad Dur
trp_i5_mordor_uruk_standard_bearer|Mordorský vlajkonoš
trp_i5_mordor_uruk_standard_bearer_pl|Zástavníci Mordoru
trp_troll_of_moria|Jaskynný zlobor
trp_troll_of_moria_pl|Jaskynní zlobri
trp_armoured_troll|Obrnený zlobor
trp_armoured_troll_pl|Obrnení zlobri
trp_olog_hai|Olog Hai z Mordoru
trp_olog_hai_pl|Olog Hai z Mordoru
trp_ent_old|Ent
trp_ent_old_pl|Enti
trp_i1_guldur_orc_snaga|Ohyzd Zmok z Dol Guldúru
trp_i1_guldur_orc_snaga_pl|Ohyzdí Zmokovia z Dol Guldúru
trp_a2_guldur_orc_tracker|Ohyzdí stopár z Dol Guldúru
trp_a2_guldur_orc_tracker_pl|Ohyzdí stopári z Dol Guldúru
trp_i1_mordor_orc_snaga|Ohyzd Zmok z Mordoru
trp_i1_mordor_orc_snaga_pl|Ohyzdí Zmokovia z Mordoru
trp_i2_mordor_orc|Ohyzd z Mordoru
trp_i2_mordor_orc_pl|Ohyzdi z Mordoru
trp_i3_mordor_large_orc|Veľký ohyzd z Mordoru
trp_i3_mordor_large_orc_pl|Veľkí ohyzdi z Mordoru
trp_i4_mordor_fell_orc|Divoký ohyzd z Mordoru
trp_i4_mordor_fell_orc_pl|Divokí ohyzdi z Mordoru
trp_c3_mordor_warg_rider|Vročí jazdec z Gorgorothu
trp_c3_mordor_warg_rider_pl|Vročí jazdci z Gorgorothu
trp_c4_mordor_great_warg_rider|Jazdec na veľkom vrokovy z Udunu
trp_c4_mordor_great_warg_rider_pl|Jazdci na veľkých vrokoch z Udunu
trp_i2_mordor_morgul_orc|Ohyzd z Minas Morgul
trp_i2_mordor_morgul_orc_pl|Ohyzdi z Minas Morgul
trp_i4_mordor_fell_morgul_orc|Divoký ohyzd z Minas Morgul
trp_i4_mordor_fell_morgul_orc_pl|Divokí ohyzdi z Minas Morgul
trp_a3_guldur_large_orc_tracker|Veľkí ohyzdí stopári z Minas Morgul
trp_a3_guldur_large_orc_tracker_pl|Veľkí ohyzdí stopári z Dol Guldúru
trp_a4_guldur_fell_orc_tracker|Divoký ohyzdí stopár z Dol Guldúru
trp_a4_guldur_fell_orc_tracker_pl|Divokí ohyzdí stopári z Dol Guldúru
trp_a2_mordor_orc_archer|Mordorský ohyzdí lukostrelec
trp_a2_mordor_orc_archer_pl|Mordorskí ohyzdí lukostrelci
trp_a3_mordor_large_orc_archer|Veľký ohyzdí lukostrelec z Mordoru
trp_a3_mordor_large_orc_archer_pl|Veľkí ohyzdí lukostrelci z Mordoru
trp_a4_mordor_fell_orc_archer|Divoký ohyzdí lukostrelec z Mordoru
trp_a4_mordor_fell_orc_archer_pl|Divokí ohyzdí lukostrelci z Mordoru
trp_c3_moria_wolf_rider|Vlčí jazdec z Morie
trp_c3_moria_wolf_rider_pl|Vlčí jazdci z Morie
trp_c4_moria_warg_rider|Vročí jazdec z Morie
trp_c4_moria_warg_rider_pl|Vročí jazdci z Morie
trp_c5_moria_clan_rider|Bolgov kmeňový jazdec
trp_c5_moria_clan_rider_pl|Bolgoví kmeňoví jazdci
trp_i1_moria_snaga|Zmok z Morie
trp_i1_moria_snaga_pl|Zmokovia z Morie
trp_i2_moria_goblin|Škrat z Morie
trp_i2_moria_goblin_pl|Škrati z Morie
trp_i3_moria_large_goblin|Veľký škrat z Morie
trp_i3_moria_large_goblin_pl|Veľkí škrati z Morie
trp_i4_moria_fell_goblin|Divoký škrat z Morie
trp_i4_moria_fell_goblin_pl|Divokí škrati z Morie
trp_a2_moria_goblin_archer|Škratí lukostrelec z Morie
trp_a2_moria_goblin_archer_pl|Škratí lukostrelci z Morie
trp_a3_moria_large_goblin_archer|Veľký Škratí Lukostrelec z Morie
trp_a3_moria_large_goblin_archer_pl|Veľkí škratí lukostrelci z Morie
trp_a4_moria_fell_goblin_archer|Divoký Škratí Lukostrelec z Morie
trp_a4_moria_fell_goblin_archer_pl|Divokí škratí Lukostrelci z Morie
trp_i1_gunda_goblin|Škrat z Gundabadu
trp_i1_gunda_goblin_pl|Škrati z Gundabadu
trp_i2_gunda_orc|Ohyzd z Gundabadu
trp_i2_gunda_orc_pl|Ohyzdi z Gundabadu
trp_i3_gunda_orc_fighter|Bojový ohyzd z Gundabadu
trp_i3_gunda_orc_fighter_pl|Bojoví ohyzdi z Gundabadu
trp_i4_gunda_orc_warrior| Ohyzdí vojak z Gundabadu
trp_i4_gunda_orc_warrior_pl|Ohyzdí vojaci z Gundabadu
trp_i4_gunda_orc_berserker|Ohyzdí berserk z Gundabadu
trp_i4_gunda_orc_berserker_pl|Ohyzdí berserkovia z Gundabadu
trp_ca4_gunda_skirmisher|Gundabadský vrrči strelec
trp_ca4_gunda_skirmisher_pl|Gundabadskí vrrči strelci strelci
trp_ca5_gunda_clan_skirmisher|Zmočí vročí strelec Sevesného kmeňa škratov
trp_ca5_gunda_clan_skirmisher_pl|Škratí vročí strelci Severského klanu
trp_c3_gunda_goblin_rider|Škratí jazdec z Gundabadu
trp_c3_gunda_goblin_rider_pl|Škratí jazdci z Gundabadu
trp_c4_gunda_warg_rider|Vročí jazdec z Gundabadu
trp_c4_gunda_warg_rider_pl|Vročí jazdci z Gundabadu
trp_c5_gunda_clan_rider|Jazdec Severského kmeňa škratov
trp_c5_gunda_clan_rider_pl|Jazdci Severského kmeňa škratov
trp_i5_gunda_orc_champion|Ohyzdí šampión z Gundabadu
trp_i5_gunda_orc_champion_pl|Ohyzdí šampióni z Gundabadu
trp_mountain_goblin2|Horský škrat
trp_mountain_goblin2_pl|Horskí škrati
trp_tribal_orc2|Kmeňový ohyzd
trp_tribal_orc2_pl|Kmeňoví ohyzdi
trp_i5_gunda_orc_champion2|Ohyzdí šampión z Gundabadu
trp_i5_gunda_orc_champion2_pl|Ohyzdí šampióni z Gundabadu
trp_i2_mordor_num_renegade|Čierno-Númenorejský odpadlík
trp_i2_mordor_num_renegade_pl|Čierno-Númenorejskí odpadlíci
trp_i3_mordor_num_warrior|Čierno-Númenorejský bojovník
trp_i3_mordor_num_warrior_pl|Čierno-Númenorejskí bojovníci
trp_i4_mordor_num_vet_warrior|Čierno-Númenorejský skúsený vojak
trp_i4_mordor_num_vet_warrior_pl|Čierno-Númenorejskí skúsení vojaci
trp_i5_mordor_num_champion|Čierno-Númenorejský šampión
trp_i5_mordor_num_champion_pl|Čierno-Númenorejskí šampióni
trp_i5_mordor_num_assassin|Čierno-Númenorejský nájomný vrah
trp_i5_mordor_num_assassin_pl|Čierno-Númenorejskí nájomní vrazi
trp_c4_mordor_num_horseman|Čierno-Númenorejský jazdec
trp_c4_mordor_num_horseman_pl|Čierno-Númenorejskí jazdci
trp_c5_mordor_num_knight|Čierno-Númenorejský majster jazdec
trp_c5_mordor_num_knight_pl|Čierno-Númenorejskí majstri jazdci
trp_noldorin_commander|Noldorský veliteľ
trp_noldorin_commander_pl|Noldorskí velitelia
trp_elf_captain_of_lothlorien|Elfský kapitán z Lothlorienu
trp_elf_captain_of_lothlorien_pl|Elfskí kapitáni z Lothlorienu
trp_lothlorien_lieutenant|Lothlorienský dôstojník
trp_lothlorien_lieutenant_pl|Lothlorienskí dôstojníci
trp_elf_captain_of_mirkwood|Elfský kapitán z Temnohvozdu
trp_elf_captain_of_mirkwood_pl|Elfskí kapitáni z Temnohvozdu
trp_mirkwood_lieutenant|Temnohvozdský dôstojník
trp_mirkwood_lieutenant_pl|Temnohvozdskí dôstojníci
trp_elf_captain_of_rivendell|Elfský kapitán z Roklinky
trp_elf_captain_of_rivendell_pl|Elfskí kapitáni z Roklinky
trp_rivendell_lieutenant|Dôstojník z Roklinky
trp_rivendell_lieutenant_pl|Dôstojníci z Roklinky
trp_lieutenant_of_rohan|Rohanský dôstojník
trp_lieutenant_of_rohan_pl|Rohanskí dôstojníci
trp_captain_of_rohan|Kapitán z Rohanu
trp_captain_of_rohan_pl|Kapitáni z Rohanu
trp_high_captain_of_rohan|Vyšší kapitán z Rohanu
trp_high_captain_of_rohan_pl|Vyšší kapitáni z Rohanu
trp_lieutenant_of_isengard|Isengardský dôstojník
trp_lieutenant_of_isengard_pl|Isengardskí dôstojníci
trp_captain_of_isengard|Kapitán z Isengardu
trp_captain_of_isengard_pl|Kapitáni z Isengardu
trp_high_captain_of_isengard|Vrchný kapitán z Isengardu
trp_high_captain_of_isengard_pl|Vrchní kapitáni z Isengardu
trp_lieutenant_of_mordor|Mordorský dôstojník
trp_lieutenant_of_mordor_pl|Mordorskí dôstojníci
trp_captain_of_mordor|Kapitán z Mordoru
trp_captain_of_mordor_pl|Kapitáni z Mordoru
trp_high_captain_of_mordor|Vrchný kapitán z Mordoru
trp_high_captain_of_mordor_pl|Vrchní kapitáni z Mordoru
trp_easterling_chieftain|Varjagský náčelník
trp_easterling_chieftain_pl|Varjagskí náčelníci
trp_easterling_lieutenant|Varjagský bojový kňaz
trp_easterling_lieutenant_pl|Varjagskí bojoví kňazi
trp_harad_chieftain|Haradský náčelník
trp_harad_chieftain_pl|Haradskí náčelníci
trp_harad_lieutenant|Haradský dôstojník
trp_harad_lieutenant_pl|Haradskí dôstojníci
trp_black_numenorean_captain|Čierno-Númenorejský kapitán
trp_black_numenorean_captain_pl|Čierno-Númenorejskí kapitáni
trp_black_numenorean_lieutenant|Čierno-Númenorejský dôstojník
trp_black_numenorean_lieutenant_pl|Čierno-Númenorejskí dôstojníci
trp_a5_dun_night_wolf|Vrchovecký Nočný vlk
trp_a5_dun_night_wolf_pl|Vrchoveckí Noční vlci
trp_dunnish_lieutenant|Vrchovecký hajtman
trp_dunnish_lieutenant_pl|Vrchoveckí hajtmani
trp_goblin_chieftain|Náčelník škratov
trp_goblin_chieftain_pl|Náčelníci škratov
trp_captain_of_gondor|Kapitán z Gondoru
trp_captain_of_gondor_pl|Kapitáni z Gondoru
trp_nobleman|Šľachtic
trp_nobleman_pl|Šlachtici
trp_gondor_agent|Gondorský agent
trp_gondor_agent_pl|Gondorskí agenti
trp_rohan_agent|Rohanský agent
trp_rohan_agent_pl|Rohanskí agenti
trp_mordor_agent|Mordorský agent
trp_mordor_agent_pl|Mordorskí agenti
trp_isengard_agent|Isengardský agent
trp_isengard_agent_pl|Isengardskí agenti
trp_looter|Lupič
trp_looter_pl|Lupiči
trp_bandit|Bandita
trp_bandit_pl|Banditi
trp_brigand|Zbojník
trp_brigand_pl|Zbojníci
trp_mountain_bandit|Horský bandita
trp_mountain_bandit_pl|Horskí Banditi
trp_forest_bandit|Lesný bandita
trp_forest_bandit_pl|Lesní Banditi
trp_sea_raider|Morský pirát
trp_sea_raider_pl|Morskí piráti
trp_steppe_bandit|Stepný bandita
trp_steppe_bandit_pl|Stepní banditi
trp_manhunter|Lovec ľudí
trp_manhunter_pl|Lovci Ľudí
trp_kidnapped_girl|Unesené dievča
trp_kidnapped_girl_pl|Unesené dievčatá
trp_refugee|Utečenec
trp_refugee_pl|Utečenci
trp_peasant_woman|Roľnícka žena
trp_peasant_woman_pl|Roľnícke ženy
trp_caravan_master|Vodca karavany
trp_caravan_master_pl|Vodcovia karavany
trp_caravan_guard|Strážnik karavany
trp_caravan_guard_pl|Stráž karavany
trp_messenger_man|Posol
trp_messenger_man_pl|Poslovia
trp_messenger_elf|Posol
trp_messenger_elf_pl|Poslovia
trp_messenger_dwarf|Posol
trp_messenger_dwarf_pl|Poslovia
trp_messenger_orc|Posol
trp_messenger_orc_pl|Poslovia
trp_messenger_evil_man|Posol
trp_messenger_evil_man_pl|Poslovia
trp_town_walker_1|Mešťan
trp_town_walker_1_pl|Mešťania
trp_town_walker_2|Mešťanka
trp_town_walker_2_pl|Mešťanky
trp_village_walker_1|Dedinčan
trp_village_walker_1_pl|Dedinčania
trp_village_walker_2|Dedinčan
trp_village_walker_2_pl|Dedinčania
trp_spy_walker_1|Mešťan
trp_spy_walker_1_pl|Mešťania
trp_spy_walker_2|Mešťanka
trp_spy_walker_2_pl|Mešťanky
trp_walker_man_gondor_black|Mešťan
trp_walker_man_gondor_white|Mešťan
trp_walker_man_gondor_blue|Mešťan
trp_walker_man_gondor_green|Mešťan
trp_walker_man_rohan_t|Rohanský mešťan
trp_walker_man_rohan_d|Rohanskí mešťania
trp_walker_woman_rohan_t|Rohanská paní
trp_walker_woman_rohan_d|Rohanská dáma
trp_walker_woman_gondor_b|Gondorská žena
trp_walker_woman_gondor_bw|Gondorská žena
trp_walker_woman_gondor_w|Gondorský šľachtic
; trp_mirkwood_walker_1|Greenwood Elf
; trp_mirkwood_walker_2|Greenwood Elf
; trp_lorien_walker_1|Lothlorien Elf
; trp_lorien_walker_2|Lothlorien Elf
trp_dwarf_walker|Trpaslík
; trp_beorn_walker|Peasant Man
trp_beorn_walker_fem|Roľnícka žena
trp_trainer_4|Tréner
trp_trainer_gondor|Tréner
trp_trainer_rohan|Tréner
trp_trainer_dale|Tréner
trp_trainer_elf|Tréner
trp_trainer_beorn|Tréner
trp_trainer_dwarf|Tréner
trp_trainer_mordor|Tréner
trp_trainer_isengard|Tréner
trp_trainer_khand|Tréner
trp_trainer_rhun|Tréner
trp_trainer_harad|Tréner
trp_trainer_umbar|Tréner
trp_ransom_broker_1|Výkupník zajatcov
trp_ransom_broker_2|Výkupník zajatcov
trp_ransom_broker_3|Výkupník zajatcov
trp_ransom_broker_4|Výkupník zajatcov
trp_ransom_broker_5|Výkupník zajatcov
trp_ransom_broker_6|Výkupník zajatcov
trp_ransom_broker_7|Výkupník zajatcov
trp_ransom_broker_8|Výkupník zajatcov
trp_ransom_broker_9|Výkupník zajatcov
trp_ransom_broker_10|Výkupník zajatcov
trp_tavern_traveler_1|Cestovateľ
trp_tavern_traveler_2|Cestovateľ
trp_tavern_traveler_3|Cestovateľ
trp_tavern_traveler_4|Cestovateľ
trp_tavern_traveler_5|Cestovateľ
trp_tavern_traveler_6|Cestovateľ
trp_tavern_traveler_7|Cestovateľ
trp_tavern_traveler_8|Cestovateľ
trp_tavern_traveler_9|Cestovateľ
trp_tavern_traveler_10|Cestovateľ
trp_tavern_minstrel_1|Bard
trp_npc1|Mablung
trp_npc2|Cirdil
trp_npc3|Ulfas
trp_npc4|Galmyne
trp_npc5|Glorfindel
trp_npc6|Luevanna
trp_npc7|Kili Zlatoprst
trp_npc8|Faniul
trp_npc9|Gulm
trp_npc10|Durgash
trp_npc11|Ufthak
trp_npc12|Gorbag
trp_npc13|Lykyada
trp_npc14|Fuldimir
trp_npc15|Bolzog
trp_npc16|Varfang
trp_npc17|Dimborn
trp_knight_6_2|Golasgil
trp_gondor_lord|Správca Denethor
trp_gondor_lord_pl|Správca
trp_rohan_lord|Kráľ Theoden
trp_rohan_lord_pl|Kráľ
trp_isengard_lord|Saruman
trp_isengard_lord_pl|Pán
trp_mordor_lord|Sauronove Ústa
trp_mordor_lord_pl|Satrap
trp_harad_lord|Náčelník Ul-Ulcari
trp_harad_lord_pl|Náčelník
trp_rhun_lord|Jarl Helcaroth
trp_rhun_lord_pl|Jarl
trp_khand_lord|Shibh Krukmahur
trp_khand_lord_pl|Shibh
trp_umbar_lord|Admirál Tulmir
trp_umbar_lord_pl|Admirál
trp_lorien_lord|Lady Galadriel
trp_lorien_lord_pl|Pani
trp_imladris_lord|Lord Elrond
trp_imladris_lord_pl|Lord
trp_woodelf_lord|Kráľ Thranduil
trp_woodelf_lord_pl|Kráľ
trp_moria_lord|Veliteľ Bolg Menší
trp_moria_lord_pl|Veliteľ
trp_guldur_lord|Veliteľ Fuinur
trp_guldur_lord_pl|Veliteľ
trp_gundabad_lord|Veliteľ Burza Krual
