str_yes|する
str_npc16_backstory_b|バルホス族は我が故郷に住む獰猛な一族だったが、 あの西方の者たちによって、 ほとんどが虐殺された。 我らは傷ついた獣のように追い回され、 やつらの剣のえじきにされたのだ。 やつらの剣によって流されたあの血と同じ血は、 今、 俺の体の中に流れている。 俺の体の中に流れている限り、 一族が途絶える事はない。
str_npc17_backstory_b|知ってるだろう、木からはたくさんのものを作れるんだ。 それがわしの仕事。 わしは木からたくさんのものを作っているんだよ。 たまに低木も使うけどね。 だけど、わしは木のほうが好きだ。
str_npc1_backstory_c|しかしながら、 これほどの多勢に無勢では、 援軍が来るか、 執政閣下がご英断を下されぬ限り、 イシリアンも長くは持たないだろう。 ファラミア隊長が許してくれれば、 私は状況を打破するための別の方法を模索したいのだが。
str_npc2_backstory_c|しかしながら、 我が任務の重要性は理解するものの、 私は常日頃、 実際の戦闘を見てみたいと切望しておりまして、 それと・・・ エルフやしゃべる木やオリファントなどというものも見てみたい、 と考えるわけであります！ 指揮官殿、 あなたは旅のご経験が豊富のようだ、 これは断じて、 あなたの格好を見てそう言っているのではありませんよ。 私は物覚えが非常に早く、 さらに料理の上手でして・・・ まあ、部隊で出される食事としては、ですが。 あなたは志願兵を募っていらっしゃると見受けますが、 いかがですか？
str_npc3_backstory_c|そういうわけで、 私はここで苦々しさをかみしめつつ、 恥をさらしている。 今頃、 我がエオレドは遠くかなたにおるだろう。 荒野を徘徊する野人やらオークやらをさばきつつ 彼らに追いつく事など、 私には無理だ。 おぬし、 優秀なロヒアリム騎兵がひとり必要だったりしないかね？
str_npc4_backstory_c|ご存知かも知れませんが、 たとえどれほどの武芸をもっていようとも、 女がエオレドに加わる事は許されていません。 しかしながら、 暖炉のそばで戦士たちの帰りをじっと待つというのは、 私には到底受け入れられないのです。 この戦争で建てられるべき功績がひとつ残らず消えるまで、 私は何もせずにただ時間を過ごすつもりはありません。 そこで戦士殿、 あなたのお力をお借りしたい。
str_npc5_backstory_c|しかしながら、 ロスロリエンの当面の敵が姿を隠している現状をかんがみると、 しばらく君と行動をともにする事も悪くない考えかも知れないな、 {playername}殿。 この戦争において、 君と私の運命は交わっているように感じる。
str_npc6_backstory_c|みたところ、 あなたは戦いに熱心みたいだし、 こんな事は、 あなたには理解できないかもしれないわね。 でも、 あなたは遠く離れた、 いろいろな場所を旅をして来たのよね。 他の大森林に行った事はある？ 私をそこへ連れて行けないかしら？
str_npc7_backstory_c|この戦いは退屈で、 わしのような気質と血筋を持つ ドワーフの戦士には合わん。 わしの聞いたところだと、 あんたは方々に旅をしては 派手に暴れておるようで、 しかもドワーフには親切にしてるそうだな？ 一緒に戦ってくれるドワーフがいると、 生き残る可能性がぐーんと上がるぞ。
str_npc8_backstory_c|他所では戦いがとても激しく、 そのおかげで今のところ、 私たちの土地は助かっているのだと聞きました。 あなたの防具についた無数の傷から察するに、 あなたは何度も死地を切り抜けてきたのでしょうね。 私の力は大した事がないけれど、 あなたの部隊に参加すれば、 多くの人々のお役に立てるのかも知れません。
str_npc9_backstory_c|わしは戦闘ウルク＝ハイの、狂戦士じゃ！ 人間を殺すすべは、 熟知しておる。 白の手に仕えておったんじゃが、 白の手がわしを見つけたら、 すぐにわしを火の穴へ放り込むじゃろうな。^^おぬしにその気さえあれば、 わしはおぬしの下で南の人間どもを殺そう。 アイゼンガルドのスナガどもには歯ぎしりさせとくとしようか。
str_npc10_backstory_c|あんた、俺のご主人さまにならないか。
str_npc11_backstory_c|まあいいさ！ どうせおいらの鼻なんて大して役に立たないよ。 目で探したほうが早いんじゃないかな。 そうさ！ だいたい、 おいらの鼻は何もないときの匂いってのを知らないんだ。 もっと言うと、 おいらの鼻は何を探していいのかわかってないんだ。 ちぇ！ おいらはただ、 手当たり次第に斬りつけて、 適当にクンクン嗅ぎ回りたいだけなのにさ。
str_npc12_backstory_c|ああ、 機会さえあれば、 信頼できる下っ端を何匹か連れてここを抜け出し、 好きなときに略奪のできる、 親分どものいない場所へ根城を移したいもんだ。 昔のように、 ナズグールどものいない住処が恋しいわい。
str_npc13_backstory_c|俺は同胞への忠義から、 一族と共に北へと旅をし、 冥王の呼びかけに耳を傾けた。 だが、 そこで俺は我が同胞の心が、 すでに冥王によって支配されている事に気がついた。 俺は冥王の支配から逃れるために、 この戦争は、 一族とは別の形で戦う事にした。 だが、 以前は滝のようだった闇の意志が、 いまだに俺の中にしたたり落ちているのを感じる。
str_npc14_backstory_c|だが、 まだ俺の見た事のない大波があった。 黒い、 闇の大波だ。 人間がいまだ目にした事のない、 大地を覆ってしまう大波だ。 俺はこのような波を手なずける機会が来るのを待っていたが、 俺ひとりの手には少々余る。
str_npc15_backstory_c|多くの冬を越したあと、 わしは身に付けた技術を磨く場所と住みかを探すため、 洞窟を出て暗い森の中をさまよった。 うまくいってたんだが、 あの白い入れ墨の醜い連中が ― くそっ！ あの青白いのが！ エルフみたいな顔の！ ― あのでかぶつどもが邪魔したんだ。 やつらは森の中のわしの小屋に火をつけたんで、 わしはまた洞窟に逃げ込むはめになったというわけさ・・・ この通り・・・ ところで、 何か食べ物もってないか？ 馬は？
str_npc16_backstory_c|これは何世代も前の話だ。 遠い昔話だ。 だが、 悲痛と昔話はもう終わりだ。 我が一族の報復の時が来たのだ。 俺は西の民の顔に、 我が一族の復讐の証を刻み込んでやる。 この手でやつらの故郷を廃墟に変え、 やつらの一族を根絶やしにしてくれる！
str_npc17_backstory_c|もし森の中へ行くつもりなら、 わしが一緒についていって、 木の話をしようか？ 森の中にはとても良い木が、 たくさんあるんだよ。
str_npc1_backstory_later|私は偵察隊を率いて、 遠く南のエミン・アルネンまで行って来た。 あのあたりは敵の活動がより活発で、 我々はいくつものオークどもの群れに奇襲をかけ、 これを壊滅させた。 しかし、 オークどもの首をいくら渓谷にころがそうとも、 無数のオークが湧いてくるのだ。 私はイシリアンとゴンドールの行く末が心配でならない。
str_npc2_backstory_later|このところは、 ここを訪れる人の数も少なくなっております。 あまり良い兆しとは言えません。
str_npc3_backstory_later|あいかわらず、 我がエオレドからの知らせはない。 私はオークどもを踏み潰したくてうずうずしている。
str_npc4_backstory_later|日に日に兵士の怪我人が増えています。 私は出来る限りの看病をしているのですが、 自分が檻に閉じ込められているという思いはぬぐえません。
str_npc5_backstory_later|考え直したかね？ エルダールに残された時間は少ない。
str_npc6_backstory_later|私はこの二日間、 大蜘蛛の巣を観察していたの。 初めて見るとその姿の醜さに驚くかも知れないけれど、 彼らは侵入者から森を守っているのよ。 今日は私を旅へ誘いに来たの？
str_npc7_backstory_later|頑丈な城壁をつくるのは、 すべてのドワーフにとって、 やりがいを感じる仕事だ。 だが、わしは斧も振り回したいんだ。 今すぐ。 わしを一緒に連れて行ってくれないか。
str_npc8_backstory_later|また陛下のお呼び出しを受けたのですが、 今度は嘔吐なんです。 陛下のこのような健康状態と、 敵に対する陛下の執着心とは関連性はないと信じたいのですが。 あなたは便秘や嘔吐に悩まされているような事はありませんか？
str_npc9_backstory_later|何をしとるように見える？ グルムはここに座って、 こそこそしたスナガどもに、 暗がりで刺されるのを待っとるんじゃ。 わしを一緒に連れて行ってくれ。 わしは精一杯殺すぞ。
str_npc10_backstory_later|どうだい？俺はお役に立つぞ。
str_npc11_backstory_later|ああ！あんただったのか！ においでわかったぞ、 またあんたが来ると思ってたんだ。 親分どもにもそう言ってくれよ、な？ あいつら、 おいらが追跡兵失格になったからって、 おいらをばかにしてんのさ。 あいつら間違ってる。 あいつらのきんたまに、 矢を突き刺してやる。 誰が悪いのかって？ 悪いのはおいらじゃないぞ！
str_npc12_backstory_later|俺には任務がある。 俺の子分どもに見つかった侵入者は、 歯を抜かれ、 爪をはがされ、 髪を抜かれるといった具合だ。 だが、 俺にもまた、 監視の目が光っている。 外で普通じゃない事が起こっているのはわかる。 俺たちの親分どもがごっそり戦争に出かけたり、 まあ普通じゃないわいな。 遠く西のほうで、 何かが起こってるっていう話だ。 こんなところでぶらぶらしてるのは、 俺の性に合わん。
str_npc13_backstory_later|闇の軍勢における俺の役まわりは、 うまくいっていると言える。 北の連中は、 再び南を怖れ始めている。 我が軍の勝利は疑いようがなく、 我々の通った後には、 血が川となって流れるだろう。 しかし、 勝利を重ねるたび、 我が同胞が闇の深みへと落ちていくのが見える。 それには絶望する以外にない。
str_npc14_backstory_later|よう旅の人、 また来たのかい。 これは何かの兆しなのかもな。 ずっと波の様子を見ていたんだが、 海の色が暗くなっているんだ。 海は人間の目に、 多くを語るのさ。
str_npc15_backstory_later|多くの連中が、 わしの調合する薬を求めてやって来た。 馬狂いどもや青白い顔のエルフまで来るようになったんで、 わしは再び住みかを後にしなければならなくなった。 それで・・・ 偉大なる指導者さま、 ええっと、 わしはあんまり戦いには強くないんだが、 この治療の腕は、 必ずお役に立つと・・・
str_npc16_backstory_later|俺の一族が、 かつての土地をどれほど切望してきたことか。 西の連中がどのような不実の歴史を 主張しているのかは知らないが、 我が軍勢がこの土地を訪れた今、 やつらの歴史は、 これより暗黒の時代となるだろう。 大地を揺るがすひづめと、 剣、 それに弓。 かつてのバルホス族がそうであったように、 俺たちはあの連中に、破滅をもたらしてやるのだ。
str_npc17_backstory_later|こないだ、とても大きいアカマツの木を見つけたんだ。 アカマツの木は長寿なんだよ。 年を重ねた木には、敬意を払わなくちゃいけない。 木にこれっぽっちも敬意を払わない連中はいるけどね。 あんたはそうじゃないだろう？
str_npc1_backstory_response_1|もし{君/あなた}が一緒に来れるなら、追跡術を持つ経験豊富な戦士は大歓迎{だ/よ}。
str_npc2_backstory_response_1|{君/あなた}の言う通り{だ/よ}。私は志願兵を探している{/の}。
str_npc3_backstory_response_1|しらふで使い物になるのなら、優秀な騎兵として我が部隊に迎え入れよう。
str_npc4_backstory_response_1|ローハンの盾持つ乙女からの申し出とあらば、我々は歓迎する。
str_npc5_backstory_response_1|このような申し出は僭越かも知れませんが、来たる戦いに備えるため、我が部隊にあなたの力を貸していただけないでしょうか。
str_npc6_backstory_response_1|我々が旅をするのは、すべての清きものを守り、敵と戦うためだ。
str_npc7_backstory_response_1|もちろん{だ/よ}、ドワーフの戦士は歓迎{しよう/するわ}。
str_npc8_backstory_response_1|我が部隊には医師も薬草医も必要だ{/わ}。
str_npc9_backstory_response_1|まあ、狂戦士は使い道があるだろうな。
str_npc10_backstory_response_1|いいだろう。
str_npc11_backstory_response_1|私と一緒に斬りつけてまわるか？
str_npc12_backstory_response_1|私と一緒に、いろいろと抜き取ってまわるか？
str_npc13_backstory_response_1|私について来ないか？
str_npc14_backstory_response_1|私の仲間にならないか？
str_npc15_backstory_response_1|なるほど・・・軍医ってわけだ。そうだな？そして自分の腕に自信がある、とおまえは言う。役に立つかも知れないな。
str_npc16_backstory_response_1|ここで何をしてるんだ？
str_npc17_backstory_response_1|まあ、木についての知識を深めるのは有益な事だろう。我々は君を歓迎しよう。
str_npc1_backstory_response_2|それは大変{だな/ね}。{君/あなた}の信念が{君/あなた}の勇気に力を与えますように。
str_npc2_backstory_response_2|申し訳ない。経験のある戦士を探している{んだ/の}。
str_npc3_backstory_response_2|{すまないが/ごめんなさい}、もうちょっと信頼できる者を探している{んだ/の}。
str_npc4_backstory_response_2|{すまないが/ごめんなさい}、私では力になれない{な/わね}。
str_npc5_backstory_response_2|ロスロリエンがもうすこし平和になったらまた来る{よ/わ}。
str_npc6_backstory_response_2|{すまないが/ごめんなさい}、役に立たない者を部隊に置いておく余裕はない{んだ/の}。
str_npc7_backstory_response_2|せっかく{だが/だけど}、我々だけでうまくやれている{んだ/の}。
str_npc8_backstory_response_2|い{や/いえ}。薬草医には必要なときにだけ診て貰えれば充分{だな/ね}。
str_npc9_backstory_response_2|笑わせるな。裏切り者など信用できるものか。
str_npc10_backstory_response_2|おまえなど要らん、この奴隷め。
str_npc11_backstory_response_2|おまえの愚痴など聞いてる暇はない。
str_npc12_backstory_response_2|おまえの親分どもは正しい。命令には従っておくものだ。
str_npc13_backstory_response_2|それが君の運命ならば、仕方ない。
str_npc14_backstory_response_2|もうじゅうぶんだ。
str_npc15_backstory_response_2|フン！私が探しているのは戦士だ、ほら吹きに用はない。
str_npc16_backstory_response_2|もうたくさんだ。
str_npc17_backstory_response_2|せっかくだが、我々は植物の調査をしに来たのではなくて、これから戦争に向うところなんだ。
str_npc1_signup|さらなる勇気を持って敵に当たり、 敵の勢いを止める事のできる者が他にもいるという事を、 ファラミア隊長は理解してくれるだろう。
str_npc2_signup|ああ、今日はついている！ 私は喜んであなたの部隊に志願したい。
str_npc3_signup|信じてくれ指揮官殿、 私に本当に必要な酒は、 勝利の美酒だけだ。 私を戦場に連れて行ってくれれば、 ロヒアリムの槍の破壊力を、 存分にご覧に入れよう！
str_npc4_signup|ろこんであなたの指揮下に入らせていただきましょう、 隊長。
str_npc5_signup|なるほど。 君の名前や、 偉業の数々は、 私もよくうかがっている。
str_npc6_signup|私は暴力や戦争で使う武器は 嫌いだけれど、 いざとなったら自分の身は自分で守れるわ。
str_npc7_signup|わしは斧に自信がある。 振り回すのも投げるのも得意だ。 それに、商人との交渉をわしにまかせてくれれば、 経費も浮かせることができるぞ。 あと、戦場で倒れた敵兵から 金目の物を見つけるのも得意だ。
str_npc8_signup|本当ですか？ それじゃ、もうあまり薬草や調合法を探して回らなくて 済むのかしら。
str_npc9_signup|あんたの部隊におるスナガを全部足しても、 一匹の戦闘ウルク＝ハイのほうが価値があるぞ。 戦闘ウルク＝ハイは戦場から決して逃げない。
str_npc10_signup|ほんと？ようし、後悔させないぜ。
str_npc11_signup|あんたの悪さにつきあえだって？つきあうよ！ 西のほうは凄いんだってな、 略奪やり放題とかさ、 味方の連中がたくさん殺されたりさ。 あんたについていって、 一緒にあんたの悪事を楽しむよ。
str_npc12_signup|あんたの一味に加われってのかい、え？ どうやら俺にも運が向いてきたようだ。 俺は腕っぷしには自信がある。 そして俺のムチには隙がない。 下っ端オークどもをしつけるのはお手の物だ。
str_npc13_signup|俺を連れ出す事ができるのなら、 おまえについて行こう。 俺は馬を自在に操り、 半月刀を自由自在に扱える。 弓を持たせれば、 馬上であろうと徒歩であろうと、 敵に流星群のような矢を降らせてみせよう。 俺をどのように使うかは、 おまえの采配次第だがな。
str_npc14_signup|それは良いかもな。 ただ、俺は盗賊や山賊とは違うぞ。 俺は盗みはやらないし、 生きている者から強奪したりもしない。
str_npc15_signup|へへへ。おっしゃる通り！ やった！ あんたは賢いよ、 偉大なる隊長どの。
str_npc16_signup|俺は命令が下されるのを、 暗い気持ちでいまかと待ち続けている。 俺はもうこれ以上、 姿を見た者もいない、 伝説だけが一人歩きしているような指揮官どもの作戦など、 あてにしてはいない。 かつての我々の指揮官たちは前線に送られ、 身分の低い者たちにこき使われているという。 だがそれでも、 我が民の復讐のため、 俺は待ち続けなければならない。
str_npc17_signup|そうこなくっちゃ！ わしはたくさんの木を知っている。 あんたもすぐに、たくさんの木を覚えるさ。 わしみたいにね。 なぜって、 わしがたくさんの木を知っているからさ。
str_npc1_signup_2|隊長に話をして荷物をまとめてこよう。 ちょっと待っててくれ。
str_npc2_signup_2|私の上官に話をしてこなくてはなりませんが、 それが済めば出発できます。 栄誉ある戦いと、 あらゆる不思議の生物が待っている！
str_npc3_signup_2|私を雇ってくれる者が現れるのを、 ずっと待っていたんだ。 よって準備は万端だ。 鞍を馬へ上げたら、 すぐに出発しよう。
str_npc4_signup_2|私は弓や槍を使っての狩猟では、 多くの獲物を仕留めた経験があります。 あなたの指揮下では、 オークを仕留めてご覧に入れましょう。 それと、 私には多少の医術の心得もあります。 これも役に立つでしょう。
str_npc5_signup_2|敵の予想の外から私が一撃を加えるというのは、 敵勢を動揺させるのに効果的かも知れぬ。 君と一緒に行くとしよう。
str_npc6_signup_2|私にも、 素早く、 音を立てない歩き方なら教えて上げられると思うわ。 さあ行きましょう。
str_npc7_signup_2|あんたがあの背の高い連中、 特に油断も隙もないエルフを ちゃんとしつけといてくれれば、 わしは喜んであんたの部隊に入るよ。
str_npc8_signup_2|これはお断りしておかなければならないんですが、 私、戦闘に関してはまったくの素人なんです。 でも、あなたなら、 私のような年端も行かない女ひとりの安全くらいは 確保できますよね。
str_npc9_signup_2|そろそろ決断してくれ、衛兵どもがこっちをうかがっておる。
str_npc10_signup_2|俺を部下にして後悔はさせない。
str_npc11_signup_2|おいらの鼻でいろいろ嗅ぎ回りたいね、 あとナイフで斬りつけて回りたい。 どっちも今は大して役に立たないけど、 すぐに上達するさ。 そう思うだろう？
str_npc12_signup_2|俺は怠け者どもに、 この世の掟のひとつ、 ふたつをムチで叩き込んでやれる。 よほどの馬鹿でない限り、 せかせかと歩くようになるぞ。 どうだ？
str_npc13_signup_2|俺は我が民に対して、 常に忠実であり続けてきた。 今までを戦い抜き、 多くの戦いを失った。 我が民を見捨てる事は決してない。
str_npc14_signup_2|あの世に財宝は持っていけないっていうのは、 うまいことできてるもんだ。 主を失った財宝の数々は、 俺がしっかり回収してやらないとな。
str_npc15_signup_2|ああ、てんさいボルゾグは大感激だよ、 偉大なる指導者さま！ わしの治療術さえあればあんたは無敵だ。 あんたはこのオークの大賢者を従え、 世界を斬り従えるんだ！
str_npc16_signup_2|もうこれ以上は待てないかも知れない。 我らが族長の許しがあろうとなかろうと、 俺は次の出撃部隊に同行するつもりだ。 このまま何もせずに戦争が終わってしまうなどという事は、 受け入れられない。
str_npc17_signup_2|わしの荷物を取ってくるよ、 そうしたら出発しよう。 この道をすぐいったところに、 ぜひ見せたいナラの木があるんだ！
str_npc1_signup_response_1|腕利きの野伏は重宝するだろう、ぜひ私の仲間になって欲しい。
str_npc2_signup_response_1|いい{だろう/わ}。この暗い時勢には明るさが必要{だろう/ね}。
str_npc3_signup_response_1|いい{だろう/わ}。馬に鞍をつけてくれ。我々はもうすぐ出発する。
str_npc4_signup_response_1|素晴らしい。{君/あなた}の準備が整い次第、我々は出立する{/わよ}。
str_npc5_signup_response_1|エルフの将軍を仲間に迎えることができるとは、光栄です。
str_npc6_signup_response_1|いい{だろう/わ}。{君/あなた}がオークを見て逃げ出さないといいけど。
str_npc7_signup_response_1|いい{だろう/わ}、歴戦のドワーフ殿、我々は歓迎する。
str_npc8_signup_response_1|{君/あなた}の身の安全は私が保障{しよう/するわ}。さあすぐに出発する{ぞ/わよ}。
str_npc9_signup_response_1|よかろう。私の言う通りにすれば、思う存分暴れさせてやろう。
str_npc10_signup_response_1|よかろう。さあ行くぞ。
str_npc11_signup_response_1|よかろう。さあ行くぞ。
str_npc12_signup_response_1|我々がおまえにふさわしい働き場所を用意してやろう。
str_npc13_signup_response_1|我々がおまえにふさわしい働き場所を用意してやろう。
str_npc14_signup_response_1|よかろう。さあ行くぞ。
str_npc15_signup_response_1|ふうむ。おまえのその・・・自信を買ってやろう。荷物をまとめて持ってこい。
str_npc16_signup_response_1|私と一緒に来ないか？
str_npc17_signup_response_1|それは凄いな！でも、ずっと木の事をしゃべり続けるわけではないといいのだが。
str_npc1_signup_response_2|今のところ、人手は間に合ってる{んだ/の}。幸運を祈る{よ/わ}。
str_npc2_signup_response_2|{すまん/ごめんなさい}、気が変わった{/わ}。
str_npc3_signup_response_2|すまない、気が変わった。また今度にしよう。
str_npc4_signup_response_2|申し訳ない{/けれど}、ご婦人、また今度の機会にし{よう/ましょう}。
str_npc5_signup_response_2|よく考えてみたら、別に我々だけでもロスロリエンを助ける事はできるな。
str_npc6_signup_response_2|{すまないが/ごめんなさい}、{君/あなた}が戦場にいる姿を想像できない{んだ/わ}。
str_npc7_signup_response_2|せっかくだ{が/けど}、私はエルフのほうが好きな{んだ/の}。
str_npc8_signup_response_2|せっかくだ{が/けど}、私の部隊では全員が戦う事を求められるの{だ/}。
str_npc9_signup_response_2|気が変わった。おまえを狙う連中に、巻き添えを食らいたくないな。
str_npc10_signup_response_2|気が変わった。
str_npc11_signup_response_2|おまえなど要らん、この奴隷め。
str_npc12_signup_response_2|気が変わった。
str_npc13_signup_response_2|気が変わった。
str_npc14_signup_response_2|気が変わった。
str_npc15_signup_response_2|ほら吹きは放って置いて、ちゃんとした医者を探すとしよう。
str_npc16_signup_response_2|もうたくさんだ。
str_npc17_signup_response_2|ちょっと考えたんだが、やはり気が変わった。{君/あなた}は、ちょっと頭に問題があるん{だろう/でしょう}？
str_npc1_payment|一緒に行きたいのは山々だが、 ファラミア隊長は私がここを離れるのを許さないだろう。 [{s14}での影響力を{reg14}消費します]
str_npc2_payment|残念ながら、 上官は私の異動願いを聞いてくれませんでした。 [{s14}での影響力を{reg14}消費します]
str_npc3_payment|ええと、どうやら私は、 この居心地の良すぎる酒場で随分と飲んだくれておったようで。 つけをどうにかせんといかん。 [{s14}での影響力を{reg14}消費します]
str_npc4_payment|あなたについていきたいのは山々ですが、 もしこの街が敵の攻撃を受けたら、 一体誰が怪我人の面倒を見ればよいのでしょう？ [{s14}での影響力を{reg14}消費します]
str_npc5_payment|敵に私の所在が知られる前に出立したいところではあるが、 ロスロリエンもまた私を必要としているのだ。 [{s14}での影響力を{reg14}消費します]
str_npc6_payment|一緒に行きたいけれど、私には任務があるの。 [{s14}での影響力を{reg14}消費します]
str_npc7_payment|ついていきたいのは山々だが、 わしの尊敬すべき父、 ドワーリンがこの事を理解してくれるかどうかは疑問だ。 [{s14}での影響力を{reg14}消費します]
str_npc8_payment|陛下のおそばを離れるわけにはいきません。 陛下の健康状態は私が把握しているのです。 [{s14}での影響力を{reg14}消費します]
str_npc9_payment|あんたと一緒に行きたいが、 門にいる衛兵どもは許さんだろう。^一度試してみたが、だめじゃった。 [{s14}での影響力を{reg14}消費します]
str_npc10_payment|これでも一応任務があって、なかなか今すぐ出発、 というわけにもいかないんだ。 [{s14}での影響力を{reg14}消費します]
str_npc11_payment|あんた、おいらの親分に話をつけてくれないかな。 親分が寝るのを待ってのどを掻き切ってもいいんだけど、 親分は自分より偉い奴にはまるで頭が上がらないんだ。 あんたのほうが偉いだろ！ [{s14}での影響力を{reg14}消費します]
str_npc12_payment|ほっほう！ ううむ！ 子分どもには黙っているよう言っておけるが、 上の連中の口はどうにもならん。 [{s14}での影響力を{reg14}消費します]
str_npc13_payment|ここにいる族長や酋長たちは、 俺が傍を離れるのを許さないだろう。 彼らを説得できるか？ [{s14}での影響力を{reg14}消費します]
str_npc14_payment|俺を連れ出すように港の責任者を説得するのは、 骨が折れるだろう。 説得できればの話だがな。 [{s14}での影響力を{reg14}消費します]
str_npc15_payment|そうこなくっちゃ。 気高き将軍さま！ あと、ちょっとした障害があるんだ！ ひどい災難がわしを見舞ってな！ この洞窟の親分が、 わしの治療が気に入らないとかで、 わしの七つ道具を盗んでしまったんだ！ あの卑怯者め！ この腕ききボルゾグさんから盗みを働くなんて！ ご主人さま、 わしではあの薄汚い卑怯者から、 わしの命にも代えがたい七つ道具を取り戻せないんだ！ [{s14}での影響力を{reg14}消費します]
str_npc16_payment|俺は誰にも仕えぬ。 俺は定められた運命の道を進むだけだ。 だが、 もしかすると俺とおぬしの進む道は交わっているのかも知れぬ。 いずれにせよ、 かつてこの地で命を落とした者たちへ、 敬意を表わす事なく旅立つ事は許されない。 彼らに賛辞をささげよ。 先祖に対する敬意を忘れる事があってはならない。 先祖は我らの事を決して忘れない。 [{s14}での影響力を{reg14}消費します]
str_npc17_payment|わしは木が好きなんだが、 わしがいなくなったら叔父さんが困るんだ。 [{s14}での影響力を{reg14}消費します]
str_npc1_payment_response|心配{するな/しないで}、彼には私が話をつけてお{こう/くわ}。 [影響力を{reg14}/{reg15}消費します]
str_npc2_payment_response|心配{するな/しないで}、私が{君/あなた}の上官に話をつけて{こよう/くるわ}。 [影響ポイントを{reg14}/{reg15}消費]
str_npc3_payment_response|酒場の主人には私が話をつけておこう。その代わり、しっかり頼むぞ。 [影響力を{reg14}/{reg15}消費します]
str_npc4_payment_response|それは見上げた心遣い。 {だが/でも}、心配せずとも、代わりの者はきっと見つかる{だろう/わ}。 [影響力を{reg14}/{reg15}消費します]
str_npc5_payment_response|あなたは我々と共に行動するべきです。私を信じていただきたい。 [影響力を{reg14}/{reg15}消費します]
str_npc6_payment_response|今よりあなたの任務は私と共にある。 [影響力を{reg14}/{reg15}消費します]
str_npc7_payment_response|勇猛なドワーフの戦士を戦いから遠ざけてはいけないと、ドワーリン殿も理解してくれるだろう。 [影響力を{reg14}/{reg15}消費します]
str_npc8_payment_response|王の健康状態も重要だが、 私と一緒に来れば、 より多くの命を救う事ができる。 [影響力を{reg14}/{reg15}消費します]
str_npc9_payment_response|気を揉むな、私と一緒にいれば奴らに手出しはできぬ。 [影響力を{reg14}/{reg15}消費します]
str_npc10_payment_response|今からおまえの任務は私と共にある。 [影響力を{reg14}/{reg15}消費します]
str_npc11_payment_response|親分の事は忘れろ。今からおまえは私に仕えるのだ。 [影響力を{reg14}/{reg15}消費します]
str_npc12_payment_response|おまえの部下は心配いらないだろう。上の連中には私が話をつけておく。 [影響力を{reg14}/{reg15}消費します]
str_npc13_payment_response|状況は変わったのだ。今より私が君の族長だ。 [影響力を{reg14}/{reg15}消費します]
str_npc14_payment_response|彼の事は私に任せてくれ。 [影響力を{reg14}/{reg15}消費します]
str_npc15_payment_response|それほど重要なものなのか？わかった、取り戻してこよう。 [影響力を{reg14}/{reg15}消費します]
str_npc16_payment_response|私は我々の先祖に敬意を払おう。君の先祖と、私の先祖に、だ。 [影響力を{reg14}/{reg15}消費します]
str_npc17_payment_response|{君/あなた}の叔父さんなら心配いらない{/わ}。{君/あなた}は我々と一緒なのだから。 [影響力を{reg14}/{reg15}消費します]
str_npc1_morality_speech|隊長、なぜ{s21}などという、 部下を見捨てるような事をするのか、 私には理解できない。 ファラミア隊長は部下への思いやりを忘れる事などなかったし、 必要のない苦しみを強要することもなかった。
str_npc2_morality_speech|このような事を申し上げて、 お気を悪くなさらないといいのですが、 私にとって、 {s21}という行為は少々理解しがたいのです。 もしかすると私は兵士としての考え方が甘いのかも知れませんが、 あなたがもうすこし・・・ 思いやりを持って兵士たちに接するよう心がけていただければ、 と思います。
str_npc3_morality_speech|隊長、我々エオルの家の子らは、 決して{s21}などという事はしない。 我々の馬は簡単にはへばらないし、 隊を整え直して狙い済ました突撃を繰り出せれば、 いつでも戦いの流れをひっくり返すことはできる。 再び劣勢の戦いに望む事があれば、 ぜひその事を心にとどめ置いていただきたい。
str_npc4_morality_speech|兵士の言う事を聞く必要はありません。 ときには{s21}という事は、 最上の選択になる得るのです。 ここは無用な犠牲を避けて、 我々の勝機を待つべきなのです。
str_npc5_morality_speech|指揮官殿、 あなたは考え方を改める必要がある。 {s21}という行為によって得られる名誉などはなく、 それは我々の友人たちに動揺を与えてしまうだけだ。

str_npc7_morality_speech|あんたが{s21}決断をしたのには、 わしは納得いかん。 まっとうなドワーフにとって、 戦いで命を落とすのは名誉な事だ。 卑怯者の率いる部隊で戦うのは、 恥と心得る。 わしのいとこたちがこの事を知ったら、 何と言うだろう？
str_npc8_morality_speech|隊長、言わなければならない事があります。 {s21}などというのは、 残酷かつ、 回避できる事です。 私は兵たちの苦痛をやわらげるよう尽くしますが、 どうか、 もうこのような重大な間違いは繰り返さないでください。
str_npc9_morality_speech|わしら戦闘ウルク＝ハイは、 {s21}などということはしない。 主人が臆病だとわかれば、 戦闘ウルク＝ハイはどこかへ消えるだろう。 グルムの忠告じゃ。





str_npc15_morality_speech|{playername}、あんた、 てんさいボルゾグさんは何でも治してくれると思ってるんだろうがね、 わしにだって限界はあるんだよ！ もし{s21}ような事が続くなら、 わしの才能をもってしてもさばききれないよ！ こっちの身にもなってくれよ！ 切り刻まれようが飢え死にしようが、 死んじまったもんは生き返らせられないよ！


str_npc1_2ary_morality_speech|隊長、私は勇気と名誉を重んじる、 ドゥネダインとして育てられた。 {s21}などという事は、 受け入れがたい。


