qstr_Gate_is_breached!|Kapı açıldı!
qstr_Inappropriate_equipm|Uygunsuz ekipman
; qstr_The_mount_you_just_e|The mount you just equipped does not fit characters of this race. Be warned that there will be problems with the animal behaviour on the battlefield, if you leave it as this
qstr_Inappropriate_mount|Uygunsuz binek
; qstr_{s24}:_Some_of_your_|{s24}: Some of your wounds healed!
; qstr_{s24}:_Your_infantry|{s24}: Your infantry feels better!
; qstr_{s24}:_Your_archers_|{s24}: Your archers feel better!
; qstr_{s24}:_Your_cavalry_|{s24}: Your cavalry feels better!
; qstr_Ah_what_a_coincidenc|Ah, what a coincidence, running into you {playername}! You might not know me, but are not unknown to me. I am on my way to {s4}, but I have just come from {s3} and your name has come up. {s3} is counting on you in these perilous times and if you had thought to pursue some distracting course of action, you might wish to reconsider it and focus on aiding {s3} to your utmost capabilities.
qstr_Who_are_you?|Sen kimsin?
; qstr_A_friend_of_{s3}_and|A friend of {s3} and the people of {s2}. Now hurry! Mordor draws all wicked things, and the Dark Power is bending all its will to gather them there. Time is running out for all that is good in this world, lest we make count our every action to oppose it!
qstr_What_should_I_do?|Ne yapmalıyım?
; qstr_Find_{s3}_s_whereabo|Find {s3}'s whereabouts immediately and speak with him. Good luck!
; qstr_Good_to_see_the_Shad|Good to see the Shadow has not yet managed to defeat you {playername}.
; qstr_You_are_the_one_they|You are the one they call Gandalf or Mithrandir.
; qstr_That_is_what_some_ca|That is what some call me. In my times I have also been called other things, but unless the Darkness is stopped, soon there may not be anyone left to call me anything at all.
qstr_What_do_you_mean?|Ne demek istiyorsun?
; qstr_In_spite_of_their_va|In spite of their valiant resistance, {s3} has been overwhelmed by the forces of evil. {s3}'s people are scattered and the good {s4} is no more.
; qstr_You_bring_dismal_new|You bring dismal news, wizard.
; qstr_But_I_also_bring_a_m|But I also bring a message of hope. The people of {s5} are still holding firm. Their warriors are fearless and their leaders resolute.
; qstr_Help_them_fight_the_|Help them fight the enemy as best as you can. Never relent! But be on your guard! There are older and fouler things than Orcs in the world.
; qstr_Beware_{playername}_|Beware {playername}, the might of Darkness crumbles. {s3} has fallen, as has its leader {s4}.
qstr_What_do_you_want_of_|Benden ne istiyorsun, yaşlı adam?
; qstr_Just_know_that_a_Daw|Just know that a Dawn is coming. It is inevitable. And should you still be alive to see it, consider what you shall have to say for yourself then.
; qstr_Well_met_{playername|Well met {playername}, {s24}. My trust in you has not been misplaced. The might of the forces of the Shadow has been broken and your efforts played no small part in it!
qstr_Thank_you_Mithrandir|Teşekkürler, Mithrandir!
; qstr_The_wizard_Saruman_i|The wizard Saruman is gone and Barad Dur has been shattered to dust along with its Dark Lord! All the peoples of Middle Earth are relieved of the threat that nearly consumed all that was good and pure in this world. The Enemy is vanquished and The King has returned!
; qstr_It_was_a_long_and_bl|It was a long and bloody war and many of our close friends are also no longer with us.
; qstr_There_is_much_to_reg|There is much to regret and mourn, and even more to rebuild and mend in the coming days. But for now, let us be jubilant with those of our friends that are with us still and celebrate all we have achieved in The Last Days Of The Third Age.
qstr_Bagginsssss..._Ssssh|Bagginsssss... Sssshhhire...
qstr_I..._don_t_know!|Ben... bilmiyorum!
qstr_It..._beckonsssssss.|O... çağırıyoooor...
; qstr_Treachery..._Unforgi|Treachery... Unforgiven...
qstr_But_I...|Ama ben...
; qstr_Noone..._oppossssses|Noone... oppossssses... Barad Dur... and livessss!
; qstr_All..._must..._submi|All... must... submit... and... serve...
qstr_I_serve_the_Eye!|Göze hizmet ediyorum
qstr_I_shall_serve_the_Ey|Göze hizmet edeceğim
; qstr_{s1}_has_been_besieg|{s1} has been besieged by {s2} of {s3}.
; qstr_The_forces_of_{s2}_m|The forces of {s2} march to {s15}!
; qstr_The_hosts_of_{s2}_ma|The hosts of {s2} march back to defend their homes!
; qstr____Ruins_of_{s1}___|   Ruins of {s1}   
; qstr_ranks|ranks
qstr_shield_wall|kalkan duvarı
; qstr_wedge|wedge
qstr_square|kare
; qstr_up|up
; qstr___Infantry_forming_{|  Infantry forming {s1}.
; qstr___Not_enough_infantr|  Not enough infantry to form {s1}, holding instead.
; qstr___Cavalry_forming_{s|  Cavalry forming {s1}.
; qstr___Not_enough_cavalry|  Not enough cavalry to form {s1}, holding instead.
; qstr___Archers_forming_{s|  Archers forming {s1}.
; qstr___Not_enough_archers|  Not enough archers to form {s1}, holding instead.
; qstr___Infantry_formation|  Infantry formation disassembled.
; qstr___Cavalry_formation_|  Cavalry formation disassembled.
; qstr___Archer_formation_d|  Archer formation disassembled.
; qstr_{s1}_has_fled_the_ba|{s1} has fled the battle!
; qstr_Your_troops_are_at_{|Your troops are at {reg1}% cohesion (+{reg3}% bonus), the enemy at {reg2}%!
; qstr_Morale_of_your_troop|Morale of your troops wavers!
; qstr_Morale_of_your_enemi|Morale of your enemies wavers!
qstr_Your_enemies_flee_in|Düşmanların korkuyla kaçıyor
; qstr_Many_of_your_enemies|Many of your enemies are fleeing from battle.
; qstr_Some_of_your_enemies|Some of your enemies are fleeing from battle.
; qstr_A_few_of_your_enemie|A few of your enemies are fleeing from battle.
; qstr_Your_troops_flee_in_|Your troops flee in terror!
; qstr_Many_of_your_troops_|Many of your troops are fleeing from battle.
; qstr_Some_of_your_troops_|Some of your troops are fleeing from battle.
; qstr_A_few_of_your_troops|A few of your troops are fleeing from battle.
; qstr_Your_mount_stumbles!|Your mount stumbles! It seems to be lame.
qstr_Bitten_by_your_own_w|Kendi wargın tarafından ısırıldın
qstr_You_weigh_too_much_f|Bir midilli için çok ağırsın
; qstr_Your_mount_rears_ref|Your mount rears, refusing to obey your commands!
qstr_Cannot_leave_now.|Şimdi ayrılamazsın
; qstr_You_have_found_the_l|You have found the local smithy...
; qstr_You_have_found_the_lo|You have found the local authority...
; qstr_You_have_found_the_loc|You have found the local warehouse...
; qstr__cancelled_the_{reg1|(cancelled the {reg10} exp pts earned from killing prisoners)
; qstr_Forming_ranks.|Forming ranks.
qstr_You_fall_off_of_your|Bineğinden düştün
; qstr_Received_{reg0}_dama|Received {reg0} damage.
; qstr_{s1}_fell_unconsciou|{s1} fell unconscious.
; qstr_Three_Nazguls_are_ci|Three Nazguls are circling in the sky above the battlefield!
; qstr_Two_Nazguls_are_circ|Two Nazguls are circling in the sky above the battlefield!
; qstr_A_Nazgul_is_circling|A Nazgul is circling in the sky above the battlefield!
; qstr_Your_mount_is_scared|Your mount is scared by the {reg5?ent:troll}!
; qstr_Nazgul_sweep!|Nazgul sweep!
; qstr_You_and_your_horse_p|You and your horse panic, the Nazgul cries are unbearable!
; qstr_Your_horse_panics_th|Your horse panics, the Nazgul cries are unbearable!
; qstr_You_cower_in_terror_|You cower in terror, the Nazgul cries are unbearable!
; qstr_knocked_unconscious|knocked unconscious
; qstr_Nazgul_diving_attack|Nazgul diving attack on {s11}!
; qstr_{s11}_is_{s10}_in_th|{s11} is {s10} in the Nazgul attack!
; qstr_{s1}_s_morale:_{reg1|{s1}'s morale: {reg1}
; qstr_You_rally_your_troop|You rally your troops!
; qstr_{s5}_rallies_his_tro|{s5} rallies his troops!
; qstr_You_have_killed_{reg|You have killed {reg1} enemies in this battle!
qstr_Your_bravery_inspire|Cesaret birliklerine ilham veriyor
qstr_Everyone|Herkes
qstr_Infantry|Piyade
qstr_Archers|Okçu
qstr_Cavalry|Süvari
qstr_{s1}_and_{s2}|{s1} ve {s2}
; qstr_{s1}_{s2}_and_{s3}|{s1}, {s2} and {s3}
; qstr_{s10}_Move_over_ther|{s10}, Move over there!
; qstr_You_have_a_clear_per|You have a clear perception of great imminent danger, from all around you!
; qstr_New_ent_reached_batt|New ent reached battle scene...
; qstr_On_your_positions_bi|On your positions, bitchez!!
; qstr_Defenders:_infantry_|Defenders: infantry CHARGE!!
; qstr_Defenders:_everyone_|Defenders: everyone CHARGE!!
; qstr_Attackers:_{reg1}/{r|Attackers: {reg1}/{reg3}/{reg5} Defenders: {reg0}/{reg2}/{reg4}
; qstr_Reached_Gauntlet_wav|Reached Gauntlet wave {reg1}!
qstr_Ballista:_out_of_amm|Mancınık:mermimiz bitti
; qstr_Ballista:_turn_CURSO|Ballista: turn CURSOR, aim LSHIFT, shoot SPACE, set fire T, exit F
qstr_Ballista:_out_of_ammo|Mancınık:mermimiz bitti!
; qstr_The_ladders_on_Deepi|The ladders on Deeping Wall! Watch out!
qstr_You_yell_for_your_ho|Atın için sesleniyorsun
qstr_THREE.._TWO..._ONE..|ÜÇ.. İKİ... BİR.... DÖVÜŞ!
; qstr_Leave_the_place_in_s|Leave the place in silence?
; qstr_Leave_scene?|Leave scene?
; qstr_Trace_back_your_step|Trace back your steps and go back in the open now?
; qstr_There_is_no_way_out!|There is no way out! Surrender to orcs?
; qstr_Stealth_mini_game_tu|Stealth mini-game tutorial: There are two alarm levels. Level 1 is set off by the guards seeing a dead body or by them spotting you. Level 2 is set off by the guards spotting you when level 1 is already active. Level two is dangerous because guards will continue to arrive. You can avoid being spotted by staying hidden. To hid simply move behind various bits of cover.
qstr_You_are_now_hidden.|Şimdi gizlisin.
; qstr_You_move_out_of_hidi|You move out of hiding.
; qstr_The_guards_have_spot|The guards have spotted a dead body!
qstr_Alarm_Level_is_now_a|Alarm Seviyesi şimdi 1'de!
qstr_Alarm_Level_is_now_at|Alarm Seviyesi şimdi 0'da!
qstr_The_guards_have_spott|Gardiyanlar seni fark etti
qstr_Alarm_Level_is_now_at_|Alarm Seviyesi şimdi 2'de!
qstr_The_sorcerer_has_fle|Büyücü kaçtı!
; qstr_Report_this_ill_news|Report this ill news to the Lady at once.
qstr_The_sorcerer_is_flee|Büyücü kaçıyor! Öldürün!
qstr_The_sorcerer_is_dead|Büyücü öldü!
qstr_The_battle_is_won!|Çarpışma kazanıldı
; qstr_Look_at_my_over_the_|Look at my over-the-shoulder shot, {playername}! I'm so beautiful from a distance!
; qstr_You_wish_old_man_my_|You wish, old man, my over-the-shoulder view is much prettier!
qstr_You_should_really_se|Sen gerçekten Vekilharç Denethor'un Facebook fotoğrafını görmelisin, o inanılmaz!
qstr_Press_Space_to_conti|Boşluk tuşuna basıp ilerle
; qstr_{s24}__{reg13}_|{s24} ({reg13})
; qstr_Influence:^_{reg11}_|Influence:^ {reg11} (with {s16})
; qstr_Resource_Points:^_{r|Resource Points:^ {reg12} (in {s16})
; qstr_{s11}_{s24}__{reg13}|{s11}, {s24} ({reg13})
; qstr_{s13}_{reg11}__with_|{s13}, {reg11} (with {s16})
; qstr_{s15}_{reg12}__in_{s|{s15}, {reg12} (in {s16})
; qstr_^No_food:___{reg7}|^No food:  -{reg7}
; qstr_Current_party_morale|Current party morale is {reg5}.^Current party morale modifiers are:^^Base morale:  +50^Party size: {s2}{reg1}^Leadership: {s3}{reg2}^Food variety: {s4}{reg3}{s5}^Special items: {s6}{reg6}^Recent events: {s7}{reg4}^TOTAL:  {reg5}
qstr_Defending|Savunma
qstr_Gathering_army|Ordu toplama
qstr_Besieging_{s11}|{s11}'i Kuşatmak
; qstr_Raiding_{s11}|Raiding {s11}
; qstr_Attacking_enemies_ar|Attacking enemies around {s11}
qstr_No_one|Hiç kimse
; qstr_{s9}{s10}^Current_st|{s9}{s10}^Current state: {s11}^Marshall: {s12}^Since the last offensive: {reg1} hours^Offensive maximum followers: {reg2}^^
; qstr_Selected_faction_is:|Selected faction is: {s10}^^{s9}
; qstr_You_are_in_perfect_h|You are in perfect health.
; qstr_You_are_suffering_fr|You are suffering from {s1}.
; qstr_You_are_suffering_fro|You are suffering from {s1} and {s2}.
; qstr_You_are_suffering_from|You are suffering from {s1}, {s2}, and {s3}.
; qstr_You_are_suffering_from_|You are suffering from {s1}, {s2}, {s3} and {s4}.
; qstr_Weekly_upkeep_for_tr|Weekly upkeep for troops:^{reg5} Resource Points^
; qstr_{s12}^__{s4}:_{reg4}|{s12}^  {s4}: {reg4} Resource points ({reg5})
qstr_No_upkeep_costs|Bakım masrafları yok
; qstr_Orc_hiring_bonus:_+2|Orc hiring bonus: +2/3 for each orc^
; qstr_Current_party_size_l|Current party size limit is {reg5}.^Current party size modifiers are:^^Base size:  +10^Leadership: {s2}{reg1}^Charisma: {s3}{reg2}^Ranks: {s4}{reg3}^{s5}TOTAL:  {reg5}
; qstr_{s2}^_________{s4}:_|{s2}^         {s4}: {reg1} ({s23})
qstr__________Faction_str|Devlet güçleri raporu:^{s2}
; qstr_{s1}^^Factions_are_n|{s1}^^Factions are normally sieged when below {reg1} strength.
qstr_{s2}^^{s5}^{s6}|{s2}^^{s5}^^{s6}
qstr_Traits_gained:^{s2}|Kişisel özellik kazanıldı:^{s2}
qstr_^^You_are_{s17}.|^^Sen {s17}.
qstr_Assassins_in_the_cam|Suikastçiler kampta, kendinizi savunun ! 
qstr_Ally_party_size:_{re|Tüm parti büyüklüğü: {reg1}
qstr_Enemy_party_size:_{r|Düşman grup büyüklüğü: {reg1}
qstr_Party_count:_{reg0}|Grup sayısı: {reg0}
; qstr_Party_position__{reg|Party position ({reg2},{reg3}).
; qstr_Party_size_increased|Party size increased from {reg0} to {reg1}!
qstr_Faction_strengths_re|Devlet güçleri raporu:^{s2}
qstr_Attacking_enemy_part|Düşman gruba saldırı {s11}
qstr_Unknown_{reg3}_|Bilinmeyen({reg3})
qstr_ON|AÇIK
qstr_OFF__cheat_|KAPALI (hile)
qstr_OFF|KAPALI
; qstr_{reg0}__will_most_li|{reg0} (will most likely cause save crashes)
; qstr_{reg0}__could_possib|{reg0} (could possibly cause save crashes)
qstr_Normal|Normal
qstr_Defender_only|Sadece savunan
qstr_Halved|Yarıya
qstr_Battles_only|Sadece muharebe
qstr_Doubled|İki katına
qstr_Tripled|Üç Katına
qstr_Quadrupled|Dört Katına
qstr_You_drank_the_Ent_Wa|Ent suyunu içiyorsun...
qstr_Fangorn_search:_fail|Fangorn araştırması: başarısız.
; qstr_Troll_caged_in_wheel|Troll caged in wheeled cage.
; qstr_A_second_troll_is_ca|A second troll is caged in wheeled cage.
qstr_Here_you_are.|İşte buradasın.
; qstr_Player_was_moved_to_|Player was moved to {s10}.
; qstr_neutral_whereabouts|neutral whereabouts
qstr_any|herhangi
qstr_woman|kadın
qstr_gondor|gondor
qstr_rohan|rohan
qstr_dunlander|dunlandlı
qstr_urukhai|urukhai
qstr_haradrim|haradrim
qstr_dwarf|cüce
qstr_troll|troll
qstr_dunedain|dunedain
qstr_lothlorien|lothlorien
qstr_rivendell|ayrıkvadi
qstr_mirkwood|kuyutorman
qstr_evil_man|kötü adam
qstr_{reg11}0___{reg11}9|{reg11}0 - {reg11}9
qstr_Regular_troops_only|Yalnızca düzenli birlikler.
qstr_Heroes_only|Sadece kahramanlar
; qstr_Regulars_and_Heroes|Regulars and Heroes
qstr_HP_lost_from_poisoni|Zehirlenmeden kaybedilen HP
qstr__{s17}.|, {s17}.
; qstr_A_group_of_{s1}_is_{|A group of {s1} is {s10} toward you.
qstr_You_are_attacking_a_|Sen {s1}'in grubuna saldırıyorsun.
; qstr_The_battle_against_t|The battle against the group of {s1} continues.
; qstr_{s13}_asked_you_to_r|{s13} asked you to report to him with at least {reg13} troops.
; qstr_{s13}_ordered_you_to|{s13} ordered you to join the assault against {s14}.
qstr_You_were_victorious!|Zafer senin !
qstr_The_battle_was_lost.|Savaş kaybedildi. Kuvvetlerin tamamen ezildi.
; qstr_Your_companions_carr|Your companions carry you away from the fighting.
qstr_You_have_defeated_th|Düşmanı mağlup ettiniz.
qstr_You_have_retreated_f|Son savaştan geri çekildiniz.
qstr_^^Ally_Casualties:{s|^^Müttefik Kayıpları:{s0}
; qstr_News_of_your_victory|News of your victory against {s4} reach {s3}.
; qstr_{s3}_witnesses_your_|{s3} witnesses your victory against {s4}.
; qstr_{s1}_of_{s3}_managed|{s1} of {s3} managed to escape.
; qstr_Prisoners_rescued_so|Prisoners rescued so far: {reg1}
; qstr_Victory_comment._Pla|Victory comment. Player was alone
; qstr_Ordinary_victory_com|Ordinary victory comment. The player provided at least 40 percent forces.
; qstr_Player_participation|Player participation comment. The enemy had at least 1k starting strength.
; qstr_No_victory_comment._|No victory comment. The battle was small, and the player provided less than 40 percent of allied strength
; qstr_Some_of_your_tendons|Some of your tendons have been damaged in the battle. You lose 1 strength.
; qstr_You_took_a_nasty_wou|You took a nasty wound which will cause you to limp slightly even after it heals. Your lose 1 agility.
; qstr_You_have_trouble_thi|You have trouble thinking straight after the battle, perhaps from a particularly hard hit to your head, and frequent headaches now plague your existence. Your intelligence is reduced by 1.
qstr_Perhaps_I_m_getting_|Belki de şansızlaşıyorum...
; qstr_Retirement_is_starti|Retirement is starting to sound better and better.
qstr_No_matter!_I_will_pe|Önemi yok! Ben direneceğim!
qstr_What_did_I_do_to_des|Bunu hakedecek ne yaptım?
qstr_I_suppose_it_ll_make|En azından anlatılacak güzel bir hikaye olacak.
qstr__{s17}|, {s17}
qstr_You_retreated_from_b|Savaştan geri çekildin.
; qstr_{s9}_wants_you_to_fo|{s9} wants you to follow his army until further notice.
; qstr_{s8}_of_{s9}|{s8} of {s9}
; qstr__Your_own_banner_fli| Your own banner flies over the castle gate.
; qstr__You_see_the_banner_| You see the banner of {s7} over the castle gate.
qstr__This_castle_seems_t|Bu kalenin hiçbir sahibi yok gibi gözüküyor.
qstr__Your_own_banner_flie|Sancağın şehrin kapılarının üzerinde dalgalanıyor.
; qstr__You_see_the_banner_o| You see the banner of {s7} over the town gates.
; qstr__The_townsfolk_here_| The townsfolk here have declared their independence.
qstr_Go_to_the_secret_ent|Moria gizli girişine git
qstr_Search_for_a_secret_|Moria için gizli giriş ara
qstr_Get_book.|Kitabı al.
; qstr_The_{reg6?town_s:cas|The {reg6?town's:castle's} food stores should last for {reg3} more days.
; qstr_The_{reg6?town_s:cast|The {reg6?town's:castle's} food stores have run out and the defenders are starving.
; qstr_You_re_preparing_to_|You're preparing to attack the walls, the work should finish in {reg9} hours.
; qstr_Your_forces_are_buil|Your forces are building a siege tower. They estimate another {reg9} hours to complete the build.
qstr_You_are_ready_to_att|Duvarlara saldırmaya hazırsın.
qstr_The_siege_tower_is_b|Kuşatma kulesi inşa edildi ve saldırı yapmaya hazır.
; qstr_As_a_last_defensive_|As a last defensive effort, you retreat to the main hall of the keep. You and your remaining soldiers will put up a desperate fight here. If you are defeated, there's no other place to fall back to.
; qstr_You_ve_been_driven_a|You've been driven away from the walls. Now the attackers are pouring into the streets. IF you can defeat them, you can perhaps turn the tide and save the day.
; qstr_You_ve_breached_the_|You've breached the town walls, but the stubborn defenders continue to resist you in the streets! You'll have to deal with them before you can attack the keep at the heart of the town.
; qstr_The_town_centre_is_y|The town centre is yours, but the remaining defenders have retreated to the castle. It must fall before you can complete your victory.
; qstr_The_remaining_defend|The remaining defenders have retreated to the castle as a last defense. You must go in and crush any remaining resistance.
; qstr_However_since_you_ar|However, since you are not a sworn {man/follower} of {s9}, there is no chance he would recognize you as the {lord/lady} of this {reg8?town:castle}.
; qstr_The_enemy_has_been_f|The enemy has been forced to retreat. The assault is over, but the siege continues.
; qstr_The_assasins_beat_yo|The assasins beat you down and leave you for dead. .
; qstr_You_have_fallen._The|You have fallen. The bandits quickly search your body for valuables they can find, then vanish into the night. They have left you alive, if only barely.
; qstr_Luckily_some_of_your|Luckily some of your companions came to search for you when you did not return, and find you lying in the ditch. They carried you to safety and dressed your wounds.
; qstr_Luckily_some_passing|Luckily some passing locals found you lying in the ditch, and recognised you as someone other than a simple beggar. They carried you to safety and dressed your wounds.
qstr_{s13}^^You_have_succ|{s13}^^Başarıyla gizlendin.
qstr_the_place|yer
qstr_the_castle|kale
; qstr_Stay_indoors_for_som|Stay indoors for some time ({reg1} Resource points per night)
qstr_Camp_outside_for_som|Bir süre kamp dışarısında (bedava)
qstr_{s1}_s_Ship|{s1}'in Gemisi
qstr_Time_passes...|Zaman geçiyor...
qstr_Forces_of_Good|İyilerin Kuvvetleri
qstr_Forces_of_Mordor|Mordorun Kuvvetleri
qstr_Forces_of_Isengard|Isengard'ın Kuvvetleri
qstr_their_enemies|düşmanları
qstr_{s11}_and_{s13}|{s11} ve {s13}
qstr_{s11}_{s13}|{s11}, {s13}
; qstr_Now_that_the_sorcere|Now that the sorcerer is dead, there is nothing left to be done here.
; qstr_Now_that_the_sorcerer|Now that the sorcerer has fled, there is nothing left to be done here.
; qstr_You_approach_a_heavi|You approach a heavily guarded region of the forest...
qstr_You_wait_for_darknes|Karanlığın düşüşünü bekliyorsun...
qstr_You_are_quickly_disc|Düşman tarafından çabuk fark edildin.
; qstr_You_advance_stealthi|You advance stealthily far into the forest.
; qstr_You_have_evaded_the_|You have evaded the patrols and crept close to the ruins!
qstr_You_have_found_the_s|Büyücüyü buldun!
qstr_You_cannot_leave_unt|Muhafızlar seni kaybedene kadar buradan ayrılamazsın.
qstr_Kill_him_quickly_bef|Çabuk öldürün o kaçamadan!
; qstr_Enraged_by_the_death|Enraged by the death of {s4}, you have sworn an oath of vengeance upon the forces of {s3}. You must now destroy as many of the armies of {s3} as possible in the coming days. You are keenly aware that your followers have witnessed this oath and you do not wish to become known as an oathbreaker. An orgy of bloodletting must now begin!
; qstr_flooded._Somebody_or|flooded. Somebody or something must have ruined the Isen dams.
qstr_destroyed._Only_smol|yerlebir edilmiş. Sadece yanan kalıntılar kalmış.
; qstr_^^^You_lost_your_fig|^^^You lost your fight against the mutiny! ^Seems like your orcs have a new commander now.
; qstr_^^^You_have_slain_th|^^^You have slain the offender, and other orcs quickly fall back in line. ^ For some time the maggots will be quiet for sure.
; qstr_You_cover_up_your_tr|You cover up your tracks and move onward.
qstr_Breaking_camp...|Kamp kaldırılıyor...
qstr_You_have_left_{s1}.|Ayrıldın {s1}.
qstr_You_are_entering_{s1|({s2}) {s1}  giriyorsun.
qstr_You_are_entering_{s1}|Giriyorsun {s1}.
; qstr_The_war_expands_comm|The war expands, commanders are getting bolder! (siege requirements reduced)
; qstr_Your_party_is_spotte|Your party is spotted by {s1}.
qstr_Party_has_nothing_to|Partinin yiyecek hiç bir şeyi yok!
qstr_You_pay_for_accommod|Barınmak için para ödüyorsun.
qstr_The_troll_outside_{s|Troll dışarıda {s2} öldürüldü. Görev iptal edildi.
qstr_{s1}_was_killed_on_t|{s1} savaş alanında katledildi. Görev iptal edildi.
qstr_{s1}_has_been_defeat|{s1} mağlup edildi. Görev iptal edildi.
qstr_You_must_follow_{s1}|{s1}'i takip etmek zorundasın!
qstr_You_must_follow_{s1}!|{s1}'i takip etmek zorundasın! Bu sizin son uyarınız!
qstr_Parties_defeated:_{r|Partiler yenildi: {reg1}
qstr_{s1}_is_scouted.|{s1} gözlendi.
; qstr_The_Age_of_Men_has_f|The Age of Men has finally passed. Now the Two Towers gather their remaining hosts and allies to decide who will be the sole ruler of Middle Earth!
qstr_The_War_of_the_Two_T|İki Kulenin savaşı başladı!
qstr_{s2}_was_defeated!|{s2} mağlup edildi.
; qstr_The_forces_of_{s22}_|The forces of {s22} have rallied! {s22} is now {s23}.
; qstr_The_might_of_{s22}_h|The might of {s22} has diminished! {s22} is now {s23}.
; qstr_In_a_desperate_attem|In a desperate attempt to defend against his enemies, Sauron sends out his legions of Mordor!
qstr_Guardians_of_{s6}|{s6}'nın Muhafızları
qstr_Guard_Legion_of_{s6}|{s6}'ın Muhafız Lejyonu
; qstr_Scouts_report_that_{|Scouts report that {s6} gathered a large army in the vicinity of {s7}, in a last ditch attempt to defend the capital.
; qstr_The_forces_of_{s2}_e|The forces of {s2} established an advanced camp in {s15}!
qstr_{s1}_from_{s2}|{s2}'den geliyor {s1}
; qstr_When_dealing_with_lo|When dealing with locals in {s11}, remember that they do not know you and they don't necessarily acknowledge the merits you've earned in {s10}.^^(the Resource Points which you can dispose of among people from {s11} are not the ones you earned in {s10}, but the ones you will earn in {s11} -- see also the Report screen)
qstr_Info|İnfo.
; qstr_You_came_into_a_poss|You came into a possession of a strange, oversized bowl of fresh-looking water. It smells a little like musk.
qstr_Obtained:_Ent_water.|Elde edildi: Ent Suyu.
; qstr_A_little_after_you_f|A little after you fully recover from drinking the poisoned water you got from the walking trees, you start noticing a strange side effect. The worms in your group seem to... respect you and fear you more, as if you turned... bigger. And you would swear that you are, indeed, a bit taller. Is that really possible?
qstr_Ent_water_effect.|Ent suyu efekti.
; qstr_The_water_you_drank_|The water you drank from the Ents had a strange effect on your body. Initially you didn't believe it possible, but now,  in front of evidence, you must admit it: somehow, you grew taller! Still, the poison almost killed you. You will never take that risk again.
; qstr_Ent_water_effect:_in|Ent water effect: increase stature!
qstr__+1_to_Strength__per|Güce +1 (kalıcı)
qstr__+1_to_Charisma__per|Karizmaya +1 (kalıcı)
; qstr_The_dark_shadow_fina|The dark shadow finally broke into a storm, and evil hordes started their march on the free people of Middle Earth. Mordor against Gondor in the South, Isengard agains Rohan in the West, Dol Guldur against the Elves... Even in the far North there is a war of its own.
qstr_The_War_has_started!|Savaş başladı!
qstr_The_forest_seems_pea|Orman barışçıl gözüküyor.
; qstr_There_is_a_sense_of_|There is a sense of danger in the air.
; qstr_You_have_a_feeling_y|You have a feeling you disturbed the forest for long enough.
qstr_Get_out_now!|Defol, şimdi!
qstr_You_are_inside_Fango|Fangorn'un içerisindesin. {s11}
; qstr_Your_party_witnessed|Your party witnessed orcs eating prisoners.
; qstr_Your_party_s_morale_|Your party's morale has risen from hatred.
qstr_Your_party_s_morale_h|Partinin moraline korku düşmüş.
; qstr_{s27}:_Influence_wit|{s27}: Influence with {s1} increases from {reg2} to {reg1}.
; qstr_{s27}:_Influence_with|{s27}: Influence with {s1} decreases from {reg2} to {reg1}.
qstr_{s27}:_Party_morale_|{s27}: Parti morali arttı.
qstr_{s27}:_Party_morale_d|{s27}: Parti morali düştü.
; qstr_You_have_failed_to_f|You have failed to fulfill your oath of vengeance for {s1}'s heroic death!
; qstr_You_have_fulfilled_y|You have fulfilled your oath of vengeance for {s1}'s heroic death!
qstr_{reg65?my_Lady:my_Lo|{reg65?Leydim:Lordum}
qstr_{reg65?My_Lady:My_Lo|{reg65?Leydim:Lordum}
; qstr_{reg65?mistress:mast|{reg65?mistress:master}
; qstr_{reg65?Mistress:Mast|{reg65?Mistress:Master}
; qstr_{reg65?madame:sir}|{reg65?madame:sir}
; qstr_{reg65?Madame:Sir}|{reg65?Madame:Sir}
qstr_How_do_magnets_work?|Mıknatıslar nasıl çalışır?
; qstr_Um..._by_enchanting_|Um... by enchanting iron?
; qstr_Magnets_are_made_of_|Magnets are made of metal, which is mined from the ground. They are magnetic because the metal still contains pieces of gravity inside it.
; qstr_i_wont_a_bonerlrord_|i wont a bonerlrord port nao!!11!
; qstr_I_m_sure_the_TLD_tea|I'm sure the TLD team will get to it when they can.
; qstr_Install_TLD_in_your_|Install TLD in your Bannerlord Modules folder, add the line 'compatible_with_wfas = 1' to module.ini, and you can play it both on Warband AND Warrider 0.202!
; qstr_dis_mod_takes_2_long|dis mod takes 2 long 2 releaze! it sux!!11!
; qstr_Well_there_s_a_lot_o|Well, there's a lot of new graphics and stuff, I guess that takes time.
; qstr_It_has_been_recently|It has been recently released, if you missed the link, you can download it at lemonparty.org.
; qstr_i_wont_decapitated_e|i wont decapitated elephants in multi, nao!!11!
; qstr_I_don_t_think_there_|I don't think there's multiplayer in TLD, but elephants would be nice.
; qstr_There_is_a_hidden_el|There is a hidden elephant deathmatch mode in TLD, but you need to remove all your savegames first, play for a 100 game days without saving then go to the character screen and press Alt+F4. Totally worth it!
; qstr_Did_you_bring_your_z|Did you bring your zupdog?
; qstr_What_s_zupdog?|What's zupdog?
; qstr_My_zupdog_is_ill_but|My zupdog is ill, but I brought my zupmaiass.
; qstr_Wai_no_plate_armour_|Wai no plate armour in mod???
; qstr_What_is_plate_armour|What is plate armour? Never heard of it.
; qstr_Wai_no_female_trolls|Wai no female trolls? Eh? Eh? You ma biatch!
