itm_horse_meat|Koňské maso
itm_rhun_armor_p|Rhůnská královská zbroj
itm_rhun_armor_k|Rhůnská královská zbroj
itm_rhun_helm_chieftain|Rhůnská náčelnická helma
itm_rhun_helm_pot|Rhůnská kulatá helma
itm_rhun_helm_barbed|Rhunská helma
itm_rhun_helm_round|Rhunská kulatá helma
itm_rhun_helm_leather|Rhunská kožená helma
itm_rhun_warpick|Rhunský válečný krumpáč
itm_rhun_greataxe|Rhůnská velká sekera
itm_rhun_battleaxe|Rhůnská bitevní sekera
itm_rhun_falchion|Rhůnský falchion
itm_rhun_glaive|Rhůnská kůsa
itm_rhun_greatfalchion|Rhůnský velký falchion
itm_rhun_greatsword|Rhůnský velký meč
itm_rhun_shortsword|Rhůnský krátký meč
itm_rhun_sword|Rhůnský meč
itm_rhun_mangler|Rhunský Mangler
itm_dale_light_a|Dolská vesta domobrany
itm_dale_light_b|Severská lehká lamelová zbroj
itm_dale_med_a|Severská těžká lamelová zbroj
itm_dale_med_b|Dolská kožená zbroj
itm_dale_med_c|Dolská pokovaná zbroj
itm_dale_med_d|Dolská lamelová zbroj
itm_dale_heavy_a|Dolská lamelová pokovaná zbroj
itm_dale_heavy_b|Dolský potažený kabát
itm_dale_heavy_c|Rhovanionské těžké brnění
itm_north_leather|Severská kožená vesta
itm_dale_helmet_a|Dolská lehka pechotni helma
itm_dale_helmet_b|Dolská lehká zbroj lučištníka
itm_dale_helmet_c|Dolská pěchotni helma
itm_dale_helmet_d|Dolská helma lučištníka
itm_dale_helmet_e|Dolská helma
itm_dale_helmet_f|Dolská helma
itm_dale_sword|Dolský krátký meč
itm_dale_sword_long|Dolský dlouhý meč
itm_dale_sword_broad|Dolský pěchotní meč
itm_dale_pike|Dolské kopí
itm_dale_billhook|Dolský kosíř
itm_dale_shield_a|Dolská pavéza
itm_dale_shield_b|Dolská pavéza
itm_dale_shield_c|Dolský kulatý štít
itm_umb_armor_a|Korzárská kožená vesta
itm_umb_armor_b|Kožená zbroj Korzárů
itm_umb_armor_c|Korzárská lehká šupinová zbroj
itm_umb_armor_d|Korzárská šupinová zbroj
itm_umb_armor_e|Korzárské brnění
itm_umb_armor_f|Korzárské královské brnění
itm_umb_helm_a|Korzárská skořápka
itm_umb_helm_b|Korzárská dlouhá helma
itm_umb_helm_c|Helma Korzárské milice
itm_umb_helm_d|Helma Korzárských nájezdníků
; itm_umb_helm_reward|Ancient Numenorean Karma
itm_corsair_trident|Trojzubec mořského hněvu
itm_corsair_boots|Boty Korzárů
itm_umb_shield_a|Štít Korzárů
itm_umb_shield_b|Lehký štít Korzárů
itm_umb_shield_c|Lehký štít Korzárů
itm_umb_shield_d|Lehký štít Korzárů
itm_umbar_spear|Umbarské krátké kopí
itm_umbar_cutlass|Umbarská šavle
itm_kraken|Šavle Kraken
itm_umbar_rapier|Umbarský lodní meč
itm_corsair_harpoon|Korzárská harpuna
itm_corsair_sword|Korzárský eket
itm_corsair_throwing_dagger|Zahnuté vrhací nože
itm_umbar_pike|Korzárský trojzubec
itm_woodman_tunic|Lesnická tunika
itm_woodman_scout|Lesnická průzkumnická kápě
itm_woodman_padded|Lesnická vycpávaná zbroj
itm_beorn_tunic|Meddědovská tunika
itm_beorn_padded|Meddědovská prošívaná zbroj
itm_beorn_heavy|Meddědovská těžká zbroj
itm_beorn_berserk|Úbor meddědovských bersekrů
itm_beorn_chief|Tunika náčelníka meddědovců
itm_beorn_helmet|Přilba z lebky meddědovců
itm_beorn_shield|Severský štít
itm_beorn_axe|Meddědovská sekera
itm_beorn_staff|Lesní hůl
itm_beorn_battle_axe|Válečná sekera meddědovců
itm_dwarf_shield_a|Trpasličí hranatý štít
itm_dwarf_shield_b|Trpasličí pavéza
itm_dwarf_shield_c|Trpasličí bojový štít
itm_dwarf_shield_d|Trpasličí kulatý štít
itm_north_round_shield|Severský kulatý štít
itm_woodmen_heavy|Zbroj z Temného hvozdu
itm_dwarf_sword_a|Trpasličí meč
itm_dwarf_sword_b|Krátký meč Meddědovců
itm_dwarf_sword_c|Trpasličí meč
itm_dwarf_sword_d|Trpasličí meč
itm_dwarf_battle_axe|Trpasličí válečná sekera
itm_dwarf_great_axe|Trpasličí velká sekera
itm_dwarf_great_mattock|Velký trpasličí krumpáč
itm_dwarf_great_pick|Velký trpasličí krumpáč
itm_dwarf_throwing_axe_reward|Ereborské vrhací sekery
itm_dwarf_mattock|Trpasličí krumpáč
itm_dwarf_hand_axe|Trpasličí krátká sekera
itm_dwarf_throwing_axe|Trpasličí vrhací sekery
itm_dwarf_spear|Trpasličí kopí
itm_dwarf_spear_b|Trpasličí píka
itm_dwarf_spear_c|Trpasličí dlouhá sekera
itm_dwarf_helm_coif|Trpasličí kroužková kapuce
itm_dwarf_nasal_b|Trpasličí přilbice
itm_north_skullcap|Severská přilba z lebky
itm_dwarf_helm_kettle|Trpasličí přilba
itm_dwarf_helm_fris|Trpasličí Frisiánská helma
itm_north_leather_skullcap|Severská lehká přilba z lebky
itm_dwarf_hood|Trpasličí kapuce
itm_dwarf_nasal|Trpasličí celoobličejová helma
itm_north_nasal_helm|Severská přilbice
itm_dwarf_helm_p|Trpasličí královská helma
itm_dwarf_miner|Trpasličí lehká helma
itm_north_chieftain|Severská náčelnická přilba
itm_dwarf_helm_round|Trpasličí oválná helma
itm_dwarf_helm_sallet|Trpasličí šalíř
itm_dwarf_armor_d|Těžký kabát Železných hor
itm_dwarf_armor_a|Ereborský plášť přes zbroj
itm_leather_dwarf_armor|Trpasličí vycpávaný kabát
itm_dwarf_armor_b|Ereborská tunika přes zbroj
itm_leather_dwarf_armor_b|Trpasličí vycpávaná kožený kabát
itm_dwarf_armor_c|Ereborská šupinová zbroj
itm_dwarf_vest|Trpasličí tunika
itm_dwarf_vest_b|Zbroj Železných hor
itm_dwarf_pad_boots|Trpasličí vycpávané boty
itm_dwarf_chain_boots|Trpasličí kroužkové nohavice
itm_dwarf_scale_boots|Trpasličí šupinové boty
itm_good_mace|Palice
itm_mordor_banner|Zástava Mordoru
itm_isengard_banner|Zástava Železného pasu
itm_woodelf_banner|Zástava Temného hvozdu
itm_lorien_banner|Zástava Lothlorienu
itm_imladris_banner|Zástava Roklinky
itm_gondor_lance_banner|Gondorské kopí s praporem
itm_amroth_lance_banner|Dol Armothské kopí s praporem
itm_rohan_lance_banner_sun|Rohanské kopí se slunečním praporem
itm_rohan_lance_banner_horse|Rohanské kopí se koňským praporem
; itm_fur_gloves_reward|Hunter Gloves
itm_ent_water|Divná miska s vodou
itm_map|Mapy Středozemě
itm_athelas_reward|Sušené lístky Athelasu
itm_phial_reward|Galadrielino světlo
itm_scroll_reward|O pádu Gondolinu
itm_hammer_reward|Kovářovo kladivo
itm_khand_knife_reward|Khandský rituální nůž
itm_angmar_whip_reward|Mistrův bič
itm_horn_gondor_reward|Gondorský roh
itm_harad_totem_reward|Haradský totem
itm_elven_amulet_reward|Elfí amulet
itm_torque_reward|Klíč zla
itm_orc_brew|Skřetí pokrm
itm_rohan_saddle|Sedlo
itm_mearas_reward|Mearhský hřebec
itm_shield_of_tuor|Tuorův štít
itm_riv_armor_reward|Ozdobná zbroj z Roklinky
itm_westernesse1h_reward|Númenorský meč
itm_westernesse2h_reward|Númenorský meč
itm_mirkwood_sword_reward|Památeční meč Zeleného hvozdu
itm_nazgul_sword|Meč Bezbožných
itm_cooking_cauldron|Kotel na vaření
itm_eorl_cavalry_sword|Eorluv meč
itm_garlic_reward|Česnek
itm_silmarillion_reward|Silmarillion
itm_herbarium_reward|Herbář Středozemě
itm_book_of_moria|Kniha o Mazarbulovi
itm_ring_a_reward|Tulcarisil
itm_ring_b_reward|Finwarisil
itm_dale_bow_reward|Bardův luk
itm_tome_of_knowledge|Kniha tajemného vědění
itm_orc_idol_reward|Symbol Prvního skřeta
itm_crebain_reward|Krebaina
itm_miruvor_reward|Láhev Miruvoru
itm_wheeled_cage|Obří klec na kolech
itm_orc_throwing_axes_reward|Gundabadské vrhací sekery
itm_corsair_throwing_dagger_reward|Otrávené vrhací dýky
itm_dwarf_shield_reward|Štít z Kheled-zaram
itm_dwarf_great_axe_reward|Trpasličí ostrá sekera
itm_isen_uruk_heavy_reward|Zbroj generála Skurut-hai
itm_lorien_bow_reward|Noldorský luk
itm_elven_cloak|Elfí plášť
itm_dale_sword_reward|Dolský královský meč
itm_dale_armor_reward|Dolské královské brnění
itm_leather_gloves_reward|Lučištnické rukavice
itm_beorn_shield_reward|Štít Meddědovců
itm_beorn_axe_reward|Sekera Meddědovců
itm_drums_of_the_deep|Bubny z Hlubin
itm_khamul_helm|Khamulova helma
itm_black_arrows_reward|Černé šípy
itm_leather_boots_reward|Lovecké boty
itm_rohan_armor_th|Rohanská královská zbroj
itm_wilderness_cowl|Lovcova kápě
itm_prisoner_coll_chain|Řetězy otroků
itm_witchking_helmet|Maska čaroděje
itm_feet_chains|Okovy
itm_feet_chains_dwarf|Okovy
itm_spider|Pavouk
itm_bear|Medvěd
itm_wolf|Vlk
itm_werewolf|Vlkodlak
itm_thrush_reward|Drozd
itm_gauntlets_reward|Železné pěsti
itm_stones_siege|Obléhací kameny
itm_beorn_axe_no_attack|Meddědovská sekera
