qstr_Gate_is_breached!|Brána je proražena!
qstr_New_ent_reached_batt|Nový Ent dorazil na bitevní scénu...
qstr_You_receive_word_tha|Dostal jsi zprávu že vesnice Meddědovců byla napadena. Meddědovci ztrácí Sílu frakce.
qstr_You_receive_word_that|Dostal jsi zprávu že vůdce lovců prstenu byl viděn jak cestuje do Mordoru s hrudníkem v závěsu. Mordorská Síla frakce stoupá.
qstr_Enemy_reinforcements|Nepřátelské posily dorazily
qstr_Yarrrr!!|Yarrrr!!
qstr_Get_all_of_them!|Dostaňte je všechny!
qstr_Kill_them_all!|Zabijte je všechny!
qstr_Toss_them_overboard!|Hoďte je přes palubu!
qstr_It_is_a_good_day_to_|To je dobrý den na smrt!
qstr_All_hands_on_deck!_T|Všichni na palubu! Hoďte je zpátky!
qstr_Ally_reinforcements_|Spojenecké posily dorazily
qstr_Forward_men!|Kupředu, chlapi!
qstr_Leave_none_of_these_|Nenechte žádné z těchto špinavců naživu!
qstr_End_them_all!|Zabte je všechny!
qstr_Drive_them_back!|Odražte je!
qstr_Protect_the_City!|Chraňte město!
qstr_Forward!_Board_them!|Kupředu! Naloďte je!
qstr_The_Last_Days_of_the_|TLD má velmi odlišný systém obléhání UI než Native. Všechny jednotky, včetně hráčových, jsou rozděleny mezi různé týmy (levé křídlo, střed, pravé křídlo).^^ Hráč má na starosti vedení svého týmu, zatím co UI vede ostatní týmy. To dovoluje chytřejší, na týmu založené, obléhací bitvy.^^Počátečním jednotkám a posilám je přikázán útok během prvních pár sekund bitvy a po tom můžeš svému týmů znova velet.
qstr_Reached_Gauntlet_wav|Dosaženo nepřátelské vlny {reg1}!
qstr_Ballista:_out_of_amm|Balista: došla munice!
qstr_Ballista:_turn_CURSO|Balista: ovládání CURSOR, míření LSHIFT, střelba SPACE, zapálit T, opustit F
qstr_Ballista:_out_of_ammo|Balista: došla munice
qstr_The_ladders_on_Deepi|Žebříky na zdech Žlebu! Pozor!
qstr_THREE.._TWO..._ONE..|TŘI.. DVA... JEDNA.... BOJ!
qstr_You_have_come_upon_t|Přišel jsi na úpatí ruin Amon Hen, Vrch vidění, Gondorská strážní věž na vrcholu, kde odpočívá Stolec vidění^^Cítíš, že toto kdysi důležité místo, je již dlouho zapomenuto
qstr_You_have_come_upon_th|Dorazil jsi k Mrtvým močálům, místu bitvy o Dagorlad během Války poslední Aliance^^Močály pohltily kdysi travnatou pláň a nyní jediné co je zde zelené tak je spodina živých plevelů na tmavých mastných površích vyschlých vod^^V mlhách se vynořily mrtvé trávy a hnijící rákosí jako roztrhané stíny dávno zapomenutých lét a těla lidí, elfů a skřetů se vznášejí v temných hlubinách^^Vzduch je chladný a vlhký. Nemůžeš si pomoci, ale chvěješ se, když vidíš, jak se v očích mrtvol elfů, těsně pod hladinou vody objevují blikající světla svíček.
qstr_You_have_entered_the|Vstoupil jsi do lesů Jižního Temného hvozdu, kdysi zvaného Velký zelený hvozd^^Pevnost Dol Guldur je nedaleko a vrhá temný stín na les. Zdejší lesy jsou mdlé a trouchniví. Prastaré duby jsou zamořené plísní, houbami a obrovskými pavučinami, které se táhnou od kmene ke kmeni^^ Vzduch zde je nehybný, zatuchlý a cítíš jako by ses pomalu dusil
qstr_You_have_found_the_D|Našel jsi trpasličí skladiště, kde by mohlo být Legendární kopí. Měl by jsi nález ohlásit {s3}
qstr_Leave_the_Warehouse?|Opustit skladiště?
qstr_Leave_the_place_in_s|Opustit palác v tichosti?
qstr_Leave_scene?|Opustit scénu?
; qstr_Trace_back_your_step|Trace back your steps and go back in the open now?
qstr_There_is_no_way_out!|Není cesta ven! Vzdát se skřetům?
qstr_Stealth_mini_game_tu|Tutoriál Tajné mise: Jsou zde dvě fáze alarmu. Fáze 1 spustí stráže uvidí-li mrtvé tělo nebo přímo tebe. Fáze 2 spustí stráže pokud tě uvidí během aktivní fáze 1. Fáze 2 je nebezpečnější, protože stráže budou pořád přicházet. Chceš-li se skrýt, jednoduše se pohybuj za různými kryty.
qstr_You_are_now_hidden.|Není jsi skrytý.
qstr_You_move_out_of_hidi|Odešel jsi z krytí.
qstr_The_guards_have_spot|Stráže spatřily mrtvé tělo!
qstr_Alarm_Level_is_now_a|Úroveň poplachu na 1!
qstr_Alarm_Level_is_now_at|Úroveň poplachu na 0!
qstr_The_guards_have_spott|Stráže tě viděly!
qstr_Alarm_Level_is_now_at_|Úroveň poplachu na 2!
qstr_The_sorcerer_has_fle|Čaroděj uprchl!
qstr_Report_this_ill_news|Nahlásit hned tyto špatné zprávy Lady.
qstr_The_sorcerer_is_flee|Čaroděj prchá! Zabijte ho!
qstr_The_sorcerer_has_joi|Čaroděj se připojil k boji! Zabijte ho!
qstr_The_sorcerer_is_dead|Čaroděj je mrtev!
qstr_The_battle_is_won!|Vyhráli jsme bitvu!
qstr_A_band_of_tribal_orc|Objevila se tlupa kmenových skřetů!
qstr_Gaaaar!!_We_wants_th|Gaaaar!! Chceme lidské maso!
qstr_{s31}_scouts_have_ap|Objevili se zvědové z {s31}!
qstr_Those_are_ours!_We_h|Tihle jsou naši! Sledujeme se od té doby co odešli! Nikdo nám nebude stát v cestě!
qstr_Trolls_appeared!|Objevili se trolové!
qstr_Gaaaar!!|Gaaaar!!
qstr_{s31}_scouts_have_app|Objevili se zvědi z {s31}, aby pomohli uprchlíkům!
qstr_Hurry_men!_Help_the_|Rychle chlapi! Pomozte uprchlíkům! Zabijte tu špínu a nenechte je uprchnout!
qstr_Cannot_leave|Nemůžeš odejít
qstr_Longbeard_Kinsman|Durinův příbuzný
qstr_Ori_Longbeard|Ori Longbeard
qstr_We_shall_make_our_st|Postavme se jim zde! ZA BALINA!
qstr_Noooo!_You_orcs_will|Neeee! Vy skřeti za to zaplatíte!
qstr_Arghhh!!_Nooo!!|Arghhh!! Neee!!
qstr_I_will_take_down_as_|Než padnu vemu jich sebou kolik budu moct!
qstr_Raaa!!|Raaa!!
qstr_Kill_the_dwarves!|Zabijte trpaslíky!
qstr_Finish_them!|Doražte je!
qstr_We_will_feast_on_you|Budeme hodovat na vašem mase!
qstr_Dwarf_meat!|Trpasličí maso!
qstr_Eru_Iluvatar_has_dec|Eru Iluvatar rozhodl o osudu Balinovy skupiny a ten nemůže být změněn.
qstr_They_are_coming....!|Přicházejí....!
qstr_Who...dares...enter.|Kdo...se opovážil...vstoupit...
qstr_You_are_not_welcome_|Nejste tady vítáni!
qstr_Finally_I_found_you!|Konečně jsem tě našel! Pojďme odtud!
qstr_You...are....ours...|Jsi...náš....
qstr_Look_at_my_over_the_|Podívej se můj vzhled přes rameno, {playername}! Jsem tak okouzlující z dálky!
qstr_You_wish_old_man_my_|Přál by sis staříku, aby můj vzhled přes rameno byl mnohem hezčí!
qstr_You_should_really_se|Opravdu bys měl vidět Facebookové fotky Správce Denetora, je skvělý!
qstr_Press_Space_to_conti|Stiskni MEZERNÍK k pokračování...
qstr_{s24}__{reg13}____{r|{s24} ({reg13}) - {reg20} do příštího povýšení^
qstr_Influence:^_{reg11}_|Vliv:^ {reg11} ({s16})^
qstr_Resource_Points:^_{r|Resource Pointy:^ {reg12} ({s16})^
qstr_{s11}_{s24}__{reg13}|{s11} {s24} ({reg13}) - {reg21} do příštího povýšení^
qstr_{s13}_{reg11}__with_|{s13} {reg11} ({s16})^
qstr_{s15}_{reg12}__in_{s|{s15} {reg12} ({s16})^
qstr_Four_years_after_bri|Čtyři roky po tom co se skupina trpaslíků z Osamělé hory pokusila znovu osídlit bývalé trpasličí město Khazad-dûm, Balin byl zabit skřetím šípem, když prozkoumával Zrcadlové jezero a jeho lidé byli okamžitě napadeni mnoha skřety, kteří přijeli po Stříbřence. Po postupném ústupu z Východní brány a První síně, pak z Můstku Khazad-dûm a Druhé síně,byli zbývající Durinovi lidé donuceni ustoupit až do Dvacáté první síně. Po neúspěšném pokusu o únik přes Dveře Durina viděli smrt Óinovu. Komnata Mazarbul se stala posledním místem vzdoru, po tom co padla i Dvacátá první síň těsně před komnatou. Zabarikádovali brány, Ori a pár ostatních přeživších připravili poslední obranu.
qstr_You_chase_an_orc_sco|Pronásledoval jsi skřetí průzkumnou skupinu do lesa...
qstr_^No_food:___{reg7}|^Došlo jídlo:  -{reg7}
qstr_Current_party_morale|Současná morálka skupiny je {reg5}.^Modifikátory morálky skupiny jsou:^^Základní morálka:  +50^Velikost skupiny: {s2}{reg1}^Vůdcovství: {s3}{reg2}^Pestrost jídla: {s4}{reg3}{s5}^Speciální předměty: {s6}{reg6}^Minulé události: {s7}{reg4}^CELKEM:  {reg5}
qstr_Defending|Brání
qstr_Gathering_army|Sbírá armádu
qstr_Besieging_{s11}|Obléhá {s11}
qstr_Raiding_{s11}|Plení {s11}
qstr_Attacking_enemies_ar|Útočí na nepřátelé okolo {s11}
qstr_No_one|Nikdo
qstr_{s9}{s10}^Current_st|{s9}{s10}^Aktuální stav: {s11}^Maršál: {s12}^Od poslední ofenzívy: {reg1} hodin^Maximum ofezivních následovníků: {reg2}^^
qstr_Selected_faction_is:|Vybraná frakce je: {s10}^^{s9}
qstr_You_are_in_perfect_h|Jsi perfektně zdravý.
qstr_You_are_suffering_fr|Trpíš {s1}.
qstr_You_are_suffering_fro|Trpíš {s1} a {s2}.
qstr_You_are_suffering_from|Trpíš {s1}, {s2}, a {s3}.
qstr_You_are_suffering_from_|Trpíš {s1}, {s2}, {s3} a {s4}.
qstr_Weekly_upkeep_for_tr|Týdenní náklady na vojáky:^{reg5} Resource Pointů^
qstr_{s12}^__{s4}:_{reg4}|{s12}^  {s4}: {reg4} Resource pointů ({reg5})
qstr_No_upkeep_costs|Žádné náklady
qstr_Orc_hiring_bonus:_+2|Bonus na najímání skřetů: +2/3 za každého skřeta^
qstr_Current_party_size_l|Současný velikostní limit skupiny je {reg5}.^Modifikátory velikosti skupiny jsou:^^Základní velikost:  +10^Vůdcovství: {s2}{reg1}^Charisma: {s3}{reg2}^Ranky: {s4}{reg3}^{s5}CELKEM:  {reg5}
qstr_{s2}^_________{s4}:_|{s2}^         {s4}: {reg1} ({s23})
qstr__________Faction_str|         Přehled síly frakcí:^{s2}
qstr_{s1}^^Factions_are_n|{s1}^^Frakce jsou normálně obléhány při síle pod {reg1}.
qstr_Savagery|Divokost
qstr_{s2}^^{s5}^{s6}|{s2}^^{s5}^{s6}
qstr_Traits_gained:^{s2}|Získané rysy:^{s2}
qstr_^^You_are_{s17}.|^^Jsi {s17}.
qstr_Assassins_in_the_cam|Vrahové jsou v táboře, braňte se!
qstr_Ally_party_size:_{re|Velikost spojenecké skupiny: {reg1}
qstr_Enemy_party_size:_{r|Velikost nepřátelské skupiny: {reg1}
qstr_Party_count:_{reg0}|Počet stran: {reg0}
qstr_Party_position__{reg|Pozice skupiny ({reg2},{reg3}).
qstr_Party_size_increased|Velikost skupiny zvýšená z {reg0} na {reg1}!
qstr_Faction_strengths_re|Přehled síly frakcí:^{s2}
qstr_Attacking_enemy_part|Útočí na nepřátelskou skupinu u {s11}
qstr_Unknown_{reg3}_|Neznámý({reg3})
qstr_ON|ZAP
qstr_OFF__cheat_|VYP (cheat)
qstr_OFF|VYP
qstr_All_messages|Všechny zprávy
qstr_{reg0}__will_most_li|{reg0} (s největší pravděpodobností způsobí selhání uložení)
qstr_{reg0}__could_possib|{reg0} (může způsobovat pády uložených her)
qstr_Normal|Normální
qstr_Defender_only|Pouze obránce
qstr_Halved|Rozpůleno
qstr_Battles_only|Pouze bitvy
qstr_Doubled|Zdvojnásobeno
qstr_Tripled|Ztrojnásobeno
qstr_Quadrupled|Zčtyřnásobeno
qstr_You_drank_the_Ent_Wa|Vypil jsi Entí vodu...
qstr_Fangorn_search:_fail|Prohledávání Fangornu: selhalo
qstr_Troll_caged_in_wheel|Trol v kleci na kolech
qstr_A_second_troll_is_ca|Druhý trol je v kleci na kolech.
qstr_Here_you_are.|Jsi tady.
qstr_Player_was_moved_to_|Hráč byl přesunut do {s10}.
; qstr_neutral_whereabouts|neutral whereabouts
; qstr_any|any
qstr_woman|žena
qstr_gondor|gondor
qstr_rohan|rohan
qstr_dunlander|vrchovec
qstr_urukhai|skurut-hai
qstr_haradrim|harad
qstr_dwarf|trpaslík
qstr_troll|trol
qstr_dunedain|dunedain
qstr_lothlorien|lothlorien
qstr_rivendell|roklinka
qstr_mirkwood|temný hvozd
qstr_evil_man|zlý člověk
qstr_{reg11}0___{reg11}9|{reg11}0 - {reg11}9
qstr_Regular_troops_only|Pouze běžné jednotky
qstr_Heroes_only|Pouze hrdinové
qstr_Regulars_and_Heroes|Běžné jednotky a Hrdinové
qstr_HP_lost_from_poisoni|HP ztraceny z otravy.
qstr__{s17}.|, {s17}.
qstr_A_group_of_{s1}_is_{|Skupina {s1} je {s10} u tebe.
qstr_You_are_attacking_a_|Útočíš na skupinu {s1}.
qstr_The_battle_against_t|Bitva proti skupině {s1} pokračuje.
qstr_There_are_{reg39}_al|V této bitvě je {reg39} spojeneckých velitelů. Můžeš velet jim a jejich jednotkám za {reg40} bodů vlivu.
qstr_Having_a_small_party|Mít malou skupinu má své výhody...Ty a tví vojáci jste se schovali před nepřáteli na pár hodin aby bylo jisté že tě neviděli.
qstr_Your_ability_to_mast|Tvá schopnost zvládání prostředí ti dovoluje najít bezpečné místo k úkrytu. (Tvá dovednost  Zálesáctví ti dovolí skrýt {reg1} jednotek)
qstr_{reg4}_will_be_lost.|{reg4} bude ztraceno.
qstr_{s13}_asked_you_to_r|{s13} tě požádal aby se mu hlásil s alespoň {reg13} jednotkami.
qstr_{s13}_ordered_you_to|{s13} ti nařídil aby ses připojil k útoku proti {s14}.
qstr_You_were_victorious!|Zvítězili jsme!
qstr_The_battle_was_lost.|Bitva byla ztracena. Tvé síly byly úplně rozdrceny.
qstr_Your_companions_carr|Tví společníci tě odnášejí od bojů.
qstr_You_have_defeated_th|Porazil jsi nepřítele.
qstr_You_have_retreated_f|Ustoupil jsi z boje.
qstr_^^Ally_Casualties:{s|^^Spojenecké ztráty:{s0}
qstr_You_and_{s3}_celebra|Ty a {s3} slavíte vítězství proti {s4}.
qstr_News_of_your_victory|Zprávy o tvém vítězství proti {s4} dosáhly až k {s3}.
qstr_{s3}_witnesses_your_|{s3} byl svědkem tvého vítězství proti {s4}.
qstr_Even_though_there_we|Přesto že tvému vítězství nepřihlížel nikdo z tvých spojenců, tví vojáci oslavují tvůj triumf.
qstr_{s1}_of_{s3}_managed|{s1} z {s3} uprchl.
qstr_Prisoners_rescued_so|Osvobozených vězňů: {reg1}
qstr_{reg1}_kills_of_{s1}|{reg1} zabití vojáků frakce {s1} započítáno do Přísahy. CELKOVĚ zabito: {reg0}
qstr_Perhaps_I_m_getting_|Možná začínám mít smůlu...
qstr_Retirement_is_starti|Důchod začíná znít lépe a lépe.
qstr_No_matter!_I_will_pe|Bez ohledu na to, vytrvám!
qstr_What_did_I_do_to_des|Co jsem udělal že si tohle zasloužím?
qstr_I_suppose_it_ll_make|Předpokládám že to udělá alespoň dobrý příběh...
qstr__{s17}|, {s17}
qstr_You_retreated_from_b|Ustoupil jsi z bitvy.
qstr_{s9}_wants_you_to_fo|{s9} chce aby jsi následoval jeho armádu, až do odvolání.
qstr_{s8}_of_{s9}|{s8} z {s9}
qstr__Your_own_banner_fli|Tvoje vlastní vlajka vlaje nad hradní bránou.
qstr__You_see_the_banner_|Vidíš vlaku od {s7} nad hradní bránou.
qstr__This_castle_seems_t|Vypadá to že tento hrad nepatří nikomu.
qstr__Your_own_banner_flie|Tvoje vlastní vlajka vlaje nad městskými branami.
qstr__You_see_the_banner_o|Vidíš vlaku od {s7} nad městskými branami.
qstr__The_townsfolk_here_|Zdejší měšťané vyhlásili svou nezávislost.
qstr_Go_to_the_secret_ent|Jít k tajnému vchodu do Morie
qstr_Search_for_a_secret_|Pátrat po tajném vchodu do Morie
qstr_Get_book.|Dostat knihu
qstr_The_{reg6?town_s:cas|{reg6?městské:hradní} zásoby jídla by měly vydržet {reg3} dalších dní.
qstr_The_{reg6?town_s:cast|{reg6?městské:hradní} zásoby jídla došly. Obránci strádají hlady.
qstr_You_re_preparing_to_|Připravuješ se zaútočit na zdi, práce by měly být dokončeny za {reg9} hodin.
qstr_Your_forces_are_buil|Tvé síly budují obléhací věž. Odhadují že za {reg9} hodin bude kompletně dostavěno.
qstr_You_are_ready_to_att|Jsi připravený zaútočit na zdi kdykoliv.
qstr_The_siege_tower_is_b|Obléhací věž je postavena a připravena k útoku.
qstr_As_a_last_defensive_|Jako poslední pokus o obranu jsi se stáhl do hlavní haly pevnosti. Ty a tví zbývající vojáci budete zoufale bojovat a pokud budete poraženi, není už kam ustoupit.
qstr_You_ve_been_driven_a|Byli jste poraženi u hradeb. Teď útočníci proudí do ulic. Kdyby jsi je dokázal porazit, strhl by jsi misky vah a zachránil den.
qstr_You_ve_breached_the_|Prolomil jsi městské hradby, ale tvrdohlaví obránci pokračují s odporem v ulicích! Nejdříve se s nimi budeš muset vypořádat abys mohl zaútočit na pevnost v srdci města.
qstr_The_town_centre_is_y|Městské centrum je tvoje, ale zbývající obránci se stáhli do hradu. Ten musí padnout než úplně zvítězíš.
qstr_The_remaining_defend|Zbývající obránci se stáhli do hradu jako poslední vzdor. Musíš jít a rozdrtit zbývající odpor.
qstr_However_since_you_ar|Přestože nejsi zapřísáhlý {muž/následovník} frakce {s9}, není zde šance že by tě poznal jako {lorda/lady} z toho {reg8?města:hradu}.
qstr_The_enemy_has_been_f|Nepřítel byl zatlačen zpět. Útok je u konce, ale obléhání pokračuje.
qstr_The_assasins_beat_yo|Vrazi tě zbili a ponechali tě smrti. .
qstr_You_have_fallen._The|Padl jsi. Bandité rychle prohledali tvé tělo kvůli cennostem, pak zmizeli do noci. Ponechali tě naživu i když jen tak tak.
qstr_Luckily_some_of_your|Naštěstí někteří z tvých společníků se tě vydali hledat, když jsi se nevrátil a našli tě ležet v příkopu. Odnesli tě do bezpečí a ovázali ti rány.
qstr_Luckily_some_passing|Naštěstí tě nějací kolemjdoucí našli ležet v příkopu a poznali že nejsi obyčejný žebrák. Odnesli tě do bezpečí a ovázali ti rány.
qstr_{s13}^^You_have_succ|{s13}^^Úspěšně jsi se vplížil dovnitř.
qstr_the_place|město
qstr_the_castle|hradu
qstr_Stay_indoors_for_som|Zůstat zde nějaký čas ({reg1} Resource pointů za noc)
qstr_Camp_outside_for_som|Kempovat venku na nějaký čas (zdarma)
qstr_{s4}_s_scouts_have_s|Zvědové z frakce {s4} viděli a nahlásili tvůj neúspěch. Zostudil jsi {s4} a zodpovědnost za neúspěch jde na tvé triko.
qstr_{s1}_s_Ship|Loď z {s1}
qstr_Time_passes...|Čas běží...
qstr_Forces_of_Good|Síly dobra
qstr_Forces_of_Mordor|Síly Mordoru
qstr_Forces_of_Isengard|Síly Železného pasu
qstr_their_enemies|jejich nepřátelé
qstr_{s11}_and_{s13}|{s11} a {s13}
qstr_{s11}_{s13}|{s11}, {s13}
qstr_a_scout_party_from_{|průzkumnou skupinu z {s3}
qstr_two_scout_parties_an|dvě průzkumné skupiny z {s3}
qstr_two_scout_parties_and|dvě průzkumné skupiny a skupinu nájezdníků z {s3}
qstr_three_scouts_two_for|tři průzkumné, dvě zásobovací skupiny a jednu patrolu z {s3}
qstr_three_scouts_two_rai|tři průzkumné, dvě nájezdnické skupiny a válečnou skupinu z {s3}
qstr_You_see_the_village_|Vidíš jak je vesnice rabována bandity. Požádáš většinu tvých vojáků aby dávali pozor na ostatní nájezdníky, zatímco ty bereš malou skupinu a připravuješ se bránit vesničany.
qstr_You_see_the_village_y|Vidíš vesnici, kterou máš za úkol vyplenit. Ty a malá skupina tvých vojáků se připravujete k útoku, aby jste nebyli viděni.
qstr_The_raiders_are_defe|Lupiči jsou poraženi! Těch pár, kteří zůstali naživu a při vědomí, odešli do tmy, odkud přišli, ze strachu z vesničanů a jejich nového šampiona.
qstr_Try_as_you_might_you|Snažil jsi se co to šlo, ale nájezdníky nešlo zastavit. Vesnici srovnají se zemí a zotročí zbývající sedláky.
qstr_The_village_has_been|Vesnice byla srovnaná se zemí, vesničané byli zabiti nebo zotročeni. Temný Pán bude potěšen.
qstr_You_failed_to_raid_t|Nepodařilo se ti vyplenit vesnici a byl jsi donucen pelášit pryč spolu se svými muži. Slyšíš jak vítězové slaví, zatím co ty cítíš nepříznivý pohled Velkého oka.
qstr_The_Scout_Camp_has_b|Tábor průzkumníků byl srovnán se zemí. To zpomalí postup nepřítele.
qstr_You_failed_to_destro|Neuspěl jsi při se zničením tábora průzkumníků. Nepřítel si spočítal sílu tvé frakce a rozhodně se zatvrdil.
qstr_You_have_defeated_the|Porazil jsi flotilu nájezdníků! Tohle je těžký zářez do plánů nepřítele!
qstr_You_defeated_the_int|Porazil jsi stíhací flotilu! I když nemáš dostatek sil k nájezdu na město, je to skvělé vítězství!
qstr_You_drove_back_the_e|Odrazil jsi nepřátelskou flotilu, ale ztratil jsi skoro všechny své lodě!
qstr_You_were_defeated_by|Byl jsi poražen stíhací flotilou a nájezd na město byl neúspěšný!
qstr_Lorien|Lorien
qstr_Imladris|Roklinka
qstr_Woodelf|Lesní elf
qstr_^^^^^^^You_come_upon|^^^^^^^Narážíš na uprchlíky, kteří odchází z {s2} a jsou na cestě do {s3}. ^^Jsou to většinou staří a slabí, doprovázeni ženami a dětmi.^^ jsou s nimi nějaké stráže, ale ne dost aby ochránili každého před nájezdem.
qstr_^^^^^^^You_come_upon_|^^^^^^^Narážíš na uprchlíky, které stopuješ už od {s2}. Vypadá to že jsou na cestě do {s3} a jsou to většinou staří a nemohoucí. ^^ Je s nimi pár strážců, ale ne dost na to aby tobě a tvým mužům zabránili v tom abys všechny zabil.
qstr_^^At_last_the_Master|^^Konečně, Mistr chystá svůj tah! Pochodně plápolají. Ostří zbraní se leskne. Ty a tví udatní druhové brzy obdržíte rozkazy k pochodu. A bude boj, hodně boje, věhlas pro všechny!^^Máš tu čest být povolán za Mistrem do jeho věže. Pravděpodobně tvé první rozkazy bude práce jako pro snagu - nájezd na vesnici tady-hle, přepadni karavanu tamhle . Ale ty se brzy prosadíš. Kdo řekl že nebudeš hrát významnou roli jako velitel od {s2} z {s3}?^^Válka začala; čas lidí skončil!
qstr_^^Your_head_suddenly|^^V tvé hlavě se z nenadání objevuje vize - Oko v plmenech . Všude kolem tebe se tví válečníci zastaví. Nějak víš že všichni mají tu samou vizi jako ty, to stejné volání. Moc Velkého Oka je obrovká, stejně jako síla Barad-dûr!.^^Nevyslovené vědění vstupuje do každé části tvého těla. Nastal ten čas. Temný Pán přikazuje - všichni budeme pochodovat proti svým nepřátelům v otevřené válce. Rozkazy od {s2} z {s3} přijdou. Ze začátku tvá role nebude velká, ale zanedlouho se prosadíš mnohem více.^^ Válka začala; pád Západu započal!
qstr_{s13}_asked_you_to_j|{s13} tě požádal aby jsi se k němu připojil s alespoň {reg13} vojáky a setkal se s ním u posledního sídla Železného pasu.
qstr_You_defeated_{reg5}_|Zneškodnil jsi {reg5} nepřátel a udělal jsi dojem na svého velitele.
qstr_You_defeated_{reg5}_e|Zneškodnil jsi {reg5} nepřátel.
qstr_You_failed_to_defeat|Nepodařilo se ti zneškodnit žádného nepřítele.
qstr_The_sorcerer_slain_y|Čaroděj byl zabit, ty a tví vojáci chvatně obvážete své rány a vyklouznete do noci. Hnusné hlasy vám ječí v zádech a cítíš jak vás sleduje mnoho hořících očí ve stínech. Brzy se hněv změní na zklamání a zvuky pronásledování jsou tlumené, nahrazené obvyklým silným tichem Temného hvozdu. Utekli jste
qstr_The_sorcerer_slipped|Čaroděj vyklouzl z tvého sevření a hbitě unikl do temnoty jeho říše. Se srdci obtěžkanými neúspěchem, ty a tví vojáci chvatně obvážete své rány a odeberete se do noci. Uštěpačné hlasy ti křičí v zádech a cítíš jak se bezpočet plápolajících očí snaží proniknout stínem. Smích a urážky jsou za chvíli utlumeny a nahrazeny obvyklým silným tichem Temného hvozdu. Utekli jste 
qstr_You_approach_a_heavi|Přistupuješ k silně střežené oblasti lesa ...
qstr_You_wait_for_darknes|Čekáš až padne tma...
qstr_You_are_quickly_disc|Jsi rychle objeven nepřáteli.
qstr_You_advance_stealthi|Postupuješ kradmě dál do lesa.
qstr_You_have_evaded_the_|Vyhnul jsi se hlídkám a plazíš se blíž k ruinám!
qstr_You_have_found_the_s|Našel jsi čaroděje!
qstr_You_cannot_leave_unt|Nemůžeš odejít dokud nesetřeseš stráže!
qstr_Kill_him_quickly_bef|Zabij ho, rychle než uteče!
qstr_Enraged_by_the_death|Rozzuřen smrtí {s4}, pronesl jsi přísahu pomsty vůči silám {s3}. V následujících dnech musíš zlikvidovat tolik jednotek {s3}, kolik je možné. Jsi si jasně vědom toho, že tví následovnici byli svědky tvé přísahy a nechceš aby tě považovali za křivopřísažníka. Krveprolití může začít!
qstr_flooded._Somebody_or|zaplaveny. Někdo musel zničit přehrady na Želízu.
qstr_destroyed._Only_smol|zničeno. Zbyly pouze doutnající ruiny.
qstr_^^^You_lost_your_fig|^^^Prohrál jsi boj proti vzbouřenci! ^Vypadá to že tví skřeti mají nyní nového velitele.
qstr_^^^You_have_slain_th|^^^Zabil jsi provinilce a ostatní skřeti rychle zapadli zpátky do řady. ^Na nějakou dobu budou ti červi jistě potichu.
qstr_You_cover_up_your_tr|Zakryj stopy a běž kupředu.
qstr_Breaking_camp...|Rozbíjíš tábor...
qstr_You_have_left_{s1}.|Opustil jsi oblast {s1}.
qstr_You_are_entering_{s1|Vstupuješ do oblasti {s1} ({s2}).
qstr_You_are_entering_{s1}|Vstupuješ do oblasti {s1}.
qstr_The_war_expands_comm|Válka se rozšiřuje, velitelé jsou odvážnější! (požadavky na obléhání sníženy)
qstr_Your_party_is_spotte|Tvá družina byla spatřena {s1}.
qstr_Party_has_nothing_to|Družina nemá co jíst!
qstr_You_pay_for_accommod|Platíš za ubytování.
qstr_Your_scouts_have_rep|Tví zvědové hlásí že {s2} je blízko {s3}.
qstr_The_troll_outside_{s|Trol v okolí {s2} byl zabit. Mise zrušena.
qstr_{s1}_was_killed_on_t|{s1} byl zabit na bitevním poli. Mise zrušena.
qstr_{s1}_has_been_defeat|{s1} byl poražen. Mise zrušena.
qstr_You_must_follow_{s1}|Musíš následovat {s1}!
qstr_You_must_follow_{s1}!|Musíš následovat {s1}! Toto je tvé poslední varování!
qstr_{s1}_parties_defeate|Poražené skupiny {s1}: {reg1} ze {reg2}
qstr_{reg65}_Moria_and/or|{reg65} jednotek z Morie a/nebo Gundabadu zabito. (Přepočítává se každou hodinu)
qstr_{reg65}_{s3}_troops_|{reg65} jednotek z {s3} zabito. (Přepočítává se každou hodinu)
qstr_{reg66}_{s5}_troops_|{reg66} jednotek z {s5} zabito. (Přepočítává se každou hodinu)
qstr_{reg67}_{s7}_{s8}_tr|{reg67} jednotek {s8} z {s7} zabito. (Přepočítává se každou hodinu)
qstr_{reg68}_{s10}_killed|{reg68} jednotek {s10} zabito. (Přepočítává se každou hodinu)
qstr_{s1}_is_scouted.|{s1} je prozkoumáván.
qstr_The_Age_of_Men_has_f|Éra lidí konečně skončila. Nyní Dvě věže shromáždí své vládce a spojence, aby rozhodli kdo bude jediným vládcem Středozemě!
qstr_The_War_of_the_Two_T|Válka Dvou věží začala!
qstr_{s2}_was_defeated!|{s2} byl poražen!
qstr_The_forces_of_{s22}_|Síly od {s22} se přeskupily! {s22} je teď {s23}.
qstr_The_might_of_{s22}_h|Síla {s22} se snížila! {s22} je nyní {s23}.
qstr_In_a_desperate_attem|V zoufalém pokusu bránit se proti nepřátelům vysílá Sauron své Mordorské legie!
qstr_Guardians_of_{s6}|Ochránci z {s6}
qstr_Guard_Legion_of_{s6}|Legie ochránců z {s6}
