qstr_Gate_is_breached!|大门已被攻破！
qstr_Entries_up_to_#{reg5|进入#{reg5}时跳过
qstr_A_new_location_is_no|一个新的地点出现在地图上!
qstr_New_trait_gained:_{s|新特性获得：{s5}
qstr_Gained_permanent_+1_|力永久+1
qstr_Gained_permanent_+1_t|敏永久+1
qstr_Gained_permanent_+1_to|魅永久+1
qstr_Gained_permanent_+20|武器熟练永久+20
qstr_Gained_permanent_+2_|力永久+2
qstr_Gained_permanent_+2_t|魅永久+2
qstr_Lost_permanent__1_to|魅永久-1
qstr_Gained_permanent_+1_to_|铁骨等级永久+1
qstr_Gained_permanent_+5_|力永久+5
qstr_Lost_permanent__2_to|魅永久-2
qstr_Gained_permanent_+2_to|铁骨等级永久+2
qstr_Gained_permanent_+10|武器熟练永久+10
qstr_Gained_permanent_+1_to_T|战术等级永久+1
qstr_You_have|你有
qstr_{s1}_has|{s1}有
qstr_{s11}_suffered_a_ser|{s11}受到了重伤。
qstr_The_leg_has_been_bad|一条腿于战斗中遭到重创。
qstr___2_athletics__1_rid|(敏-2，跑动等级-2，骑术等级-1，近战武器熟练度-15)
qstr_The_arm_has_been_bad|一只手臂于战斗中遭到重创。
qstr___20_weapon_skill__2|(力-2，强击等级-1，武器熟练度-20)
qstr_The_head_has_suffere|头部遭到重击。
qstr___1_intelligence_ski|(智相关技能-1，远程武器熟练度-15)
qstr_The_chest_has_suffer|肋骨断裂。
qstr___20_weapon_skill_|(武器熟练度-20)
qstr_{s1}_has_been_killed|{s1} 被杀害了
qstr_You_were_killed.|你被杀了。
qstr_{s1}_recovered_from_|{s1}的一个重伤痊愈了.
qstr_The_leg_wound_has_he|腿上的伤口已愈合。
qstr__+2_athletics_+1_rid|(敏+2，跑动等级+2，骑术等级+1，近战武器熟练度+15)
qstr_The_arm_wound_has_he|手臂上的伤口已愈合。
qstr__+20_weapon_skill_+2|(力+2，强击等级+1，武器熟练度+20)
qstr_The_head_wound_has_h|脑震荡已恢复。
qstr__+1_intelligence_ski|(智相关技能+1，远程武器熟练度+15)
qstr_The_cracked_ribs_hav|肋骨断裂已复原。
qstr__+20_weapon_skill_|(武器熟练度+20)
qstr_{s1}_has_had_his_hea|{s1}完全恢复了
qstr_News_has_arrived_tha|最新战报！{s2}的{s1}被{s28}的军队击杀！
qstr_{s1}_s_Burial_Mound|{s1}的埋骨地
qstr_{s1}_s_Funeral_Pyre|{s1}的火葬堆
qstr_{s1}_is_logged_as_de|{s1}被记录为死亡
qstr_You_have_been_discov|你在爬上城墙之前就被发现了。
qstr_The_enemy_is_coming_|大量的敌军正在接近！你必须马上撤离！
qstr_Scout_this_area_alon|独自侦查这个地方并且和你的士兵在外汇合！
qstr_Be_stealthy_but_elim|保持隐秘并迅速解决任何威胁！
qstr_You_are_spotted_by_a|你被巡逻队发现了！
qstr_Eliminate_them_befor|在他们发出警报前干掉他们！
qstr_You_have_reached_the|你已经达到地牢！
qstr_Eliminate_the_guards|干掉卫兵并解救你的人!
qstr_{s1}_has_been_captur|{s1}被敌军俘虏了！
qstr_Gondor_takes_a_capti|刚铎抓到了一名俘虏
qstr_Rohan_takes_a_captiv|洛汗抓到了一名俘虏
qstr_Mordor_takes_a_capti|魔多抓到了一名俘虏
qstr_Isengard_takes_a_cap|艾辛格抓到了一名俘虏
qstr_You_were_grievously_|您受到重创，并被扔到死尸堆中。请慎重决定您逃跑的时机；否则，敌人将有可能发现您。当然，能迅速逃离才是最好的。
qstr_You_were_grievously_w|您在战斗中身受重伤，在您部下的保护下突围成功。您的部队因此损失惨重。
qstr_You_were_grievously_wo|您在战斗中身受重伤，在您部下的保护下突围成功。您的部队因此损失惨重。更不幸的是，您有部分同伴被俘虏并关押到了{s2}。
qstr_You_were_grievously_wou|您在战斗中身受重伤，在您部下的保护下突围成功。然而不幸的是，巫师也成功逃走了。
qstr_You_were_grievously_woun|您受到重创，并被扔到死尸堆中。慎重决定您突围逃跑的时机；同时，巫师成功逃走了。
qstr_Some_of_your_compani|你的一些同伴正遭受的旧伤的困扰.
qstr_Item_you_just_equipp|刚才装备的物品不适用于该种族的人物，它很快将从装备栏移入物品栏^^请保持物品栏有足够的空间，否则您将失去这个物品。
qstr_Inappropriate_equipm|不适合的装备
qstr_The_mount_you_just_e|刚才装备的坐骑不适用于该种族的人物。请注意，如果你坚持这样做的话，有可能导致战场中的坐骑行为异常。
qstr_Inappropriate_mount|不适合的坐骑
qstr_{s24}:_Your_infantry|{s24}：你的步兵感觉好些了！
qstr_{s24}:_Your_archers_|{s24}：你的射手感觉好些了！
qstr_{s24}:_Your_cavalry_|{s24}：你的骑兵感觉好些了！
qstr_Ah_what_a_coincidenc|哈！真巧能在这里碰到{playername}！你可能不认识我，但我听你可是听得耳朵都起茧子了。我正从{s3}赶往{s4}，你的大名可是已经传到那里去了。在这个烽烟四起的年代，{s3}可是指着你这种有能力的人呢。如果你打算四处做做任务，不妨重新考虑一下，全心全意的帮助{s3}。
qstr_Who_are_you?|你是谁？
qstr_A_friend_of_{s3}_and|{s3}之友、{s2}之民。快！魔多正集结邪恶，索伦的阴影正汇聚于此。对于光明之民来说，时间已经不多了。让我们集合所有，以逆转这一切！
qstr_What_should_I_do?|我要怎么办?
qstr_Find_{s3}_s_whereabo|尽快找到{s3}的下落，并与他交谈。祝你好运！
qstr_Good_to_see_the_Shad|很高兴看到你还没被索伦的阴影打败，{playername}。
qstr_You_are_the_one_they|你就是人们口中的甘道夫或米斯兰达（辛达林语）。
qstr_That_is_what_some_ca|他们的确如此称呼我，而我也曾被称呼过其他名字。但这些已经不重要了，除非黑暗消失，很快就再也不会有任何人能够称呼我的任何名字了。
qstr_What_do_you_mean?|什么？
qstr_In_spite_of_their_va|尽管他们英勇的抵抗过，{s3}最终还是被黑暗吞没了。{s3}的人们不得不背井离乡，美好的{s4}已经一去不复返了。
qstr_You_bring_dismal_new|你带来的消息可真致郁，巫师。
qstr_But_I_also_bring_a_m|但我也但来了一丝希望。{s5}的人们仍然在坚持抵抗，他们的领主和战士坚定无畏。
qstr_Help_them_fight_the_|请你尽最大的努力帮助他们抵抗敌人，永不放松！但请保持警惕！这世上有比半兽人更加古老邪恶的东西。
qstr_Beware_{playername}_|请注意，{playername}，黑暗的力量开始衰弱了。{s3}已经陷落，包括他的领导者{s4}。
qstr_What_do_you_want_of_|你需要我做什么，老人家？
qstr_Just_know_that_a_Daw|黎明定将到来，这是必然，但我不知道你能否看到那一天了。如果你足够幸运，你也该考虑一下对自己良心的解释。
qstr_Well_met_{playername|很高兴见到你，{playername}，{s24}。我当初果然没有错信你。魔多的阴影已被打破。其中你帮了大忙！
qstr_Thank_you_Mithrandir|谢谢你，米斯兰达（辛达林语）！
qstr_The_wizard_Saruman_i|堕落巫师萨鲁曼已死，邪黑塔连同其主黑暗魔君也已经被粉碎！中土世界的诸民击败了将吞噬所有的美好与圣洁的威胁。敌人被击败，诸王的血脉已回归！
qstr_It_was_a_long_and_bl|这是一个漫长而残酷的战争，我们有许多挚友为此付出了生命。
qstr_There_is_much_to_reg|我们有着许多的遗憾和悲哀，还有更多的事物等着我们去重建和修缮。但是现在，让我们跟身边的朋友一起欢呼吧！庆祝我们所做的，和第三纪的最后之日！
qstr_Bagginsssss..._Ssssh|巴金斯…斯…夏…夏…尔…
qstr_I..._don_t_know!|我…我不知道！
qstr_It..._beckonsssssss.|它…在…在招…手…手…
qstr_Treachery..._Unforgi|背信弃义…不可饶恕…
qstr_But_I...|但我…
qstr_Noone..._oppossssses|无人…人…能…阻挡…挡…邪黑塔…并存活…活…！
qstr_All..._must..._submi|所有人…必须…屈从...且…臣服…
qstr_I_serve_the_Eye!|我服从索伦之眼！
qstr_I_shall_serve_the_Ey|我将臣服于索伦之眼！
qstr_Go_to_{s1}_and_speak|到{s1}去和{s9}交流。
qstr_The_Remnant_Forces_o|{s22}的剩余势力聚集在一起以加强{s15}派系！
qstr_The_strength_of_the_|{s15}派系及其盟友的力量有所增加
; qstr_{s30}_reinforced_by_|{s30} reinforced by {reg65} fac str
qstr_{s1}_has_been_besieg|{s1}正被{s3}的{s2}围困！
qstr_The_forces_of_{s2}_m|{s2}的军队正向{s15}行军！
qstr_Rohan_capital_moved_|洛汗首都已经从伊多拉斯移动到号角堡！
qstr_Dale_capital_moved_f|河谷镇迁都长湖镇！
qstr_Gundabad_capital_mov|刚达巴迁都半兽人镇！
qstr_The_hosts_of_{s2}_re|{s2}的军队撤退会他们的家乡。
qstr____Ruins_of_{s1}___|{s1}的废墟
qstr_ranks|组成行阵
qstr_shield_wall|组成盾墙
qstr_wedge|组成楔形阵
qstr_square|组成方阵
qstr_up|没有阵型
qstr___Infantry_forming_{|步兵{s1}。
qstr___Not_enough_infantr|没有足够的步兵{s1}，用坚守代替。
qstr___Cavalry_forming_{s|骑兵{s1}
qstr___Not_enough_cavalry|没有足够的骑兵{s1}，用坚守代替。
qstr___Archers_forming_{s|射手{s1}。
qstr___Not_enough_archers|没有足够的射手{s1}，用坚守代替。
qstr___Infantry_formation|步兵阵型解散
qstr___Cavalry_formation_|骑兵阵型解散。
qstr___Archer_formation_d|射手阵型解散。
qstr_Division_{reg1}_{s2}|分队{reg1}{s2}正在列队为{s1}。
qstr_Not_enough_troops_in|分队{reg1}{s2}中没有足够的士兵列队为{s1}。
qstr_Division_{reg1}_{s2}_|分队{reg1}{s2}是{s3}，且不能列队为{s1}。
qstr_{s1}:_infantry_forma|{s1}: 步兵阵型解散
qstr_{s1}:_archer_formati|{s1}: 射手阵型解散。
qstr_{s1}:_skirmisher_for|{s1}：解散散兵阵型。
qstr_{s1}:_cavalry_format|{s1}: 骑兵阵型解散。
qstr_{s1}:_formation_disa|{s1}: 阵型解散。
qstr_Cavalry_formation_di|骑兵阵型解散。
qstr_The_placement_of_{s1|{reg0}分队{s1}的位置已记录。
qstr_The_placement_of_{s1}|{reg0}分队{s1}的位置已还原。
qstr_Your_party_s_tactica|你部队的战术技能限制了你能够部署你士兵的最大距离！
qstr_...and_attack_enemy_|…并攻击敌人{s1}分队！
qstr_{s2}:_returning_afte|{s2}：在消灭敌人{s1}部队后撤退。
qstr_infantry|步兵
qstr_archer|射手
qstr_cavalry|骑兵
qstr_polearm|长杆武器
qstr_skirmisher|散兵
qstr_mounted_archer|骑射手
qstr_support|支援
qstr_bodyguard|护卫
qstr_undetermined_type_of|未定类型

qstr_{s1}_has_fled_the_ba|{s1}逃离了战场！
qstr_Your_troops_are_at_{|我军士气为{reg1}%(+{reg3}%加成)，敌军士气为{reg2}%！
qstr_Morale_of_your_troop|我军士气动摇了！
qstr_Morale_of_your_enemi|敌方士气动摇了！
qstr_Your_enemies_flee_in|敌军因恐惧而溃逃！
qstr_Many_of_your_enemies|大部分敌军因恐惧而溃逃！
qstr_Some_of_your_enemies|一些敌军因恐惧而溃逃！
qstr_A_few_of_your_enemie|个别敌军因恐惧而溃逃！
qstr_Your_troops_flee_in_|我军因恐惧而溃逃！
qstr_Many_of_your_troops_|大部分我军因恐惧而溃逃！
qstr_Some_of_your_troops_|一些我军因恐惧而溃逃！
qstr_A_few_of_your_troops|个别我军因恐惧而溃逃！
qstr_Gained_permanent_+1_to_P|向导等级永久+1 
qstr_Gained_permanent_+1_to_S|侦察等级永久+1
qstr_{s11}_recovered_from|{s11}的一个重伤痊愈了。
qstr_Volunteers|志愿者们
qstr_Reserves|预备队
qstr_have_taken_measure_o|已增加所属派系当前势力值。
qstr_loses_Faction_Streng|当补给线被打断会失去势力值。
qstr_loses_Faction_Strengt|当势力营地被摧毁会失去势力值。
qstr_gains_Faction_Streng|当你的胜利消息传播开来时会获得势力值。
qstr_Something_wrong_not_|事情有些不太对劲，我们没有足够的士兵来移除。
qstr_Raiders|突袭者
qstr_have_won_the_sea_bat|敌人赢得了海战的胜利，这打击了你的士兵们的士气。这些敌人将利用这次击败更加频繁地进攻。
qstr_loses_Faction_Strength|受到破坏性的突袭会失去势力值
qstr_loses_Faction_Strength_|因为你在海上的成功，敌对派系力量下降了。
qstr_You_spent_{reg67}_of|你花费了{reg67}你的影响力用于{s1}，还剩下{reg66}影响力。
qstr_No_Troops_Left.|士兵们一个不剩。
qstr_avoid_melee|避免近战
qstr_stand_and_fight|防守和作战
qstr_Everyone|所有人
qstr_Shield___{reg31}_|盾防（-{reg31}）
qstr_Power_Draw___{reg31}|强弓（-{reg31}）
qstr_Riding___{reg31}_|骑术 (-{reg31})
qstr_Horse_Archery___{reg|骑射 (-{reg31})
qstr_Athletics___{reg31}_|跑动（-{reg31}）
qstr_No_Skill_Penalty_Ass|无技能点可分配
qstr_Inventory|物品
qstr_Show_stats|显示状况
qstr_Show_item_details__|显示物品详情
qstr_Troop_detail|兵种详情
qstr_{s1}^|{s1}^
qstr_{s1}Level:_{reg1}^|{s1}等级：{reg1}^
qstr_{s1}Hit_Points:_{reg|{s1}生命值:{reg1}
qstr_{s1}Atributes:_^___S|{s1}属性：^力量：^
qstr_{s2}^{reg1}^|{s2}^{reg1}^
qstr_{s1}___Agility:|{s1}   敏:
qstr_{s2}{reg1}|{s2}{reg1}
qstr_{s1}Main_skills:_^|{s1}主要技能：^
qstr_{s1}___Power_Strike:|{s1}强击：^
qstr_{s2}{reg1}^|{s2}{reg1}^
qstr_{s1}___Athletics:^|{s1}跑动：^
qstr_{s1}___Riding:^|{s1}骑术：^
qstr_{s2}_^|{s2}-^
qstr_{s1}___Power_Throw:^|{s1}强掷：^
qstr_{s1}___Power_Draw:^^|{s1}强弓：^
qstr_{s2}{reg1}^^|{s2}{reg1}^^
qstr_{s2}_^^|{s2}-^^
qstr_{s1}Weapons:^|{s1}武器:^
qstr_{s1}___One_Handed:^|{s1}单手武器：^
qstr_{s1}___Two_Handed:^|{s1}双手武器：^
qstr_{s1}___Polearms:^|{s1}长杆武器：^
qstr_{s1}___Archery:^|{s1}弓：^
qstr_{s1}___Crossbow:^|{s1}弩：^
qstr_{s1}___Throwing:^|{s1}投掷武器：^
qstr_{s1}___Slings:|{s1}投石索：
qstr_{s2}_|{s2}-
qstr__Click_on_the_troop_|（点击旋转士兵）^^点击一栏^（头盔，铠甲，手套和鞋子）^来查看他们
qstr_ready_bows_and_missi|准备弓和箭
qstr_ready_side_arms|准备单手武器
qstr_ready_two_hander|准备双手武器
qstr_ready_polearms|准备长杆武器
qstr_shields_up|举起盾牌
qstr_doff_shields|放下盾牌
qstr_Distance___{reg70}__|距离-{reg70}-{s11}部队-{s12}士兵
qstr_A_golden_mist_from_L|罗斯洛立安的金色薄雾笼罩着战场。那位女士的出现鼓舞了你和你的部队。
qstr_A_golden_mist_from_Lr|洛林的金色薄雾笼罩着战场。附近那位强大的女巫使你和你的部队瑟瑟发抖。
qstr_Dark_clouds_from_Mor|魔多的乌云笼罩着战场。你的弓箭手很难看到敌人，邪恶的存在使得你的人惶恐不安。
qstr_Dark_clouds_from_Mord|魔多的乌云笼罩着战场。黑暗魔君的出现使你和你的人更加强大了。
qstr_A_thunderstorm_from_|从迷雾山脉刮来的雷雨在战场上肆虐。你的部队不得不放慢步伐，一些迷信的人甚至感到害怕。
qstr_A_thunderstorm_from_t|从迷雾山脉刮来的雷雨在战场上肆虐。弓箭手很难在这样恶劣的天气下发挥全力。
qstr_A_poisonous_fog_from|从多尔哥多飘来的毒雾在战场上肆虐。你和你的部队感到全身虚弱。人们都很害怕。
qstr_A_poisonous_fog_from_|从多尔哥多飘来的毒雾在战场上肆虐。你没有感到任何不同，但你却听到了敌人遭受痛苦的声音并且你能闻到他们的恐惧。
qstr_Your_mount_stumbles!|你的坐骑走路磕磕绊绊！看起来是瘸腿了。
qstr_Bitten_by_your_own_w|你被自己的座狼咬了!
qstr_You_weigh_too_much_f|你的身板矮种马经受不起！
qstr_Your_mount_rears_ref|你的坐骑受到惊吓！拒绝服从你的命令！
; qstr_Cannot_Change_Camera|Cannot Change Camera Mode while in First Person.
; qstr_Switch_Back_to_3rd_P|Switch Back to 3rd Person View to Cycle Camera.
qstr_Fixed_Custom_Camera|固定自定义相机
qstr_Press_Ctrl_+_Left_/_|按Ctrl+左方向键/Ctrl+右方向键切换肩膀显示位
; qstr_Press_Ctrl_+_Down_to|Press Ctrl + Down to Center
qstr_Use_+/__to_zoom_in/o|按+/-键以拉近拉远
qstr_Use_Up/Down_arrow_ke|使用上/下箭头键以前倾/后倾
qstr_Fixed_Camera___Right|固定相机—右肩
qstr_Fixed_Camera___Left_|固定相机—左肩
; qstr_Fixed_Camera___Cente|Fixed Camera - Center
qstr_While_visiting_towns|当访问城镇、据点和营地时，你可以与四处走动的人们谈话。不同派系的人有不同的事可说—一些能够让你理解他们的想法，其它的会分享他们的传闻。他们都能够让你更加了解他们的文化和派系，有时他们可能知道找到神秘地点的线索，或是在野外生存和在魔戒圣战中战斗的技巧和窍门。
qstr_Cannot_leave_now.|现在不能离开。
qstr_You_have_found_the_l|你找到了当地铁匠…(+{reg3}经验)
qstr_You_have_found_the_lo|你找到了地方长官…(+{reg3} 经验)
qstr_You_have_found_the_loc|你找到了当地仓库…(+{reg3} 经验)
qstr_You_look_through_Hen|你端详汉那斯安南，也就是落日之窗。美丽的景色恢复了你对西方和世界的信心。
qstr__cancelled_the_{reg1|(取消了杀囚获得的{reg10}经验值)
qstr_Forming_ranks.|正在列阵。
qstr_{reg2?You:Your_mount|{reg2?You:Your mount}  受到 {reg1} 点额外伤害!
qstr_{reg2?You_strike:You|{reg2?Youstrike:Yourhorsecharges}造成{reg1}点额外伤害！
qstr_Division_Placement|兵种布局
qstr_Complex_Formations|高级阵型
qstr_Formations_turned_OF|阵型可在选项菜单中关闭。
qstr_Division_{reg1}_{s2}_g|{reg1}分队{s2}前往已记录的位置……
qstr_Division_{reg1}_{s2}_f|{reg1}分队{s2}排成线阵(已记录)。
qstr_Division_{reg1}_{s2}_fo|{reg1}分队{s2}排成{reg0}排(已记录)。
qstr_DEBUG__Health_Regen_|DEBUG (Health Regen): {s1} regains {reg0}% health.  = +{reg1}% STR
qstr_Three_Nazgul_are_cir|三个戒灵正在战场的上空盘旋！
qstr_Two_Nazgul_are_circl|两个戒灵正在战场的上空盘旋！
qstr_A_Nazgul_is_circling|一个戒灵正在战场的上空盘旋！
qstr_Some_of_your_human_t|你的一些人类部队并不畏惧黑夜。（夜间部队不受夜间惩罚的影响）
qstr_You_are_filled_with_|当你盯着敌人时，你充满愤怒（狂战士能力激活）。
qstr_Your_mount_is_scared|你的坐骑被{reg73?ent:troll}吓坏了！
; qstr_Your_mount_is_scared_|Your mount is scared by the {reg73?ent:troll}, but you can master it!
qstr_Nazgul_sweep!|戒灵来了！
qstr_You_and_your_horse_p|戒灵的啼声是你和你的马无法承受的恐惧！
qstr_Your_horse_panics_th|戒灵的啼声是你的马无法承受的恐惧！
qstr_You_cower_in_terror_|你在戒灵恐怖的啼声中退缩！
qstr_knocked_unconscious|被击昏
qstr_Nazgul_diving_attack|戒灵正在攻击{s11}！
qstr_{s11}_is_{s10}_in_th|{s11}在戒灵的攻击中{s10}！
qstr_Received_{reg66}_dam|受到{reg66}点伤害。
qstr_You_yell_for_your_ho|你呼唤你的马。
qstr_{s1}_s_morale:_{reg1|{s1}的士气：{reg1}
qstr_You_do_not_need_to_r|你暂时不需要集结你的部队。
qstr_You_rally_your_troop|你集结了部队！
qstr_{s5}_rallies_{reg65?|{s5}集结了{reg65?她的:他的}的部队！
qstr_You_have_killed_{reg|你在战斗中杀死了{reg1}名敌人！
qstr_Your_bravery_inspire|你的英勇鼓舞了你的部队！
qstr_Your_mount_has_falle|你的坐骑已经倒下了！
qstr_Receive_{reg22}_dama|受到{reg22}点伤害。
qstr_You_have_been_knocke|你被{s22}击昏了。
qstr_{s21}_has_been_knock|{s21}从{reg23?她的:他的}坐骑上跌落了下来。
qstr_{s21}_{reg24?killed:|{s21}被{s22}所{reg24?击杀:击昏}。
qstr_A_bear_has_been_summ|一头熊被召唤加入战斗！
qstr_In_The_Last_Days_of_|在第三纪元—最后之日中，你的士兵会在每场战斗开始时自动坚守，而不是盲目冲锋。^^按以下键能让你的士兵变换阵型，“J”为线阵，“K”为盾墙，“L”为楔形阵，“；（分号）”为方阵。按“U”取消阵型。^如果你的士兵在逃跑，你可以按“V”来召集他们。每场战斗的召集次数是有上限的，其次数取决于你的统御和魅力。
qstr_You_can_also_order_y|你也可以命令你的士兵切换装备使用类型。^^按O切换武器使用命令。按P切换盾牌使用命令。
qstr_The_Last_Days_of_the|为了避免原有的视角限制给较矮的种族（比如半兽人和矮人）造成的不便，第三纪元最后之日开发了自定义视角。^^按CTRL+END能够在2中视角模式中切换：固定视角和自由模式。^^固定视角对所有种族都是最理想的视角，但是不能再更改。你可以按CTRL+左/右箭头键来切换肩膀。^^自由模式视角将角色放置在屏幕中央。你可以按CTRL+上/下箭头键来倾斜视角，按CTRL+Numpad+/-放大。^^查阅信息页面可以了解如何控制不同的视角模式。
qstr_Battlefield_is_too_s|战场太小不足以展开高级阵型。
qstr_You_have_a_clear_per|你清晰地感到一个迫在眉睫的大危机出现在你周围
qstr_New_ent_reached_batt|新的树人加入战斗...
qstr_You_receive_word_tha|你接到线报说波宁人的村庄被袭击了。波宁人丧失了派系力量。
qstr_You_receive_word_that|你接到线报说魔戒猎手头领拖着一个箱子前往魔多。魔多获得派系力量。
qstr_Enemy_reinforcements|敌人增援已经赶到。
qstr_Yarrrr!!|呀啊啊啊啊！！
qstr_Get_all_of_them!|把他们都逮住！
qstr_Kill_them_all!|杀死他们！
qstr_Toss_them_overboard!|把他们都扔下去！
qstr_It_is_a_good_day_to_|慷慨赴义就在今日！
qstr_All_hands_on_deck!_T|全体船员到甲板上集合！把他们赶回去！
qstr_Ally_reinforcements_|友军增援部队已赶到
qstr_Forward_men!|前进，士兵！
qstr_Leave_none_of_these_|不要让一个污秽站着！
qstr_End_them_all!|杀死他们！
qstr_Drive_them_back!|把他们赶回去！
qstr_Protect_the_City!|保卫城市！
qstr_Forward!_Board_them!|前进！登上他们的甲板！
; qstr_The_Last_Days_of_the_|The Last Days of the Third Age has an Advanced Siege AI, vastly different from Native. All troops, including the player's, are distributed amongst different teams (Left Flank / Center / Right Flank).^^ The player is then in charge of commanding their team, while the AI is in charge of commanding the other teams. This allows for a smarter, squad-based, siege battles.^^ Starting troops and reinforcements are commanded to CHARGE during the first few seconds after deployment. After that, your team can be commanded again.
qstr_Reached_Gauntlet_wav|第{reg1}波！
qstr_Ballista:_out_of_amm|弩炮：弹药用尽！
qstr_Ballista:_turn_CURSO|弩炮：转向：移动光标，瞄准：左SHIFT，发射：SPACE，点火：T，退出：F
qstr_Ballista:_out_of_ammo|弩炮：弹药用尽！
qstr_The_ladders_on_Deepi|有梯子搭在城墙上了！小心！
qstr_THREE.._TWO..._ONE..|三！二！一！冲！
qstr_You_have_come_upon_t|你来到了阿蒙汉山，观望山上的一处废墟，一个坐落在观察点的刚铎瞭望塔。你感觉得到这个地方一度十分伟大，但已被遗忘很久。
qstr_You_have_come_upon_th|你来到了死亡沼泽，在最后联盟大战中达哥拉（战争平原）的战场所在^^这片沼泽地吞噬了曾经长满草的平原，现在，唯一的绿色就是阴暗水面暗色油腻表面上的青灰色浮渣^^死掉的杂草还有腐烂的芦苇在薄雾里忽闪忽现，像是被遗忘许久的夏日的残破阴影，还有人类、精灵和半兽人的尸体阴暗的深处漂浮^^这里的空气令人感觉寒冷并潮呼呼的，而且你经不住颤抖，因为你看见水面下的精灵眼中闪烁着烛光。
qstr_You_have_entered_the|你已经进入了一度被称为巨绿林的幽暗密林的南部森林^^多尔哥多堡垒就在附近，它在森林里投下了一道黑影。这里的森林让人感觉虚弱而且充满腐烂。古老的橡树表面都腐烂且被真菌覆盖，巨大的缠结的蜘蛛网从树干延伸到树干^^这里的空气总是既不畅又黑暗而且闷热，感觉起来就好像你在慢慢地窒息
qstr_You_have_found_the_D|你发现了传说中存放长矛的矮人仓库，把你的发现向{s3}报告
qstr_Leave_the_Warehouse?|离开仓库？
qstr_Leave_the_place_in_s|悄悄地离开此地？
qstr_Leave_scene?|离开当前场景？
qstr_Trace_back_your_step|沿着你来时的脚步前进，以返回地表？
qstr_There_is_no_way_out!|你没有退路了！向半兽人投降吗？
qstr_Stealth_mini_game_tu|隐藏迷你小游戏教程：一共有两个警报级别。1级：巡逻的警卫发现了一具尸体，他们开始寻找你。2级：警卫发现你时已经是1级警报了。2级是很危险的，因为警卫将陆续抵达。为避免被发现你需要尽量躲藏在掩体后面以保持隐蔽。
qstr_You_are_now_hidden.|你在隐蔽中。
qstr_You_move_out_of_hidi|你离开了掩体。
qstr_The_guards_have_spot|警卫发现了一具尸体！
qstr_Alarm_Level_is_now_a|警报级别：1！
qstr_Alarm_Level_is_now_at|警报级别：0！
qstr_The_guards_have_spott|警卫看到了你！
qstr_Alarm_Level_is_now_at_|警报级别：2！
qstr_The_sorcerer_has_fle|巫师已经逃跑了!
qstr_Report_this_ill_news|马上向凯兰崔尔女士报告这个坏消息。
qstr_The_sorcerer_is_flee|巫师正在逃跑！干掉他！
qstr_The_sorcerer_has_joi|巫师加入了战斗！杀了他！
qstr_The_sorcerer_is_dead|巫师已死！
qstr_The_battle_is_won!|战斗胜利！
qstr_A_band_of_tribal_orc|一队部落半兽人出现了！
qstr_Gaaaar!!_We_wants_th|噶吖吖吖吖吖！！我们要那些人肉！
qstr_{s31}_scouts_have_ap|{s31}斥候出现了！
qstr_Those_are_ours!_We_h|那些是我们的！我们一路跟踪自他们离开！没有人可以妨碍我们！
qstr_Trolls_appeared!|食人妖出现了！
qstr_Gaaaar!!|噶吖吖吖吖吖！！
qstr_{s31}_scouts_have_app|{s31}斥候现身来帮助这些难民！
qstr_Hurry_men!_Help_the_|快，小伙子们！帮助这些难民！杀光这些人渣不要让他们跑了！
qstr_Cannot_leave|不能离开
qstr_Longbeard_Kinsman|长须族人
qstr_Ori_Longbeard|奥里长须
qstr_We_shall_make_our_st|我们将死守这里！为了巴林！
qstr_Noooo!_You_orcs_will|不！你们半兽人会为此付出代价的！
qstr_Arghhh!!_Nooo!!|啊啊啊！不！！
qstr_I_will_take_down_as_|我将战至最后一口气，流尽最后一滴血！
qstr_Raaa!!|啊啊啊！！
qstr_Kill_the_dwarves!|杀了这些矮人！
qstr_Finish_them!|干掉他们！
qstr_We_will_feast_on_you|我们要吃你们的肉！
qstr_Dwarf_meat!|矮人肉！
qstr_Eru_Iluvatar_has_dec|一如伊卢瓦塔已经决定了巴林一行人的命运，这是无法改变的。
qstr_They_are_coming....!|他们来了……！
qstr_Who...dares...enter.|谁…敢…过来…
qstr_You_are_not_welcome_|我们不欢迎你！
qstr_Finally_I_found_you!|我终于找到你了！我们赶快离开这！
qstr_You...are....ours...|你…是…我们的……
qstr_Look_at_my_over_the_|看看我的头像，{playername}！我真漂亮！
qstr_You_wish_old_man_my_|如您所愿，老人家，我的头像其实更好！
qstr_You_should_really_se|你真应该看看摄政王迪耐瑟二世的书脸，他的照片赞极了！
qstr_Press_Space_to_conti|请按空格键继续...
qstr_{s24}__{reg13}____{r|{s24}({reg13})-{reg20}直到下一次晋升^
qstr_Influence:^_{reg11}_|影响力：^{reg11}(对于{s16})
qstr_Resource_Points:^_{r|资源点：^{reg12}(在{s16})
qstr_{s11}_{s24}__{reg13}|{s11} {s24} ({reg13}) - {reg21}直到下一次晋升^
; qstr_{s13}_{reg11}__with_|{s13} {reg11} (with {s16})^
; qstr_{s15}_{reg12}__in_{s|{s15} {reg12} (in {s16})^
